Warrants Market - Daily,,,,,,,,,,,,
XAO 4372.7 at 16:36 19/7/2010  Report at 19:05 Monday 19/7/2010. Processed 08:16 Tuesday 20/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.27,,,,,,,,,,,,
AMPWOB,5.25,23/09/10,3:1,0.089,0.094,-,-,-,,,,
AMPWOA,6.00,23/09/10,3:1,0.027,0.032,0.07,-,-,,,,
ANZ Banking Grp Last Sale Price $22.02,,,,,,,,,,,,
ANZVZD,24.00,28/07/10,4:1,0.016,0.04,-,-,-,,,,
ANZVZE,24.00,25/08/10,4:1,-,-,-,-,-,,,,
ANZVMB,20.00,23/09/10,4:1,0.70,0.72,-,-,-,,,,
ANZVMC,22.00,23/09/10,4:1,0.36,0.38,0.445,-,-,,,,
ANZWOG,22.50,23/09/10,4:1,0.25,0.31,0.29,-7,48,,,,
ANZVMD,24.00,23/09/10,4:1,0.145,0.155,-,-,-,,,,
ANZWOH,24.50,23/09/10,4:1,0.11,0.115,0.11,-4,400,,,,
ANZWMH,26.00,23/09/10,4:1,0.057,0.064,0.079,-,-,,,,
ANZWOI,26.50,23/09/10,4:1,0.04,0.045,0.17,-,-,,,,
ANZWMI,28.00,23/09/10,4:1,0.014,-,0.095,-,-,,,,
ANZVMF,20.00,27/01/11,4:1,0.875,0.895,-,-,-,,,,
ANZVMG,22.00,27/01/11,4:1,0.58,0.60,-,-,-,,,,
ANZVMH,24.00,27/01/11,4:1,0.355,0.37,0.365,-,95,,,,
ANZVMI,26.00,27/01/11,4:1,0.205,0.215,0.175,-,-,,,,
ASX Ltd Last Sale Price $28.50,,,,,,,,,,,,
ASXUMB,32.00,23/09/10,4:1,0.046,0.052,0.086,-,-,,,,
ASXUMC,35.00,23/09/10,4:1,0.002,-,0.086,-,-,,,,
AXA Asia Pacific Last Sale Price $5.17,,,,,,,,,,,,
AXAWSA,0.00,25/03/20,1:1,-,-,5.47,-,-,,,,
BHP Billiton Ltd Last Sale Price $37.75,,,,,,,,,,,,
BHPVZF,42.00,28/07/10,4:1,0.02,0.04,-,-,-,,,,
BHPVZG,40.00,25/08/10,4:1,-,-,-,-,-,,,,
BHPWOC,35.00,26/08/10,4:1,0.94,0.945,0.97,-,-,,,,
BHPWOD,37.50,26/08/10,4:1,0.52,0.525,0.515,-9.5,20,,,,
BHPWOE,39.50,26/08/10,4:1,0.26,0.265,0.25,-4.5,160,,,,
BHPWOF,41.00,26/08/10,4:1,0.15,0.155,0.175,-,-,,,,
BHPWON,43.00,26/08/10,4:1,0.07,0.075,0.13,-,-,,,,
BHPWOO,45.00,26/08/10,4:1,0.033,0.038,0.115,-,-,,,,
BHPVOA,47.50,26/08/10,4:1,0.016,0.021,0.019,-,-,,,,
BHPUMH,34.00,23/09/10,4:1,1.205,1.245,1.315,-,-,,,,
BHPUMI,38.00,23/09/10,4:1,0.59,0.615,0.70,-,-,,,,
BHPVMF,40.00,23/09/10,4:1,0.305,0.33,0.365,-,-,,,,
BHPUMJ,42.00,23/09/10,4:1,0.205,0.22,0.205,-3,200,,,,
BHPVMG,44.00,23/09/10,4:1,0.081,0.092,0.115,-,-,,,,
BHPWMH,46.00,23/09/10,4:1,0.057,0.065,0.075,-,-,,,,
BHPWMI,48.00,23/09/10,4:1,0.029,0.034,0.038,-,-,,,,
BHPVMH,40.00,27/01/11,4:1,0.785,0.81,0.85,-,-,,,,
BHPVMI,42.00,27/01/11,4:1,0.59,0.615,-,-,-,,,,
BHPVMJ,44.00,27/01/11,4:1,0.44,0.46,-,-,-,,,,
