Warrants Market - Daily,,,,,,,,,,,,
XAO 4936.8 at 16:37 22/4/2010  Report at 19:05 Thursday 22/4/2010. Processed 19:20 Thursday 22/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
Asciano Grp Last Sale Price $1.77,,,,,,,,,,,,
AIOUMA,2.00,27/05/10,1:1,0.02,-,-,-,-,,,,
AMP Ltd Last Sale Price $6.34,,,,,,,,,,,,
AMPWOC,6.25,27/05/10,3:1,0.095,0.10,0.091,-4.4,198,,,,
AMPWOD,6.75,27/05/10,3:1,0.04,0.045,0.069,-,-,,,,
ANZ Banking Grp Last Sale Price $25.25,,,,,,,,,,,,
ANZWOA,23.50,29/04/10,4:1,0.425,0.435,0.575,-,-,,,,
ANZVZA,24.00,29/04/10,4:1,0.35,0.38,0.215,-,-,,,,
ANZWOB,25.00,29/04/10,4:1,0.10,0.11,0.125,-3,398,,,,
ANZVME,26.00,29/04/10,3:1,0.032,-,0.155,-,-,,,,
ANZWOC,26.50,29/04/10,4:1,0.002,0.012,0.014,-,-,,,,
ANZUMA,23.00,27/05/10,4:1,0.565,0.595,-,-,-,,,,
ANZUMB,25.00,27/05/10,4:1,0.185,0.21,0.36,-,-,,,,
ANZUMC,27.00,27/05/10,4:1,0.03,0.038,0.059,-,-,,,,
ANZVZB,27.50,27/05/10,4:1,0.048,0.062,-,-,-,,,,
ANZWOD,23.00,24/06/10,4:1,0.57,0.575,0.595,2,30,,,,
ANZWMA,24.00,24/06/10,4:1,0.405,0.425,-,-,-,,,,
ANZWOE,24.50,24/06/10,4:1,0.315,0.32,0.325,-4,400,,,,
ANZWMB,26.00,24/06/10,4:1,0.145,0.165,0.145,-2.5,43,,,,
ANZWOF,26.00,24/06/10,4:1,0.14,0.145,1.11,-,-,,,,
ANZWMH,26.00,23/09/10,4:1,0.335,0.355,0.415,-,-,,,,
ANZWMI,28.00,23/09/10,4:1,0.18,0.19,0.185,-9.5,1600,,,,
ASX Ltd Last Sale Price $33.50,,,,,,,,,,,,
ASXVME,35.00,29/04/10,4:1,0.008,-,-,-,-,,,,
ASXUMA,37.00,27/05/10,4:1,0.025,-,-,-,-,,,,
BHP Billiton Ltd Last Sale Price $42.21,,,,,,,,,,,,
BHPWOG,40.50,29/04/10,4:1,0.445,0.455,0.615,-,-,,,,
BHPVME,41.00,29/04/10,4:1,0.34,-,0.34,-15,268,,,,
BHPWOA,42.50,29/04/10,4:1,0.135,0.14,1.295,-,-,,,,
BHPWOH,43.50,29/04/10,4:1,0.041,0.046,0.08,-,-,,,,
BHPWOB,44.50,29/04/10,4:1,0.014,0.019,1.235,-,-,,,,
BHPVZC,46.00,29/04/10,4:1,0.038,0.052,-,-,-,,,,
BHPWOI,46.00,29/04/10,4:1,0.005,0.01,0.059,-,-,,,,
BHPUMA,42.00,27/05/10,4:1,0.415,0.435,0.425,-8,1043,,,,
BHPUMB,44.00,27/05/10,4:1,0.195,0.21,0.20,-5,1065,,,,
BHPVZD,45.00,27/05/10,4:1,0.205,0.235,-,-,-,,,,
BHPUMC,46.00,27/05/10,4:1,0.076,0.086,0.13,-,-,,,,
BHPWOK,39.00,24/06/10,4:1,1.09,1.095,1.20,-,-,,,,
BHPWOL,41.00,24/06/10,4:1,0.72,0.725,1.215,-,-,,,,
BHPWMA,43.00,24/06/10,4:1,0.455,0.475,0.53,-,-,,,,
BHPWOM,43.00,24/06/10,4:1,0.41,0.415,0.70,-,-,,,,
BHPVOD,45.00,24/06/10,4:1,0.24,0.245,0.56,-,-,,,,
BHPWMB,45.00,24/06/10,4:1,0.26,0.275,0.35,-,-,,,,
BHPVOE,47.00,24/06/10,4:1,0.12,0.125,0.125,-3.5,350,,,,
BHPWOJ,48.50,24/06/10,4:1,0.077,0.082,0.20,-,-,,,,
BHPWMH,46.00,23/09/10,4:1,0.495,0.51,0.585,-,-,,,,
BHPWMI,48.00,23/09/10,4:1,0.34,0.355,0.505,-,-,,,,
BlueScope Steel Last Sale Price $2.76,,,,,,,,,,,,
BSLUMA,3.00,27/05/10,1:1,0.07,0.076,-,-,-,,,,
BSLWOD,2.50,24/06/10,2:1,0.20,0.205,0.285,-,-,,,,
BSLWOC,3.00,24/06/10,2:1,0.06,0.065,-,-,-,,,,
Brambles Ltd Last Sale Price $7.40,,,,,,,,,,,,
BXBWOA,7.00,24/06/10,4:1,0.18,0.185,0.205,-,-,,,,
BXBWOB,7.75,24/06/10,4:1,0.077,0.082,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $59.00,,,,,,,,,,,,
CBAWOB,55.00,29/04/10,5:1,0.78,0.79,0.80,-,-,,,,
CBAVME,57.00,29/04/10,5:1,0.41,-,0.465,-,-,,,,
CBAWOA,57.00,29/04/10,5:1,0.41,0.415,0.415,-12.5,1200,,,,
CBAVZN,58.00,29/04/10,5:1,0.395,0.425,-,-,-,,,,
CBAWOC,59.00,29/04/10,5:1,0.125,0.13,0.135,-13,100,,,,
CBAUMA,55.00,27/05/10,4:1,1.135,1.215,-,-,-,,,,
CBAUMB,57.00,27/05/10,4:1,0.765,0.83,-,-,-,,,,
CBAVZA,58.00,27/05/10,5:1,0.555,0.585,-,-,-,,,,
CBAUMC,59.00,27/05/10,4:1,0.47,0.525,0.57,-,-,,,,
CBAWOD,55.00,24/06/10,5:1,1.02,1.025,0.985,-17.5,150,,,,
CBAWMA,56.00,24/06/10,4:1,1.12,1.19,-,-,-,,,,
CBAWOE,57.50,24/06/10,5:1,0.645,0.65,0.64,-7,400,,,,
CBAWMB,58.00,24/06/10,4:1,0.80,0.86,-,-,-,,,,
CBAWOF,60.00,24/06/10,5:1,0.355,0.36,-,-,-,,,,
CBAWMH,58.00,23/09/10,4:1,1.20,1.26,-,-,-,,,,
CBAWMI,60.00,23/09/10,4:1,0.945,0.995,-,-,-,,,,
Computershare Ltd Last Sale Price $12.41,,,,,,,,,,,,
CPUUMA,13.00,27/05/10,1:1,0.23,0.26,-,-,-,,,,
CSL Ltd Last Sale Price $36.60,,,,,,,,,,,,
CSLUMA,37.00,27/05/10,4:1,0.235,0.275,0.275,-,-,,,,
Fortescue Metals Grp Last Sale Price $5.08,,,,,,,,,,,,
FMGUMA,5.00,27/05/10,1:1,0.35,0.365,0.355,-21.5,20,,,,
Incitec Pivot Last Sale Price $3.25,,,,,,,,,,,,
IPLUMA,4.00,27/05/10,1:1,0.008,-,-,-,-,,,,
Lihir Gold Ltd Last Sale Price $3.92,,,,,,,,,,,,
LGLUMA,3.50,27/05/10,1:1,0.47,0.485,0.54,-,-,,,,
LGLWOI,3.50,27/05/10,2:1,0.245,0.25,0.295,-,-,,,,
LGLWOG,3.75,27/05/10,2:1,0.155,0.16,0.15,-,-,,,,
LGLWOH,4.00,27/05/10,2:1,0.094,0.099,0.10,-,-,,,,
