Industrial Market - Daily,,,,,,,,,,,,,,,,,
XAO 4890.1 at 16:38 19/3/2010  Report at 19:06 Friday 19/3/2010. Processed 20:02 Friday 19/3/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
3.00,2.50,-,-,ONT,1300 Smiles Ltd,2.90,,-,2.81,2.89,12.5,f,1.54,0.08,4.31,19.23,15.1
0.18,0.10,-,-,TQH,3Q Hldgs Ltd,0.10,,-,0.095,0.14,-,,-,-0.08,-,3.28,3.0
0.07,0.015,-,-,FCS,4C Sec Solution,0.017,,-,0.017,0.02,-,,-,0.01,-,-2.77,-
0.48,0.255,0.42,0.395,ABP,Abacus Prop stp,0.42,2,75018,0.41,0.42,5.75,,-,0.60,13.69,-2.32,-
1.45,1.05,1.40,1.40,ALR,Aberdeen Leaders,1.40,,52,1.36,1.39,9,f,0.85,1.38,6.43,7.67,18.3
2.60,0.46,2.49,2.43,ACR,Acrux Ltd,2.48,1,34003,2.44,2.50,-,,-,0.06,-,-2.84,-
0.10,0.017,-,-,ACW,Actinogen Ltd,0.042,,-,0.032,0.05,-,,-,0.04,-,-1.88,-
0.004,0.001,-,-,ACWO,  opt aug12,0.001,,-,-,-,-,,-,-,-,-,-
0.05,0.012,0.013,0.012,ACU,Acuvax Ltd,0.012,-0.1,1100,0.012,0.014,-,,-,-,-,-0.37,-
0.84,0.32,-,-,ADA,Adacel Tech,0.35,,-,0.36,0.38,-,,-,0.21,-,2.7,13.0
0.31,0.18,0.195,0.195,AAU,Adcorp Aust,0.195,,7,0.195,0.23,1,,-,0.07,5.13,-2.18,-
3.01,1.84,2.66,2.56,ABC,Adelaide Brighton,2.61,-3,10109,2.57,2.64,13.5,f,1.51,1.21,5.17,20.4,12.8
1.545,1.10,-,-,AYT,Adelaide Managed unt,1.32,,-,1.32,1.33,13.82,,0.49,1.79,10.47,6.83,19.3
0.123,0.058,-,-,ADQ,ADG Global Supply,0.06,,-,0.06,0.072,-,,-,0.02,-,-11.08,-
0.013,0.01,-,-,ADQO,  opt mar11,0.012,,-,0.008,0.028,-,,-,-,-,-,-
0.016,0.005,-,-,ADL,Admerex Ltd,0.005,,-,0.004,0.006,-,,-,-,-,-0.4,-
3.70,2.00,3.70,3.70,ADG,Adtrans Grp,3.70,,1,3.51,3.70,20,f,1.86,2.44,5.41,37.1,10.0
0.015,0.004,0.012,0.012,ASC,Adultshop Com,0.012,0.1,22000,0.011,0.012,-,,-,0.02,-,-0.19,-
0.005,0.002,0.004,0.004,ASCO,  opt dec11,0.004,,4992,0.004,0.005,-,,-,-,-,-,-
0.038,0.006,0.022,0.022,ABV,Adv Braking Tech,0.022,0.2,9719,0.02,0.023,-,,-,-,-,-0.32,-
0.64,0.28,0.54,0.54,AMT,Adv Surg Dsgn & Mnft,0.54,,33,0.54,0.59,-,,-,0.22,-,-0.1,-
0.085,0.02,0.057,0.057,AES,Advanced Energy,0.057,-0.3,200,0.05,0.058,-,,-,0.01,-,-0.09,-
0.093,0.031,0.048,0.048,ACE,Advanced Engine,0.048,-0.1,200,0.048,0.05,-,,-,-0.05,-,-2.58,-
0.124,0.019,0.06,0.059,ANM,Advanced Magnesium,0.06,,2580,0.06,0.062,-,,-,0.02,-,-2.64,-
0.435,0.15,-,-,ASW,Advanced Share,0.40,,-,0.395,0.405,2.75,f,1.15,0.11,6.88,3.16,12.7
0.185,0.054,-,-,AEI,Aeris Environmental,0.088,,-,0.088,0.095,-,,-,-,-,-2.05,-
1.67,0.69,1.16,1.12,AVE,Aevum Ltd,1.13,1,620,1.13,1.155,4,,1.05,2.07,3.54,4.2,26.9
0.002,0.001,0.001,0.001,AFT,AFT Corp,0.001,,55000,0.001,0.002,-,,-,-,-,-0.01,-
15.46,13.07,15.15,14.99,AGK,AGL Energy Ltd,15.09,12,13322,15.07,15.11,57,f,0.47,6.21,3.78,27,55.9
0.28,0.13,-,-,AGJ,Agricultural Land unt,0.13,,-,0.14,0.30,2.12,,-,0.38,16.31,-2.28,-
2.45,1.295,-,-,AHC,AHC Ltd,2.25,,-,2.00,-,-,,-,4.89,-,14.09,16.0
0.22,0.065,0.13,0.10,AGI,Ainsworth Game Tech,0.13,,2217,0.13,0.14,-,,-,0.01,-,-4.95,-
1.12,0.67,1.035,1.02,AIZ,Air New Zealand,1.02,,35,1.015,1.03,5.17,,0.75,1.12,5.07,3.9,26.2
0.12,0.098,-,-,AIG,Aircruising Aust,0.11,,-,-,-,-,,-,-0.11,-,-8.38,-
5.60,2.03,2.97,2.90,AJL,AJ Lucas Grp,2.94,7,536,2.91,2.95,5.5,,2.91,1.32,1.87,16,18.4
0.81,0.227,0.675,0.67,ACL,Alchemia Ltd,0.67,,832,0.67,0.675,-,,-,0.09,-,-4.6,-
47.10,44.00,-,-,AAI,Alcoa Inc cdi,45.19,,-,-,45.00,12.39,,-,-,0.27,-137.14,-
2.43,1.502,2.27,2.21,LEP,ALE Prop Grp stp,2.23,,1237,2.21,2.25,27,,3.55,2.39,12.11,95.98,2.3
5.91,0.97,3.18,3.12,ALS,Alesco Corp,3.13,-2,2529,3.13,3.16,14,f,-,0.65,4.47,-17.36,-
0.13,0.033,0.078,0.077,AEJ,Alinta Energy Grp stp,0.078,-0.1,21141,0.077,0.078,-,,-,-1.53,-,-58.71,-
0.245,0.10,0.125,0.12,ABQ,Allied Brands Ltd,0.125,,6077,0.12,0.125,0.5,,4.60,0.06,4.00,2.3,5.4
0.005,0.001,-,-,ABQO,  opt dec10,0.001,,-,-,0.001,-,,-,-,-,-,-
0.225,0.019,0.20,0.20,AEA,Altera Res Ltd,0.20,,400,0.19,0.20,-,,-,-,-,-3,-
0.075,0.06,-,-,AEAO,  opt jan12,0.06,,-,0.061,0.075,-,,-,-,-,-,-
1.45,0.67,1.06,1.05,AIQ,Alternative Invest unt,1.06,1,104,1.045,1.065,47,,-,1.46,44.34,-44.5,-
0.50,0.235,-,-,ALU,Altium Ltd,0.305,,-,0.245,0.30,2,,-,0.09,6.56,-6.97,-
0.078,0.017,-,-,AMA,AMA Grp Ltd,0.052,,-,0.052,0.06,-,,-,-0.09,-,7.75,0.7
6.24,3.598,5.65,5.56,AHD,Amalgamated Hldgs,5.59,-6,91,5.59,5.65,35,f,1.96,4.65,6.26,68.5,8.2
0.63,0.35,-,-,AMO,Ambertech Ltd,0.63,,-,0.56,0.615,5.5,f,1.69,0.61,8.73,9.3,6.8
0.41,0.101,0.395,0.395,AMB,Ambition Grp Ltd,0.395,4.5,43,0.35,0.395,-,,-,0.14,-,-13.07,-
0.72,0.47,0.68,0.68,AMH,Amcil Ltd,0.68,,566,0.68,0.685,2,,-,0.72,2.94,-1.14,-
0.345,0.12,0.31,0.295,AMM,Amcom Telecomm,0.30,-1,10300,0.30,0.305,0.9,f,3.09,0.18,3.00,2.78,10.8
6.35,4.042,6.17,6.02,AMC,Amcor Ltd,6.11,3,108673,6.08,6.12,29.5,,0.71,2.25,4.83,20.9,29.2
3.00,1.45,2.84,2.81,AEC,Ammtec Ltd,2.81,3,60,2.81,2.83,16.5,f,1.18,1.05,5.87,19.39,14.5
1.265,0.78,0.865,0.855,AGF,AMP Capital China unt,0.86,-0.5,1928,0.86,0.865,8.47,,1.18,1.12,9.85,10.02,8.6
6.97,4.27,6.31,6.23,AMP,AMP Ltd,6.31,1,64780,6.28,6.32,30,p,1.24,0.80,4.75,37.1,17.0
0.39,0.175,0.23,0.205,ANQ,Anaeco Ltd,0.23,1,1102,0.22,0.235,-,,-,-,-,-5.5,-
0.015,0.001,-,-,ANQO,  opt may10,0.001,,-,-,-,-,,-,-,-,-,-
0.004,0.001,-,-,ANQOA,  opt may12,0.001,,-,0.001,-,-,,-,-,-,-,-
0.115,0.019,0.064,0.057,ALT,Analytica Ltd,0.062,0.4,95624,0.061,0.064,-,,-,-,-,-0.24,-
12.37,7.58,12.37,11.86,ANN,Ansell Ltd,12.18,31,12162,12.17,12.18,29,,2.82,1.92,2.38,81.7,14.9
0.065,0.029,-,-,ANO,Antaria Ltd,0.04,,-,0.039,0.04,-,,-,0.04,-,1.46,2.7
0.105,0.004,0.062,0.059,ADO,Anteo Diagnostics,0.059,,173941,0.059,0.06,-,,-,-,-,-0.8,-
0.07,0.001,0.047,0.046,ADOO,  opt sep10,0.046,0.1,7000,0.046,0.048,-,,-,-,-,-,-
0.025,0.015,-,-,ADOOA,  opt feb11,0.02,,-,0.012,0.025,-,,-,-,-,-,-
0.20,0.029,0.047,0.047,ANP,Antisense Therapeutic,0.047,,2000,0.046,0.048,-,,-,-,-,-0.55,-
25.25,14.28,25.11,24.82,ANZ,ANZ Banking Grp,25.11,23,78905,25.08,25.11,102,f,1.67,10.72,4.06,170.4,14.7
13.55,5.05,13.55,13.00,APE,AP Eagers Ltd,13.00,-55,14,13.00,13.55,62,f,1.96,8.81,4.77,121.6,10.7
0.023,0.009,-,-,APP,APA Financial,0.016,,-,0.017,0.022,-,,-,-,-,0.1,16.0
3.68,2.60,3.49,3.36,APA,APA Grp stp,3.36,-9,26444,3.35,3.39,31.75,,0.79,-,9.45,25,13.4
0.115,0.037,0.05,0.046,AEZ,APN European Retail stp,0.049,0.2,6517,0.047,0.049,-,,-,0.24,-,-11.22,-
2.61,1.09,2.33,2.29,APN,APN News & Media,2.32,1,11991,2.30,2.33,4,f,4.17,-0.78,1.72,16.7,13.9
0.41,0.14,0.255,0.24,APD,APN Prop Grp,0.255,-1,720,0.25,0.265,1.25,f,-,0.21,4.90,-17.88,-
0.04,0.007,-,-,AOP,Apollo Cons,0.008,,-,0.008,0.009,-,,-,-,-,0.18,4.4
0.018,0.008,-,-,AQL,Aquacarotene Ltd,0.013,,-,0.01,0.013,-,,-,-,-,-0.27,-
0.058,0.019,0.019,0.019,APB,Arafura Pearls,0.019,,180,0.021,0.022,-,,-,0.12,-,-7.66,-
5.70,2.535,5.55,5.51,ARP,ARB Corp,5.55,4,3499,5.54,5.55,17.5,f,2.31,1.22,3.15,40.44,13.7
1.845,0.94,1.375,1.34,AAD,Ardent Leisure stp,1.375,2,6413,1.355,1.375,14.3,,0.19,1.10,10.40,2.73,50.4
7.05,4.97,6.44,6.38,ARG,Argo Invest,6.41,5,1230,6.41,6.42,25,f,-,6.26,3.90,-11.1,-
1.098,0.006,-,-,ASV,Argus Solutions,0.20,,-,0.20,0.22,-,,-,-,-,-0.44,-
0.37,0.205,0.25,0.25,ARA,Ariadne Aust,0.25,,500,0.24,0.25,1,,-,0.32,4.00,-2.46,-
5.75,3.24,4.43,4.32,ALL,Aristocrat Leisure,4.33,-5,9005,4.33,4.35,4.5,,-,0.07,1.04,-31.3,-
0.025,0.005,0.012,0.012,AEM,Artist & Entertain,0.012,-0.1,13400,0.011,0.012,-,,-,-,-,-1.54,-
0.30,0.07,-,-,AKW,Arturus Capital,0.20,,-,0.17,0.20,-,,-,0.25,-,21.65,0.9
0.345,0.12,0.32,0.32,APH,Ascent Pharmahealth,0.32,,2796,0.32,0.325,-,,-,0.06,-,3.7,8.6
1.94,0.576,1.92,1.87,AIO,Asciano Grp stp,1.87,-3,244653,1.865,1.89,-,,-,0.10,-,-41.9,-
0.43,0.06,0.155,0.155,AFA,ASF Grp Ltd,0.155,,221,0.15,0.16,-,,-,0.02,-,-1.19,-
1.38,0.475,1.35,1.31,ASZ,ASG Grp Ltd,1.315,-3.5,1080,1.315,1.35,6,f,1.57,0.06,4.56,9.43,13.9
0.267,0.007,-,-,AJJ,Asia Liver Trans,0.10,,-,0.025,0.075,-,,-,-0.02,-,-2.51,-
0.002,0.001,-,-,AJJO,  opt sep10,-,,-,-,-,-,,-,-,-,-,-
1.06,0.77,1.03,1.03,AUF,Asian Masters Fund,1.03,,57,1.03,1.05,-,,-,0.96,-,-1.19,-
0.37,0.125,-,-,AKF,ASK Funding Ltd,0.23,,-,0.21,0.25,1.3,,2.46,0.34,5.65,3.2,7.2
0.575,0.27,0.505,0.50,APZ,Aspen Grp stp,0.50,,12526,0.50,0.505,4.19,,-,0.68,8.38,-3.37,-
0.271,0.11,0.12,0.12,ASP,Aspermont Ltd,0.12,,235,0.115,0.15,-,,-,-0.03,-,0.88,13.6
1.15,0.75,0.94,0.90,AIR,Astivita Renewables,0.90,-0.5,421,0.85,0.98,-,,-,0.38,-,8.23,10.9
0.90,0.008,0.67,0.66,AKR,Astra Capital Ltd,0.66,-2,56,0.66,0.69,-,,-,1.62,-,-1.87,-
0.515,0.23,0.41,0.395,AJA,Astro Jap Prop stp,0.40,-1,17041,0.40,0.405,8.5,,-,0.76,21.25,-36.49,-
2.70,1.55,1.86,1.86,ATR,Astron Ltd,1.86,-18,35,1.88,2.04,-,,-,2.90,-,-11.79,-
37.90,28.80,36.63,35.92,ASX,ASX Ltd,35.96,-74,14756,35.95,36.03,163.6,f,1.10,3.19,4.55,180.6,19.9
0.24,0.13,0.15,0.15,ACG,Atcor Medical,0.15,0.5,250,0.145,0.15,-,,-,0.04,-,-3.06,-
0.048,0.006,0.03,0.028,ATI,Atlantic Ltd,0.03,0.3,50964,0.028,0.031,-,,-,0.01,-,-0.12,-
0.039,0.003,0.018,0.017,ATIO,  opt dec11,0.018,0.1,17000,0.018,0.019,-,,-,-,-,-,-
0.16,0.082,0.125,0.125,ATP,Atlas Southsea Pearl,0.125,-0.5,260,0.125,0.13,-,,-,0.13,-,-6.75,-
