Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4462.1 at 16:37 20/8/2010  Report at 19:05 Friday 20/8/2010. Processed 08:28 Saturday 21/8/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.30,2.61,3.30,3.20,ONT,1300 Smiles Ltd,3.30,15,259,3.20,3.30,13.7,f,1.40,0.08,4.15,19.23,17.2,
0.18,0.08,-,-,TQH,3Q Hldgs Ltd,0.10,,-,0.05,0.10,-,,-,-0.08,-,3.28,3.0,
0.05,0.015,0.034,0.034,FCS,4C Sec Solution,0.034,0.4,26,0.034,0.04,-,,-,0.01,-,-2.77,-,
0.275,0.05,0.06,0.055,AAY,Aacl Hldgs Ltd,0.06,0.6,550,0.062,0.09,-,,-,-,-,-,-,
0.48,0.33,0.41,0.40,ABP,Abacus Prop stp,0.40,-1.5,39169,0.40,0.405,3.9,,-,0.60,9.75,-2.32,-,
1.47,1.21,1.235,1.235,ALR,Aberdeen Leaders,1.235,,136,1.23,1.245,9.5,f,1.08,1.31,7.69,10.29,12.0,
2.60,1.23,2.02,1.97,ACR,Acrux Ltd,2.00,-2,272,1.97,2.00,-,,-,0.06,-,-2.84,-,
0.11,0.027,0.07,0.07,ACW,Actinogen Ltd,0.07,,732,0.07,0.082,-,,-,0.04,-,-1.88,-,
0.003,0.001,-,-,ACWO,  opt aug12,0.001,,-,0.001,0.02,-,,-,-,-,-,-,
0.033,0.002,-,-,ACU,Acuvax Ltd,0.003,,-,0.003,0.004,-,,-,-,-,-0.37,-,
0.84,0.30,0.33,0.33,ADA,Adacel Tech,0.33,-1.5,24,0.33,0.345,-,,-,0.21,-,2.7,12.2,
0.305,0.145,0.185,0.185,AAU,Adcorp Aust,0.185,-1,200,0.18,0.19,-,,-,0.07,-,-2.18,-,
3.45,2.31,3.45,3.38,ABC,Adelaide Brighton,3.43,,52867,3.41,3.43,15.5,f,1.32,1.21,4.52,20.4,16.8,
1.45,1.144,1.45,1.45,AYT,Adelaide Managed unt,1.45,0.5,200,1.445,1.45,15.35,,0.14,1.63,10.59,2.11,68.7,
0.118,0.052,-,-,ADQ,ADG Global Supply,0.062,,-,0.05,0.071,-,,-,0.02,-,-11.08,-,
0.013,0.008,-,-,ADQO,  opt mar11,0.008,,-,0.002,0.009,-,,-,-,-,-,-,
0.016,0.002,-,-,ADL,Admerex Ltd,0.003,,-,0.003,0.004,-,,-,-,-,-0.4,-,
4.18,2.55,4.11,4.11,ADG,Adtrans Grp,4.11,,62,4.11,4.12,20,f,1.86,2.44,4.87,37.1,11.1,
0.019,0.005,0.015,0.015,ASC,Adultshop Com,0.015,,600,0.011,0.015,-,,-,0.02,-,-0.19,-,
0.008,0.002,0.005,0.005,ASCO,  opt dec11,0.005,-0.2,2500,0.005,0.008,-,,-,-,-,-,-,
0.038,0.016,0.02,0.02,ABV,Adv Braking Tech,0.02,,1800,0.019,0.02,-,,-,-,-,-0.32,-,
