Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4239.5 at 2012-01-04T16:39:56. Report at Wednesday, January 4, 2012. Processed Thursday at 2012-01-05T01:00:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.19,.082,-,-,ALU,Altium,.14,-,-,-,-,-,,-,-,-,-6.80,-,,
.155,.09,.13,.13,AMA,AMA Grp,.13,+.5,42,.125,.135,1.00,f,4.37,.05,7.69,4.37,3.0,,
6.73,5.10,5.73,5.56,AHD,Amalgamated Hldgs,5.70,+14,167,5.56,5.70,37.00,f,2.37,5.07,6.49,87.70,6.5,,
.38,.205,-,-,AMO,Ambertech,.27,-,-,.195,.27,.50,,.80,.55,1.85,.40,67.5,,
.36,.13,-,-,AMB,Ambition Grp,.13,-,-,-,-,-,,-,.17,-,2.71,4.8,,
98.79,95.478,-,-,AKY,AMCB Fund No 5,98.74,-,-,-,-,-,f,-,-,-,-,-,,
56.745,53.627,-,-,AKX,AMCB Fund No 4,71.10,-,-,-,-,-,f,-,-,-,-,-,,
.70,.60,.655,.65,AMH,AMCIL,.655,+.5,87,.66,.665,3.50,f,1.18,.71,5.34,4.13,15.9,,
.90,.567,.85,.835,AMM,Amcom Telco,.845,+1,590,.84,.865,3.60,f,1.00,.19,4.26,3.59,23.5,,
7.54,5.87,7.31,7.18,AMC,Amcor,7.22,-,29747,7.19,7.24,35.00,,.83,1.37,4.85,29.10,24.8,,
.85,.60,-,-,AGF,AMP Capital China unt,.63,-,-,-,-,2.59,,4.98,.88,4.11,12.90,4.9,,
5.82,3.61,4.25,4.19,AMP,AMP,4.23,+4,114408,4.22,4.23,30.00,p,1.05,.97,7.09,31.40,13.5,,
.15,.045,-,-,ANQ,AnaeCo,.05,-,-,.05,.053,-,,-,-.04,-,-6.20,-,,
.001,.001,-,-,ANQOA,  opt may12,.001,-,-,-,-,-,,-,-,-,-,-,,
.042,.016,.034,.029,ALT,Analytica,.03,+.1,174536,.03,.031,-,,-,-,-,-.05,-,,
.007,.001,.007,.005,ALTO,  opt sep12,.007,+.3,44090,.005,.007,-,,-,-,-,-,-,,
.005,.001,.005,.004,ALTOA,  opt jun13,.004,-,7250,.003,.004,-,,-,-,-,-,-,,
.31,.005,.13,.13,AEK,Anatolia Energy,.13,+1,40,.12,.13,-,,-,-,-,-1.78,-,,
.014,.004,-,-,AYG,Anittel Grp,.005,-,-,-,-,-,,-,-.01,-,-1.46,-,,
15.15,11.82,15.00,14.61,ANN,Ansell,14.75,+1,4393,14.70,15.00,33.00,,2.80,2.44,2.24,92.40,16.0,,
.04,.012,.014,.014,ANO,Antaria,.014,-,360,.012,.014,-,,-,.01,-,-1.03,-,,
.105,.054,.074,.073,ADO,Anteo Diagnostics,.074,+.1,11733,.073,.074,-,,-,.01,-,-.33,-,,
.039,.006,.022,.021,ANP,Antisense Therapeutic,.021,-.1,47571,.021,.022,-,,-,-,-,-.24,-,,
.027,.002,.013,.013,ANPO,  opt jul12,.013,-.1,5250,.013,.016,-,,-,-,-,-,-,,
25.96,17.63,21.11,20.82,ANZ,ANZ Banking Grp,21.02,+34,84248,20.93,21.04,140.00,f,1.49,11.44,6.66,208.20,10.1,,
13.15,9.20,12.25,12.25,APE,AP Eagers,12.25,+35,2,12.10,12.30,69.00,f,1.66,7.93,5.63,114.80,10.7,,
.03,.005,-,-,APP,APA Fin Services,.005,-,-,-,-,-,,-,.01,-,-.09,-,,
4.70,3.53,4.58,4.50,APA,APA Grp stp,4.54,+8,6677,4.46,4.57,34.40,,.57,1.51,7.58,19.70,23.0,,
.031,.001,-,-,AEZ,APN European Ret stp,.003,-,-,-,-,-,,-,-.17,-,-24.25,-,,
1.915,.695,.755,.73,APN,APN News & Media,.74,+.5,9635,.735,.76,10.50,f,-,-.63,14.19,-7.00,-,,
.26,.125,-,-,APD,APN Prop Grp,.13,-,-,-,-,1.25,,-,.20,9.62,-3.88,-,,
8.68,6.65,7.88,7.79,ARP,ARB Corp,7.83,+5,1045,7.70,7.84,23.00,f,2.27,1.63,2.94,52.23,15.0,,
1.59,.955,1.06,1.04,AAD,Ardent Leisure Grp stp,1.04,+1.5,7664,1.04,1.05,11.50,,1.00,.90,11.06,11.51,9.0,,
6.59,4.75,5.18,5.11,ARG,Argo Invest,5.12,+2,825,5.11,5.17,26.00,f,1.08,5.46,5.08,28.10,18.2,,
.35,.27,.33,.325,ARA,Ariadne Aust,.33,+1,112,.325,.33,2.00,,1.97,.35,6.06,3.94,8.4,,
3.54,1.88,2.30,2.23,ALL,Aristocrat Leisure,2.28,+3,13491,2.24,2.34,4.00,,2.48,.17,1.75,9.90,23.0,,
.076,.035,.065,.065,AIK,Armidale Invest,.065,+.5,158,.065,.08,-,,-,.10,-,8.83,.7,,
.015,.004,-,-,AEM,Artist & Entertain,.008,-,-,-,-,-,,-,-,-,-.38,-,,
.089,.01,-,-,AKW,Arturus Capital,.058,-,-,-,-,-,,-,-.10,-,-19.55,-,,
4.89,1.33,4.72,4.59,AIO,Asciano,4.66,+3,28399,4.60,4.68,6.00,f,3.00,-,1.29,18.00,25.9,,
.13,.085,.125,.125,AFA,ASF Grp,.125,-,919,.105,.195,-,,-,.03,-,-.53,-,,
1.26,.75,.87,.86,ASZ,ASG Grp,.865,+.5,2637,.86,.87,7.50,f,1.29,-,8.67,9.67,8.9,,
.16,.08,-,-,AJJ,Asia Liver Trans,.10,-,-,.07,.14,.30,,2.23,.01,3.00,.67,14.9,,
1.10,.85,.87,.87,AUF,Asian Masters Fund,.87,-1,100,.87,.95,1.00,f,-,.82,1.15,-.41,-,,
.18,.07,-,-,AKF,ASK Funding,.10,-,-,-,-,-,,-,.21,-,-16.90,-,,
.485,.355,.445,.435,APZ,Aspen Grp stp,.44,-,28518,.44,.445,4.20,,.73,.67,9.55,3.08,14.3,,
.14,.079,.115,.115,ASP,Aspermont,.115,-,100,.115,.14,-,,-,-,-,.07,164.3,,
1.25,.48,.585,.56,AIR,Astivita Renewables,.56,-2.5,77,.56,.58,8.00,f,1.83,.56,14.29,14.62,3.8,,
3.49,.315,2.15,2.05,AJA,Astro Japan Prop Grp stp,2.10,-5,400,2.04,2.19,42.50,,-,4.67,20.24,-41.52,-,,
3.25,2.39,2.75,2.70,ATR,Astron,2.70,-,44,2.41,2.70,-,,-,-,-,1.40,192.9,,
39.18,25.83,31.22,30.81,ASX,ASX,31.12,+44,4977,31.09,31.16,183.20,f,1.10,4.01,5.89,201.60,15.4,,
.165,.062,-,-,ACG,Atcor Medical,.082,-,-,-,-,-,,-,.02,-,-2.60,-,,
.13,.077,-,-,ATP,Atlas Southsea Pearl,.087,-,-,.082,.092,-,,-,.15,-,.41,21.2,,
