Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4554.4 at 16:36 2/8/2010  Report at 19:05 Monday 2/8/2010. Processed 19:23 Monday 2/8/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.30,2.55,3.24,3.24,ONT,1300 Smiles Ltd,3.24,4,9,3.20,3.24,12.5,f,1.54,0.08,3.86,19.23,16.8,
0.18,0.095,-,-,TQH,3Q Hldgs Ltd,0.11,,-,0.04,0.09,-,,-,-0.08,-,3.28,3.4,
0.05,0.015,-,-,FCS,4C Sec Solution,0.023,,-,0.023,0.034,-,,-,0.01,-,-2.77,-,
0.275,0.07,-,-,AAY,Aacl Hldgs Ltd,0.08,,-,0.072,0.08,-,,-,-,-,-,-,
0.48,0.33,0.415,0.405,ABP,Abacus Prop stp,0.41,-0.5,13672,0.41,0.415,3.9,,-,0.60,9.51,-2.32,-,
1.47,1.20,1.25,1.245,ALR,Aberdeen Leaders,1.25,1.5,86,1.25,1.27,9.5,f,0.81,1.21,7.60,7.67,16.3,
2.60,1.17,1.975,1.93,ACR,Acrux Ltd,1.96,1,896,1.91,1.96,-,,-,0.06,-,-2.84,-,
0.095,0.027,-,-,ACW,Actinogen Ltd,0.027,,-,0.023,0.048,-,,-,0.04,-,-1.88,-,
0.003,0.001,-,-,ACWO,  opt aug12,0.001,,-,-,-,-,,-,-,-,-,-,
0.035,0.003,-,-,ACU,Acuvax Ltd,0.003,,-,0.002,0.003,-,,-,-,-,-0.37,-,
0.84,0.30,-,-,ADA,Adacel Tech,0.35,,-,0.32,0.34,-,,-,0.21,-,2.7,13.0,
0.305,0.145,0.19,0.19,AAU,Adcorp Aust,0.19,,18,0.17,0.19,-,,-,0.07,-,-2.18,-,
3.20,2.31,3.20,3.16,ABC,Adelaide Brighton,3.19,2,8847,3.18,3.19,13.5,f,1.51,1.21,4.23,20.4,15.6,
1.45,1.095,1.41,1.40,AYT,Adelaide Managed unt,1.41,-1,400,1.41,1.43,16.02,,0.43,1.79,11.36,6.83,20.6,
0.118,0.052,0.062,0.062,ADQ,ADG Global Supply,0.062,-0.3,400,0.056,0.062,-,,-,0.02,-,-11.08,-,
0.013,0.008,-,-,ADQO,  opt mar11,0.008,,-,-,0.008,-,,-,-,-,-,-,
0.016,0.002,-,-,ADL,Admerex Ltd,0.003,,-,0.003,0.005,-,,-,-,-,-0.4,-,
3.70,2.35,-,-,ADG,Adtrans Grp,3.50,,-,3.55,3.70,20,f,1.86,2.44,5.71,37.1,9.4,
0.015,0.005,0.013,0.012,ASC,Adultshop Com,0.013,0.1,7112,0.012,0.014,-,,-,0.02,-,-0.19,-,
0.005,0.002,0.004,0.004,ASCO,  opt dec11,0.004,0.1,12000,0.003,0.004,-,,-,-,-,-,-,
