Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4575.2 at 16:47 29/10/2009  Report at 19:05 Thursday 29/10/2009. Processed 20:12 Thursday 29/10/2009.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.00,2.20,-,-,ONT,1300 Smiles Ltd,2.73,,-,2.65,2.70,11.4,f,1.64,0.13,4.18,18.7,14.6,
0.195,0.105,-,-,TQH,3Q Hldgs Ltd,0.18,,-,0.16,0.18,-,,-,-0.10,-,1.07,16.8,
0.09,0.015,0.022,0.022,FCS,4C Sec Solution,0.022,,12,0.022,0.045,-,,-,0.03,-,-4.2,-,
-,-,-,-,FCSOA,  opt dec13,-,,-,-,-,-,,-,-,-,-,-,
0.48,0.147,0.41,0.395,ABP,Abacus Prop stpld,0.405,-1.5,112658,0.405,0.41,7.75,,-,0.62,19.14,-11.81,-,
1.47,0.90,1.39,1.36,ALR,Aberdeen Leaders,1.36,-6,421,1.36,1.38,9,f,-,1.47,6.62,-21.34,-,
0.05,0.001,-,-,ACX,ACMA Engineering,0.001,,-,0.015,-,-,,-,-0.01,-,-0.33,-,
2.20,0.38,1.94,1.88,ACR,Acrux Ltd,1.90,-3,3043,1.89,1.90,-,,-,0.09,-,-4.84,-,
0.10,0.017,-,-,ACW,Actinogen Ltd,0.07,,-,0.06,0.08,-,,-,0.05,-,-2.32,-,
0.004,0.001,-,-,ACWO,  opt aug12,0.003,,-,0.001,-,-,,-,-,-,-,-,
0.05,0.016,0.021,0.021,ACU,Acuvax Ltd,0.021,-0.1,10950,0.02,0.021,-,,-,-,-,-0.43,-
0.84,0.30,0.59,0.575,ADA,Adacel Tech,0.575,-1.5,284,0.575,0.59,-,,-,0.22,-,8.2,7.0
0.345,0.165,0.285,0.28,AAU,Adcorp Aust,0.28,-2,675,0.28,0.30,1,,0.45,0.08,3.57,0.45,62.2
3.01,1.445,2.79,2.73,ABC,Adelaide Brighton,2.77,-2,17892,2.76,2.79,14,f,1.49,1.15,5.05,20.8,13.3
1.76,1.10,1.305,1.30,AYT,Adelaide Managed unt,1.30,,300,1.315,1.335,15.47,,0.81,1.78,11.90,12.59,10.3
0.20,0.061,-,-,ADQ,ADG Global Supply,0.09,,-,0.09,0.095,-,,-,-,-,-8.68,-
0.03,0.004,-,-,ADL,Admerex Ltd,0.012,,-,0.012,0.019,-,,-,0.01,-,-2.68,-
3.20,1.65,3.18,3.18,ADG,Adtrans Grp,3.18,-2,20,3.18,3.20,16,f,1.74,2.37,5.03,27.9,11.4
0.012,0.003,0.008,0.008,ASC,Adultshop Com,0.008,-0.1,50,0.008,0.009,-,,-,0.04,-,-0.28,-
0.002,0.002,-,-,ASCO,  opt dec11,0.002,,-,0.002,0.003,-,,-,-,-,-,-
0.038,0.005,0.031,0.029,ABV,Adv Braking Tech,0.031,,1963,0.029,0.033,-,,-,0.01,-,-0.36,-
0.60,0.28,0.60,0.60,AMT,Adv Surg Dsgn & Mnft,0.60,,20,0.51,0.60,-,,-,0.20,-,-2.9,-
0.079,0.02,-,-,AES,Advanced Energy,0.055,,-,0.055,0.07,-,,-,0.01,-,-0.06,-
0.14,0.031,0.065,0.062,ACE,Advanced Engine,0.064,-0.4,3746,0.064,0.068,-,,-,-0.04,-,-1.9,-
0.124,0.013,0.056,0.052,ANM,Advanced Magnesium,0.052,-0.2,2087,0.052,0.06,-,,-,0.01,-,-3.07,-
0.30,0.15,-,-,ASW,Advanced Share,0.26,,-,0.26,0.30,2,f,1.05,0.09,7.69,2.1,12.4
0.185,0.05,-,-,AEI,Aeris Environmental,0.13,,-,0.13,0.19,-,,-,0.01,-,-2.31,-
1.67,0.545,1.53,1.455,AVE,Aevum Ltd,1.53,8,469,1.465,1.53,4,,-,2.07,2.61,-9.7,-
0.001,0.001,-,-,AFT,AFT Corp,0.001,,-,-,0.001,-,,-,-,-,-0.03,-
15.82,12.83,14.08,13.60,AGK,AGL Energy Ltd,14.05,12,24354,14.05,14.06,54,f,6.63,6.00,3.84,358,3.9
0.28,0.13,0.16,0.16,AGJ,Agricultural Land unt,0.16,-1,277,0.13,0.15,2.42,,-,0.38,15.13,-3.63,-
2.45,1.295,-,-,AHC,AHC Ltd,2.45,,-,2.30,2.45,5,,3.56,3.31,2.04,17.79,13.8
0.22,0.04,0.17,0.17,AGI,Ainsworth Game Tech,0.17,,50,0.16,0.17,-,,-,0.02,-,-4.45,-
1.12,0.55,1.01,1.01,AIZ,Air New Zealand fpo nz,1.01,-8,72,1.01,1.08,5.22,,0.31,1.18,5.17,1.61,62.7
0.12,0.098,-,-,AIG,Aircruising Aust,0.11,,-,0.11,-,-,,-,-0.07,-,-5.34,-
5.60,2.03,4.32,4.20,AJL,AJ Lucas Grp,4.25,-18,4459,4.25,4.35,10.5,f,23.78,2.11,2.47,249.7,1.7
0.65,0.095,0.65,0.60,ACL,Alchemia Ltd,0.65,4,2662,0.63,0.655,-,,-,0.03,-,-5.2,-
47.10,45.617,-,-,AAI,Alcoa Inc cdi,46.00,,-,-,46.15,51.82,,-,-,1.13,-251.67,-
2.36,1.416,2.22,2.19,LEP,ALE Prop Grp stpld,2.19,-1,2256,2.18,2.20,30,,1.05,3.08,13.70,31.51,7.0
6.10,0.60,5.29,5.02,ALS,Alesco Corp,5.12,-13,7910,5.08,5.20,7,f,-,0.49,1.37,-13.94,-
0.325,0.10,-,-,ABQ,Allied Brands Ltd,0.14,,-,-,-,0.5,f,5.60,0.05,3.57,2.8,5.0
0.08,0.001,-,-,ABQO,  opt dec10,0.005,,-,-,-,-,,-,-,-,-,-
0.09,0.017,0.069,0.065,AMA,Allomak Ltd,0.069,,6226,0.065,0.069,2.1,,-,-0.23,30.43,-43.5,-
0.10,0.015,-,-,AEA,Altera Res Ltd,0.05,,-,0.041,0.087,-,,-,-,-,-3.25,-
1.45,0.575,0.99,0.985,AIQ,Alternative Invest unt,0.99,0.5,39,0.99,1.00,47,,-,1.45,47.47,-33.96,-
0.70,0.26,0.265,0.26,ALU,Altium Ltd,0.26,-1,629,0.26,0.29,2,,-,0.12,7.69,-0.47,-
6.20,3.81,6.20,6.00,AHD,Amalgamated Hldgs,6.00,-10,338,5.95,6.00,32,f,1.67,4.48,5.33,53.5,11.2
0.52,0.32,0.49,0.49,AMO,Ambertech Ltd,0.49,-1,120,0.49,0.52,3.5,f,1.69,0.57,7.14,5.9,8.3
