Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4277.8 at 16:37 7/7/2010  Report at 19:05 Wednesday 7/7/2010. Processed 09:32 Thursday 8/7/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.20,2.50,-,-,ONT,1300 Smiles Ltd,3.15,,-,3.10,3.15,12.5,f,1.54,0.08,3.97,19.23,16.4,
0.18,0.095,-,-,TQH,3Q Hldgs Ltd,0.11,,-,0.035,0.095,-,,-,-0.08,-,3.28,3.4,
0.05,0.015,-,-,FCS,4C Sec Solution,0.024,,-,0.023,0.026,-,,-,0.01,-,-2.77,-,
0.275,0.07,-,-,AAY,Aacl Hldgs Ltd,0.11,,-,0.11,0.16,-,,-,-,-,-,-,
0.48,0.33,0.40,0.385,ABP,Abacus Prop stp,0.385,-2,24499,0.38,0.39,3.9,,-,0.60,10.13,-2.32,-,
1.47,1.17,1.235,1.225,ALR,Aberdeen Leaders,1.23,,268,1.22,1.23,9.5,f,0.81,1.21,7.72,7.67,16.0,
2.60,1.065,1.88,1.80,ACR,Acrux Ltd,1.825,-6.5,353,1.80,1.83,-,,-,0.06,-,-2.84,-,
0.095,0.027,-,-,ACW,Actinogen Ltd,0.027,,-,0.02,0.048,-,,-,0.04,-,-1.88,-,
0.003,0.001,-,-,ACWO,  opt aug12,0.001,,-,-,-,-,,-,-,-,-,-,
0.035,0.003,-,-,ACU,Acuvax Ltd,0.003,,-,0.003,0.004,-,,-,-,-,-0.37,-,
0.84,0.30,0.33,0.30,ADA,Adacel Tech,0.30,-2.5,517,0.30,0.345,-,,-,0.21,-,2.7,11.1,
0.305,0.145,-,-,AAU,Adcorp Aust,0.155,,-,0.155,0.17,-,,-,0.07,-,-2.18,-,
3.01,2.05,2.97,2.89,ABC,Adelaide Brighton,2.90,-4,28942,2.88,2.95,13.5,f,1.51,1.21,4.66,20.4,14.2,
1.565,1.10,-,-,AYT,Adelaide Managed unt,1.40,,-,1.405,1.44,16.02,,0.43,1.79,11.44,6.83,20.5,
0.118,0.052,-,-,ADQ,ADG Global Supply,0.055,,-,0.059,0.07,-,,-,0.02,-,-11.08,-,
