Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4372.7 at 16:36 19/7/2010  Report at 19:05 Monday 19/7/2010. Processed 08:11 Tuesday 20/7/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.22,2.50,-,-,ONT,1300 Smiles Ltd,3.21,,-,3.18,3.21,12.5,f,1.54,0.08,3.89,19.23,16.7,
0.18,0.095,-,-,TQH,3Q Hldgs Ltd,0.11,,-,0.035,0.095,-,,-,-0.08,-,3.28,3.4,
0.05,0.015,-,-,FCS,4C Sec Solution,0.023,,-,0.023,0.034,-,,-,0.01,-,-2.77,-,
0.275,0.07,0.11,0.095,AAY,Aacl Hldgs Ltd,0.095,-1.5,1250,0.095,0.12,-,,-,-,-,-,-,
0.48,0.33,0.39,0.385,ABP,Abacus Prop stp,0.39,-0.5,22118,0.39,0.395,3.9,,-,0.60,10.00,-2.32,-,
1.47,1.20,1.22,1.215,ALR,Aberdeen Leaders,1.22,-1,109,1.215,1.23,9.5,f,0.81,1.21,7.79,7.67,15.9,
2.60,1.10,1.78,1.725,ACR,Acrux Ltd,1.745,-3.5,1053,1.745,1.75,-,,-,0.06,-,-2.84,-,
0.095,0.027,-,-,ACW,Actinogen Ltd,0.027,,-,0.023,0.027,-,,-,0.04,-,-1.88,-,
0.003,0.001,-,-,ACWO,  opt aug12,0.001,,-,-,0.001,-,,-,-,-,-,-,
0.035,0.003,-,-,ACU,Acuvax Ltd,0.004,,-,0.003,0.004,-,,-,-,-,-0.37,-,
0.84,0.30,-,-,ADA,Adacel Tech,0.31,,-,0.31,0.33,-,,-,0.21,-,2.7,11.5,
0.305,0.145,0.19,0.18,AAU,Adcorp Aust,0.18,1,420,0.18,0.20,-,,-,0.07,-,-2.18,-,
3.18,2.24,3.13,3.06,ABC,Adelaide Brighton,3.11,-2,13183,3.11,3.14,13.5,f,1.51,1.21,4.34,20.4,15.2,
1.505,1.032,1.45,1.40,AYT,Adelaide Managed unt,1.45,4,165,1.405,1.45,16.02,,0.43,1.79,11.05,6.83,21.2,
0.118,0.052,-,-,ADQ,ADG Global Supply,0.082,,-,0.065,0.081,-,,-,0.02,-,-11.08,-,
0.013,0.008,-,-,ADQO,  opt mar11,0.008,,-,-,0.008,-,,-,-,-,-,-,
0.016,0.002,-,-,ADL,Admerex Ltd,0.004,,-,0.004,0.005,-,,-,-,-,-0.4,-,
3.70,2.25,3.40,3.40,ADG,Adtrans Grp,3.40,-10,12,3.25,3.40,20,f,1.86,2.44,5.88,37.1,9.2,
0.015,0.005,0.01,0.01,ASC,Adultshop Com,0.01,,8617,0.01,0.011,-,,-,0.02,-,-0.19,-,
0.005,0.002,-,-,ASCO,  opt dec11,0.003,,-,0.002,0.004,-,,-,-,-,-,-,
0.038,0.012,-,-,ABV,Adv Braking Tech,0.018,,-,0.017,0.021,-,,-,-,-,-0.32,-,
0.64,0.30,-,-,AMT,Adv Surg Dsgn & Mnft,0.50,,-,0.35,0.50,-,,-,0.22,-,-0.1,-,
0.125,0.021,-,-,AES,Advanced Energy,0.05,,-,0.035,0.049,-,,-,0.01,-,-0.09,-,
0.093,0.031,0.047,0.044,ACE,Advanced Engine,0.047,0.7,3554,0.044,0.047,-,,-,-0.05,-,-2.58,-,
0.07,0.03,0.052,0.05,ANM,Advanced Magnesium,0.052,0.2,411,0.052,0.053,-,,-,0.02,-,-2.64,-,
0.695,0.235,-,-,ASW,Advanced Share,0.65,,-,0.65,0.68,2.75,f,1.15,0.11,4.23,3.16,20.6,
0.16,0.055,0.06,0.055,AEI,Aeris Environmental,0.055,-0.5,1009,0.05,0.055,-,,-,-,-,-2.05,-,
1.67,0.86,1.05,1.05,AVE,Aevum Ltd,1.05,-1,370,1.035,1.06,4,,1.05,2.07,3.81,4.2,25.0,
0.002,0.001,0.001,0.001,AFT,AFT Corp,0.001,,5250,0.001,0.002,-,,-,-,-,-0.01,-,
15.69,13.37,14.77,14.50,AGK,AGL Energy Ltd,14.67,-8,6266,14.66,14.75,57,f,0.47,6.21,3.89,27,54.3,
0.175,0.13,0.13,0.13,AGJ,Agricultural Land unt,0.13,,553,0.13,0.175,2.12,,-,0.38,16.31,-2.28,-,
2.45,2.00,-,-,AHC,AHC Ltd,2.05,,-,-,2.05,-,,-,4.89,-,14.09,14.5,
16.50,13.95,14.54,14.54,ENY,Aii200energy etf unt,14.54,-29,1,14.45,14.53,-,,-,-,-,-,-,
5.09,4.18,-,-,FIN,Aii200financials etf unt,4.42,,-,4.33,4.35,-,,-,-,-,-,-,
5.98,4.83,-,-,FIX,Aii200finxareit etf unt,5.02,,-,4.99,5.02,-,,-,-,-,-,-,
3.97,3.21,-,-,IDD,Aii200industrials etf unt,3.34,,-,3.33,3.35,-,,-,-,-,-,-,
5.65,4.60,4.87,4.87,RSR,Aii200res etf unt,4.87,-13,9,4.84,4.87,-,,-,-,-,-,-,
4.83,3.90,-,-,MAM,Aii300metals&Min etf unt,4.05,,-,4.04,4.07,-,,-,-,-,-,-,
0.22,0.075,0.085,0.085,AGI,Ainsworth Game Tech,0.085,,64,0.085,0.09,-,,-,0.01,-,-4.95,-,
1.145,0.75,0.83,0.83,AIZ,Air New Zealand,0.83,-2,8091,0.825,0.84,5.17,,0.75,1.12,6.23,3.9,21.3,
0.11,0.10,-,-,AIG,Aircruising Aust,0.11,,-,0.02,0.08,-,,-,-0.11,-,-8.38,-,
5.60,2.00,2.13,2.07,AJL,AJ Lucas Grp,2.13,-2,123,2.10,2.14,5.5,,2.91,1.32,2.58,16,13.3,
0.81,0.299,0.42,0.40,ACL,Alchemia Ltd,0.41,-1,168,0.40,0.41,-,,-,0.09,-,-4.6,-,
47.10,13.50,13.50,13.50,AAI,Alcoa Inc cdi,13.50,-45,1,12.55,17.00,11.61,,-,-,0.86,-137.14,-,
