Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4517.6 at 16:36 15/6/2010  Report at 19:05 Tuesday 15/6/2010. Processed 19:47 Tuesday 15/6/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.15,2.50,-,-,ONT,1300 Smiles Ltd,3.05,,-,3.06,3.20,12.5,f,1.54,0.08,4.10,19.23,15.9,
0.18,0.095,-,-,TQH,3Q Hldgs Ltd,0.11,,-,0.071,0.11,-,,-,-0.08,-,3.28,3.4,
0.05,0.015,0.028,0.028,FCS,4C Sec Solution,0.028,-0.2,57,0.01,0.03,-,,-,0.01,-,-2.77,-,
0.275,0.20,-,-,AAY,Aacl Hldgs Ltd,0.21,,-,0.16,0.21,-,,-,-,-,-,-,
0.48,0.33,0.39,0.38,ABP,Abacus Prop stp,0.39,,45319,0.385,0.39,5.75,,-,0.60,14.74,-2.32,-,
1.47,1.17,1.315,1.28,ALR,Aberdeen Leaders,1.28,-2.5,132,1.28,1.315,9,f,0.85,1.46,7.03,7.67,16.7,
2.60,1.05,1.905,1.845,ACR,Acrux Ltd,1.865,,589,1.85,1.90,-,,-,0.06,-,-2.84,-,
0.10,0.027,-,-,ACW,Actinogen Ltd,0.04,,-,0.03,0.048,-,,-,0.04,-,-1.88,-,
0.003,0.001,-,-,ACWO,  opt aug12,0.001,,-,-,-,-,,-,-,-,-,-,
0.035,0.004,0.005,0.005,ACU,Acuvax Ltd,0.005,0.1,6000,0.004,0.005,-,,-,-,-,-0.37,-,
0.84,0.32,0.41,0.41,ADA,Adacel Tech,0.41,-6,20,0.41,0.445,-,,-,0.21,-,2.7,15.2,
0.305,0.17,0.175,0.17,AAU,Adcorp Aust,0.175,,10378,0.17,0.18,1,,-,0.07,5.71,-2.18,-,
3.01,2.03,2.81,2.74,ABC,Adelaide Brighton,2.77,5,17046,2.76,2.79,13.5,f,1.51,1.21,4.87,20.4,13.6,
1.565,1.10,1.46,1.45,AYT,Adelaide Managed unt,1.45,-1,100,1.46,1.49,16.02,,0.43,1.79,11.05,6.83,21.2,
