Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4846.2 at 16:47 21/10/2009  Report at 19:05 Wednesday 21/10/2009. Processed 19:28 Wednesday 21/10/2009.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
2.42,1.416,2.20,2.19,LEP,ALE Prop Grp stpld,2.20,-2,934,2.18,2.20,30,,1.05,3.08,13.64,31.51,7.0
6.10,0.60,5.91,5.42,ALS,Alesco Corp,5.85,43,3613,5.69,5.86,7,f,-,0.49,1.20,-13.94,-
0.325,0.10,0.145,0.14,ABQ,Allied Brands Ltd,0.145,,870,0.14,0.145,0.5,f,5.60,0.05,3.45,2.8,5.2
0.08,0.001,-,-,ABQO,  opt dec10,0.001,,-,0.005,0.10,-,,-,-,-,-,-
0.24,0.017,0.072,0.07,AMA,Allomak Ltd,0.071,0.1,5457,0.071,0.072,2.1,,-,-0.23,29.58,-43.5,-
0.10,0.015,0.05,0.05,AEA,Altera Res Ltd,0.05,-1,1000,0.04,0.089,-,,-,-,-,-3.25,-
1.45,0.575,1.00,0.98,AIQ,Alternative Invest unt,1.00,1.5,268,0.985,1.00,47,,-,1.49,47.00,-33.96,-
0.70,0.26,0.29,0.275,ALU,Altium Ltd,0.275,-1,4635,0.275,0.29,2,,-,0.12,7.27,-0.47,-
5.96,3.81,5.72,5.60,AHD,Amalgamated Hldgs,5.69,1,196,5.69,5.74,32,f,1.67,4.48,5.62,53.5,10.6
0.52,0.32,0.50,0.50,AMO,Ambertech Ltd,0.50,1,130,0.49,0.515,3.5,f,1.69,0.57,7.00,5.9,8.5
0.38,0.096,-,-,AMB,Ambition Grp Ltd,0.34,,-,0.30,0.34,1.5,,-,0.13,4.41,-52.3,-
