Industrial Market - Daily,,,,,,,,,,,,,,,,,
XAO 4721.2 at 16:47 4/12/2009  Report at 19:05 Friday 4/12/2009. Processed 19:29 Friday 4/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.60,0.235,-,-,ALU,Altium Ltd,0.25,,-,0.25,0.29,2,,-,0.12,8.00,-0.47,-
6.24,3.598,5.96,5.66,AHD,Amalgamated Hldgs,5.86,-13,491,5.66,5.86,32,f,1.67,4.48,5.46,53.5,11.0
-,-,-,-,AHDN,  def,-,,-,-,-,-,,-,-,-,-,-
0.55,0.32,0.485,0.485,AMO,Ambertech Ltd,0.485,,40,0.485,0.52,3.5,f,1.69,0.57,7.22,5.9,8.2
0.38,0.096,-,-,AMB,Ambition Grp Ltd,0.315,,-,0.31,0.34,1.5,,-,0.13,4.76,-52.3,-
0.72,0.43,0.675,0.675,AMH,Amcil Ltd,0.675,,12,0.675,0.68,2,f,1.31,0.72,2.96,2.63,25.7
0.27,0.096,0.27,0.26,AMM,Amcom Telecomm,0.27,1.5,24206,0.265,0.27,0.8,f,2.81,0.18,2.96,2.25,12.0
0.085,0.002,0.085,0.07,AMMO,  opt dec09,0.07,-0.6,9924,0.071,0.082,-,,-,-,-,-,-
6.05,3.50,6.04,5.93,AMC,Amcor Ltd,6.02,7,53099,6.01,6.04,34,,0.74,1.61,5.65,25.3,23.8
3.00,1.30,2.56,2.50,AEC,Ammtec Ltd,2.54,4,320,2.50,2.60,16,f,1.69,0.77,6.30,27.1,9.4
1.265,0.73,1.09,1.075,AGF,AMP Capital China unt,1.09,1,1224,1.08,1.09,3.9,,1.12,1.27,3.58,4.35,25.1
6.97,3.52,6.22,6.12,AMP,AMP Ltd,6.15,-10,85792,6.13,6.17,30,p,0.99,0.67,4.88,29.6,20.8
0.39,0.09,0.26,0.255,ANQ,Anaeco Ltd,0.255,,2000,0.25,0.255,-,,-,0.02,-,-5.6,-
0.023,0.003,-,-,ANQO,  opt may10,0.003,,-,0.001,-,-,,-,-,-,-,-
0.016,0.001,-,-,ANQOA,  opt may12,0.004,,-,0.001,-,-,,-,-,-,-,-
0.083,0.019,-,-,ALT,Analytica Ltd,0.055,,-,0.053,0.055,-,,-,-,-,-0.6,-
13.38,7.51,10.40,10.00,ANN,Ansell Ltd,10.26,-29,6614,10.20,10.27,28,,3.19,1.98,2.73,89.2,11.5
0.065,0.028,0.05,0.05,ANO,Antaria Ltd,0.05,,100,0.05,0.055,-,,-,0.03,-,0.77,6.5
0.013,0.004,0.008,0.007,ADO,Anteo Diagnostics,0.007,-0.2,1515,0.007,0.008,-,,-,0.01,-,-1.1,-
0.004,0.002,-,-,ADOO,  opt sep10,0.002,,-,0.002,0.003,-,,-,-,-,-,-
-,-,-,-,ADOOA,  opt feb11,-,,-,-,0.009,-,,-,-,-,-,-
0.075,0.029,0.062,0.058,ANP,Antisense Therapeutic,0.061,0.3,1042,0.058,0.062,-,,-,0.01,-,-0.46,-
25.25,11.83,22.08,21.80,ANZ,ANZ Banking Grp,21.98,-22,43234,21.90,21.98,102,f,1.67,10.72,4.64,170.4,12.9
11.65,4.45,10.42,10.02,APE,AP Eagers Ltd,10.02,-67,53,10.10,10.60,44,f,0.82,8.41,4.39,36.1,27.8
0.081,0.01,-,-,APP,APA Financial,0.018,,-,0.021,0.035,-,,-,-,-,-3.7,-
3.38,2.50,3.34,3.24,APA,APA Grp stpld,3.25,-8,4836,3.23,3.30,31,,0.52,1.18,9.54,16.2,20.1
0.115,0.014,0.068,0.066,AEZ,APN European Retail stpld,0.068,0.2,1418,0.066,0.068,1,,-,0.33,14.71,-56.84,-
2.61,0.866,2.46,2.36,APN,APN News & Media,2.39,-1,8933,2.36,2.39,12,,-,-1.23,5.02,-13.1,-
0.41,0.09,-,-,APD,APN Prop Grp,0.345,,-,0.345,0.36,3,,-,0.20,8.70,-18.08,-
0.04,0.009,0.011,0.011,AOP,Apollo Cons,0.011,,8150,0.011,0.012,-,,-,-,-,-0.91,-
0.018,0.008,-,-,AQL,Aquacarotene Ltd,0.012,,-,0.012,0.016,-,,-,-,-,-0.35,-
0.08,0.038,0.047,0.047,APB,Arafura Pearls,0.047,-0.3,1200,0.045,0.049,-,,-,0.22,-,2,2.4
5.20,2.368,4.87,4.81,ARP,ARB Corp,4.85,-6,3644,4.83,4.86,16.5,f,2.05,1.22,3.40,33.86,14.3
1.69,0.79,1.69,1.61,AAD,Ardent Leisure Grp stp,1.635,6,23615,1.63,1.635,14.3,,-,1.18,8.75,-0.32,-
6.91,4.52,6.70,6.62,ARG,Argo Invest,6.70,5,862,6.65,6.70,27,f,-,6.26,4.03,-11.1,-
0.017,0.005,-,-,ASV,Argus Solutions,0.008,,-,0.006,0.008,-,,-,-,-,-0.12,-
0.37,0.16,0.34,0.305,ARA,Ariadne Aust,0.34,-2,52,0.33,0.34,1,,-,0.30,2.94,-4.51,-
