Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4743.8 at 16:34 3/3/2010  Report at 19:06 Wednesday 3/3/2010. Processed 19:32 Wednesday 3/3/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.00,2.50,2.90,2.85,ONT,1300 Smiles Ltd,2.90,5,229,2.87,2.90,12.5,f,1.54,0.08,4.31,19.23,15.1,
0.18,0.10,-,-,TQH,3Q Hldgs Ltd,0.125,,-,0.12,0.145,-,,-,-0.10,-,1.07,11.7,
0.07,0.015,-,-,FCS,4C Sec Solution,0.02,,-,0.02,0.035,-,,-,0.03,-,-4.2,-,
0.48,0.255,0.43,0.425,ABP,Abacus Prop stp,0.43,,39642,0.425,0.43,5.75,,-,0.60,13.37,-2.32,-,
1.45,0.90,1.385,1.385,ALR,Aberdeen Leaders,1.385,-0.5,4,1.36,1.385,9,f,0.85,1.41,6.50,7.67,18.1,
2.54,0.42,2.06,2.01,ACR,Acrux Ltd,2.05,1,2701,2.02,2.06,-,,-,0.06,-,-2.84,-,
0.10,0.017,-,-,ACW,Actinogen Ltd,0.07,,-,0.042,0.072,-,,-,0.05,-,-2.32,-,
0.004,0.001,-,-,ACWO,  opt aug12,0.001,,-,-,0.001,-,,-,-,-,-,-,
0.05,0.012,0.013,0.013,ACU,Acuvax Ltd,0.013,-0.1,2000,0.013,0.014,-,,-,-,-,-0.43,-,
0.84,0.32,0.395,0.32,ADA,Adacel Tech,0.35,-4.5,733,0.35,0.395,-,,-,0.21,-,2.7,13.0,
0.31,0.17,0.185,0.185,AAU,Adcorp Aust,0.185,-0.5,901,0.185,0.195,1,,0.45,0.08,5.41,0.45,41.1,
3.01,1.445,2.44,2.39,ABC,Adelaide Brighton,2.40,1,12322,2.40,2.44,13.5,f,1.51,1.21,5.63,20.4,11.8,
1.575,1.10,1.30,1.30,AYT,Adelaide Managed unt,1.30,-1,275,1.29,1.30,13.82,,0.49,1.78,10.63,6.83,19.0,
0.123,0.058,0.072,0.072,ADQ,ADG Global Supply,0.072,,972,0.072,0.099,-,,-,-,-,-8.68,-,
0.01,0.01,-,-,ADQO,  opt mar11,0.01,,-,0.01,0.019,-,,-,-,-,-,-,
0.016,0.004,0.005,0.005,ADL,Admerex Ltd,0.005,,5000,0.005,0.006,-,,-,0.01,-,-2.68,-,
3.60,1.90,3.50,3.50,ADG,Adtrans Grp,3.50,,11,3.51,3.60,20,f,1.40,2.37,5.71,27.9,12.5,
0.014,0.004,0.011,0.011,ASC,Adultshop Com,0.011,,6596,0.01,0.011,-,,-,0.04,-,-0.28,-,
0.005,0.002,-,-,ASCO,  opt dec11,0.003,,-,0.003,0.005,-,,-,-,-,-,-,
0.038,0.005,0.02,0.02,ABV,Adv Braking Tech,0.02,,488,0.02,0.023,-,,-,-,-,-0.32,-,
0.64,0.28,0.53,0.53,AMT,Adv Surg Dsgn & Mnft,0.53,,18,0.51,0.53,-,,-,0.22,-,-0.1,-,
0.085,0.02,-,-,AES,Advanced Energy,0.05,,-,0.05,0.06,-,,-,0.01,-,-0.06,-,
0.093,0.031,-,-,ACE,Advanced Engine,0.054,,-,0.03,0.055,-,,-,-0.04,-,-1.9,-,
0.124,0.016,0.056,0.056,ANM,Advanced Magnesium,0.056,,84,0.056,0.06,-,,-,0.01,-,-3.07,-,
0.435,0.15,0.38,0.38,ASW,Advanced Share,0.38,,62,0.38,0.39,2.75,f,1.15,0.11,7.24,3.16,12.0,
0.185,0.05,-,-,AEI,Aeris Environmental,0.09,,-,0.09,0.095,-,,-,0.01,-,-2.31,-,
1.67,0.545,1.24,1.165,AVE,Aevum Ltd,1.165,-5.5,13931,1.16,1.21,4,,1.05,2.07,3.43,4.2,27.7,
0.002,0.001,0.001,0.001,AFT,AFT Corp,0.001,,93198,0.001,0.002,-,,-,-,-,-0.03,-,
15.46,12.96,14.75,14.49,AGK,AGL Energy Ltd,14.71,18,25311,14.61,14.71,57,f,0.47,6.21,3.87,27,54.5,
0.28,0.13,-,-,AGJ,Agricultural Land unt,0.17,,-,0.17,-,2.12,,-,0.38,12.47,-3.63,-,
2.45,1.295,-,-,AHC,AHC Ltd,2.25,,-,2.25,2.40,-,,-,4.89,-,14.09,16.0,
0.22,0.055,-,-,AGI,Ainsworth Game Tech,0.13,,-,0.13,0.15,-,,-,0.02,-,-4.45,-,
1.12,0.55,1.03,1.02,AIZ,Air New Zealand,1.03,3,15,0.99,1.03,5.22,,0.75,1.12,5.07,3.9,26.4,
0.12,0.098,-,-,AIG,Aircruising Aust,0.11,,-,-,-,-,,-,-0.07,-,-5.34,-,
5.60,2.03,2.95,2.81,AJL,AJ Lucas Grp,2.95,-2,3517,2.95,3.00,5.5,,2.91,1.32,1.86,16,18.4,
0.81,0.159,0.65,0.63,ACL,Alchemia Ltd,0.64,-1,526,0.64,0.65,-,,-,0.09,-,-4.6,-,
47.10,44.00,-,-,AAI,Alcoa Inc cdi,45.19,,-,-,45.20,12.39,,-,-,0.27,-251.67,-,
2.43,1.459,2.22,2.19,LEP,ALE Prop Grp stp,2.20,,32808,2.17,2.20,27,,3.55,2.39,12.27,95.98,2.3,
5.91,0.60,4.60,4.44,ALS,Alesco Corp,4.58,8,11002,4.57,4.59,14,f,-,0.65,3.06,-17.36,-,
0.13,0.032,0.078,0.075,AEJ,Alinta Energy Grp stp,0.076,0.1,7194,0.076,0.077,-,,-,-1.53,-,-58.71,-,
0.245,0.10,0.13,0.125,ABQ,Allied Brands Ltd,0.13,-0.5,1832,0.12,0.13,0.5,,5.60,0.05,3.85,2.8,4.6,
0.005,0.001,-,-,ABQO,  opt dec10,0.001,,-,-,0.001,-,,-,-,-,-,-,
0.225,0.014,0.22,0.22,AEA,Altera Res Ltd,0.22,-0.5,100,0.175,0.22,-,,-,-,-,-3.25,-,
0.075,0.065,-,-,AEAO,  opt jan12,0.075,,-,0.065,0.085,-,,-,-,-,-,-,
1.45,0.575,1.03,1.03,AIQ,Alternative Invest unt s,1.03,,10,1.03,1.07,47,,-,1.46,45.63,-33.96,-,
