Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4859.7 at 16:47 23/10/2009  Report at 19:05 Friday 23/10/2009. Processed 19:27 Friday 23/10/2009.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.00,2.20,-,-,ONT,1300 Smiles Ltd,2.73,,-,2.65,2.73,11.4,f,1.64,0.13,4.18,18.7,14.6,
0.195,0.105,0.18,0.16,TQH,3Q Hldgs Ltd,0.18,2,849,0.165,0.18,-,,-,-0.10,-,1.07,16.8,
0.09,0.015,-,-,FCS,4C Sec Solution,0.027,,-,0.022,0.045,-,,-,0.03,-,-4.2,-,
-,-,-,-,FCSOA,  opt dec13,-,,-,-,-,-,,-,-,-,-,-,
0.48,0.147,0.48,0.465,ABP,Abacus Prop stpld,0.475,,95897,0.47,0.475,7.75,,-,0.62,16.32,-11.81,-,
1.47,0.90,1.43,1.43,ALR,Aberdeen Leaders,1.43,1,11,1.41,1.43,9,f,-,1.47,6.29,-21.34,-,
0.05,0.001,-,-,ACX,ACMA Engineering,0.001,,-,0.015,-,-,,-,-0.01,-,-0.33,-,
2.20,0.38,2.01,1.96,ACR,Acrux Ltd,1.96,,2303,1.95,1.995,-,,-,0.09,-,-4.84,-,
0.10,0.017,-,-,ACW,Actinogen Ltd,0.07,,-,0.059,0.08,-,,-,0.05,-,-2.32,-,
0.004,0.001,-,-,ACWO,  opt aug12,0.003,,-,-,-,-,,-,-,-,-,-,
0.05,0.016,0.023,0.02,ACU,Acuvax Ltd,0.022,0.1,1808,0.02,0.022,-,,-,-,-,-0.43,-
0.84,0.30,0.58,0.58,ADA,Adacel Tech,0.58,1,900,0.575,0.58,-,,-,0.22,-,8.2,7.1
0.345,0.165,0.28,0.28,AAU,Adcorp Aust,0.28,,230,0.28,0.29,1,,0.45,0.08,3.57,0.45,62.2
3.01,1.445,3.01,2.92,ABC,Adelaide Brighton,2.96,6,22043,2.94,2.96,14,f,1.49,1.15,4.73,20.8,14.2
1.76,1.10,1.32,1.30,AYT,Adelaide Managed unt,1.30,-1,830,1.30,1.32,15.47,,0.81,1.78,11.90,12.59,10.3
0.20,0.061,-,-,ADQ,ADG Global Supply,0.09,,-,0.083,0.095,-,,-,-,-,-8.68,-
0.03,0.004,-,-,ADL,Admerex Ltd,0.012,,-,0.012,0.019,-,,-,0.01,-,-2.68,-
3.20,1.65,3.20,3.16,ADG,Adtrans Grp,3.16,,62,3.16,3.20,16,f,1.74,2.37,5.06,27.9,11.3
0.012,0.003,0.01,0.01,ASC,Adultshop Com,0.01,-0.1,20279,0.009,0.01,-,,-,0.04,-,-0.28,-
-,-,-,-,ASCN,  def,-,,-,-,-,-,,-,-,-,-,-
-,-,-,-,ASCO,  optdec11d,-,,-,0.002,0.008,-,,-,-,-,-,-
0.038,0.005,0.03,0.028,ABV,Adv Braking Tech,0.03,,4500,0.029,0.03,-,,-,0.01,-,-0.36,-
0.51,0.28,0.51,0.44,AMT,Adv Surg Dsgn & Mnft,0.51,11,183,0.48,0.52,-,,-,0.20,-,-2.9,-
0.079,0.02,-,-,AES,Advanced Energy,0.079,,-,0.055,0.06,-,,-,0.01,-,-0.06,-
0.14,0.031,0.093,0.058,ACE,Advanced Engine,0.075,2.5,42641,0.07,0.075,-,,-,-0.04,-,-1.9,-
0.124,0.013,0.06,0.055,ANM,Advanced Magnesium,0.06,0.5,133,0.056,0.06,-,,-,0.01,-,-3.07,-
0.30,0.15,0.30,0.29,ASW,Advanced Share,0.30,1,205,0.28,0.30,2,f,1.05,0.09,6.67,2.1,14.3
0.185,0.05,-,-,AEI,Aeris Environmental,0.135,,-,0.14,0.16,-,,-,0.01,-,-2.31,-
1.67,0.545,1.56,1.50,AVE,Aevum Ltd,1.515,-0.5,446,1.50,1.55,4,,-,2.07,2.64,-9.7,-
0.001,0.001,0.001,0.001,AFT,AFT Corp,0.001,,43326,0.001,0.001,-,,-,-,-,-0.03,-
15.82,12.83,14.55,14.32,AGK,AGL Energy Ltd,14.35,-16,15321,14.34,14.35,54,f,6.63,6.00,3.76,358,4.0
0.28,0.13,-,-,AGJ,Agricultural Land unt,0.17,,-,0.16,0.17,2.42,,-,0.38,14.24,-3.63,-
2.45,1.295,2.45,2.45,AHC,AHC Ltd,2.45,5,200,2.25,2.45,5,,3.56,3.31,2.04,17.79,13.8
0.22,0.04,0.18,0.17,AGI,Ainsworth Game Tech,0.17,-1,1119,0.17,0.20,-,,-,0.02,-,-4.45,-
1.12,0.55,1.12,1.06,AIZ,Air New Zealand fpo nz,1.115,5.5,551,1.04,1.12,5.22,,0.31,1.18,4.68,1.61,69.3
0.13,0.098,-,-,AIG,Aircruising Aust,0.11,,-,0.11,-,-,,-,-0.07,-,-5.34,-
5.60,2.03,4.85,4.68,AJL,AJ Lucas Grp,4.72,-7,1957,4.68,4.74,10.5,f,23.78,2.11,2.22,249.7,1.9
0.60,0.095,0.55,0.535,ACL,Alchemia Ltd,0.54,,1425,0.535,0.545,-,,-,0.03,-,-5.2,-
47.10,45.617,-,-,AAI,Alcoa Inc cdi,46.00,,-,44.50,46.10,51.82,,-,-,1.13,-12.99,-
2.36,1.416,2.27,2.18,LEP,ALE Prop Grp stpld,2.27,8,3292,2.21,2.27,30,,1.05,3.08,13.22,31.51,7.2
6.10,0.60,5.79,5.63,ALS,Alesco Corp,5.76,21,3895,5.76,5.78,7,f,-,0.49,1.22,-13.94,-
0.325,0.10,0.14,0.135,ABQ,Allied Brands Ltd,0.14,0.5,1500,0.135,0.14,0.5,f,5.60,0.05,3.57,2.8,5.0
0.08,0.001,0.005,0.005,ABQO,  opt dec10,0.005,0.4,60,0.005,0.10,-,,-,-,-,-,-
0.09,0.017,0.072,0.07,AMA,Allomak Ltd,0.07,,6400,0.066,0.072,2.1,,-,-0.23,30.00,-43.5,-
0.10,0.015,-,-,AEA,Altera Res Ltd,0.05,,-,0.04,0.09,-,,-,-,-,-3.25,-
