Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4356.6 at 16:37 25/8/2010  Report at 19:05 Wednesday 25/8/2010. Processed 14:22 Tuesday 31/8/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.30,2.61,3.30,3.20,ONT,1300 Smiles Ltd,3.20,,248,3.20,3.28,13.7,f,1.53,0.15,4.28,21,15.2,
0.18,0.08,-,-,TQH,3Q Hldgs Ltd,0.08,,-,0.04,0.11,-,,-,-0.08,-,3.28,2.4,
0.05,0.015,0.04,0.04,FCS,4C Sec Solution,0.04,0.1,964,0.038,0.042,-,,-,0.01,-,-2.77,-,
0.275,0.05,0.063,0.063,AAY,Aacl Hldgs Ltd,0.063,,80,0.063,0.07,-,,-,-,-,-,-,
0.48,0.33,0.41,0.395,ABP,Abacus Prop stp,0.395,-2,57568,0.395,0.40,3.9,,-,0.60,9.87,-2.32,-,
1.47,1.21,1.245,1.23,ALR,Aberdeen Leaders,1.23,-0.5,160,1.225,1.23,9.5,f,1.08,1.31,7.72,10.29,12.0,
2.60,1.24,2.00,1.96,ACR,Acrux Ltd,1.98,-2,1011,1.96,1.98,-,,-,0.06,-,-2.84,-,
0.11,0.027,-,-,ACW,Actinogen Ltd,0.07,,-,0.07,0.082,-,,-,0.04,-,-1.88,-,
0.003,0.001,-,-,ACWO,  opt aug12,0.001,,-,0.001,0.02,-,,-,-,-,-,-,
0.033,0.002,0.002,0.002,ACU,Acuvax Ltd,0.002,,1700,0.002,0.003,-,,-,-,-,-0.37,-,
0.84,0.30,-,-,ADA,Adacel Tech,0.33,,-,0.31,0.345,-,,-,0.21,-,2.7,12.2,
0.305,0.145,0.175,0.175,AAU,Adcorp Aust,0.175,-1,50,0.175,0.19,-,,-,0.07,-,-2.18,-,
3.46,2.31,3.34,3.26,ABC,Adelaide Brighton,3.26,-16,18291,3.25,3.27,15.5,f,1.52,1.16,4.75,23.6,13.8,
1.46,1.144,-,-,AYT,Adelaide Managed unt,1.455,,-,1.455,1.47,15.35,,0.14,1.63,10.55,2.11,69.0,
0.118,0.05,0.055,0.05,ADQ,ADG Global Supply,0.05,-1,12000,0.05,0.056,-,,-,0.02,-,-11.08,-,
0.013,0.008,-,-,ADQO,  opt mar11,0.008,,-,0.001,0.009,-,,-,-,-,-,-,
0.016,0.002,-,-,ADL,Admerex Ltd,0.003,,-,0.003,0.004,-,,-,-,-,-0.4,-,
4.18,2.63,4.10,4.05,ADG,Adtrans Grp,4.10,,215,4.07,4.11,20,f,1.86,2.44,4.88,37.1,11.1,
0.019,0.005,0.013,0.013,ASC,Adultshop Com,0.013,-0.1,49500,0.013,0.014,-,,-,0.02,-,-0.19,-,
0.008,0.002,-,-,ASCO,  opt dec11,0.005,,-,0.005,0.007,-,,-,-,-,-,-,
