Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4479.0 at 16:37 28/5/2010  Report at 19:05 Friday 28/5/2010. Processed 07:22 Saturday 29/5/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.05,2.50,3.05,3.04,ONT,1300 Smiles Ltd,3.05,,3,3.00,3.05,12.5,f,1.54,0.08,4.10,19.23,15.9,
0.18,0.095,-,-,TQH,3Q Hldgs Ltd,0.11,,-,0.061,0.11,-,,-,-0.08,-,3.28,3.4,
0.06,0.015,-,-,FCS,4C Sec Solution,0.035,,-,0.03,0.038,-,,-,0.01,-,-2.77,-,
0.275,0.20,-,-,AAY,Aacl Hldgs Ltd,0.21,,-,0.15,0.21,-,,-,-,-,-,-,
0.48,0.325,0.39,0.38,ABP,Abacus Prop stp,0.385,0.5,34131,0.385,0.39,5.75,,-,0.60,14.94,-2.32,-,
1.47,1.155,1.31,1.30,ALR,Aberdeen Leaders,1.30,,257,1.30,1.31,9,f,0.85,1.46,6.92,7.67,16.9,
2.60,1.05,1.995,1.905,ACR,Acrux Ltd,1.96,3,538,1.96,2.00,-,,-,0.06,-,-2.84,-,
0.10,0.027,0.04,0.04,ACW,Actinogen Ltd,0.04,1.3,407,0.04,0.048,-,,-,0.04,-,-1.88,-,
0.003,0.001,-,-,ACWO,  opt aug12,0.001,,-,-,-,-,,-,-,-,-,-,
0.035,0.004,0.005,0.004,ACU,Acuvax Ltd,0.005,,2488,0.004,0.006,-,,-,-,-,-0.37,-,
0.84,0.32,0.425,0.42,ADA,Adacel Tech,0.425,2.5,162,0.41,0.55,-,,-,0.21,-,2.7,15.7,
0.305,0.17,-,-,AAU,Adcorp Aust,0.17,,-,0.18,0.20,1,,-,0.07,5.88,-2.18,-,
3.01,2.03,2.74,2.69,ABC,Adelaide Brighton,2.72,8,18664,2.71,2.73,13.5,f,1.51,1.21,4.96,20.4,13.3,
1.565,1.10,-,-,AYT,Adelaide Managed unt,1.495,,-,1.495,1.50,16.02,,0.43,1.78,10.72,6.83,21.9,
0.123,0.058,-,-,ADQ,ADG Global Supply,0.059,,-,0.056,0.066,-,,-,0.02,-,-11.08,-,
0.013,0.008,-,-,ADQO,  opt mar11,0.008,,-,0.004,0.009,-,,-,-,-,-,-,
0.016,0.004,-,-,ADL,Admerex Ltd,0.004,,-,0.004,0.005,-,,-,-,-,-0.4,-,
3.70,2.00,-,-,ADG,Adtrans Grp,3.50,,-,3.50,3.70,20,f,1.86,2.44,5.71,37.1,9.4,
0.015,0.004,0.008,0.008,ASC,Adultshop Com,0.008,,8050,0.008,0.01,-,,-,0.02,-,-0.19,-,
0.005,0.002,-,-,ASCO,  opt dec11,0.003,,-,0.002,0.003,-,,-,-,-,-,-,
0.038,0.009,-,-,ABV,Adv Braking Tech,0.021,,-,0.018,0.021,-,,-,-,-,-0.32,-,
0.64,0.28,-,-,AMT,Adv Surg Dsgn & Mnft,0.33,,-,0.25,0.44,-,,-,0.22,-,-0.1,-,
0.125,0.02,-,-,AES,Advanced Energy,0.05,,-,0.04,0.12,-,,-,0.01,-,-0.09,-,
0.093,0.031,-,-,ACE,Advanced Engine,0.037,,-,0.03,0.04,-,,-,-0.05,-,-2.58,-,
0.124,0.019,0.058,0.054,ANM,Advanced Magnesium,0.058,0.3,468,0.058,0.059,-,,-,0.02,-,-2.64,-,
0.44,0.195,-,-,ASW,Advanced Share,0.38,,-,0.38,0.39,2.75,f,1.15,0.11,7.24,3.16,12.0,
0.185,0.061,-,-,AEI,Aeris Environmental,0.061,,-,0.061,0.074,-,,-,-,-,-2.05,-,
1.67,0.795,1.13,1.09,AVE,Aevum Ltd,1.095,-1,463,1.09,1.12,4,,1.05,2.07,3.65,4.2,26.1,
0.002,0.001,0.001,0.001,AFT,AFT Corp,0.001,,24000,0.001,0.002,-,,-,-,-,-0.01,-,
15.69,13.07,13.91,13.51,AGK,AGL Energy Ltd,13.51,-17,30973,13.51,13.75,57,f,0.47,6.21,4.22,27,50.0,
0.19,0.13,-,-,AGJ,Agricultural Land unt,0.15,,-,0.15,0.165,2.12,,-,0.38,14.13,-2.28,-,
2.45,1.295,-,-,AHC,AHC Ltd,2.00,,-,-,2.25,-,,-,4.89,-,14.09,14.2,
16.50,14.36,-,-,ENY,Aii200energy etf unt,14.36,,-,14.49,14.61,-,,-,-,-,-,-,
5.09,4.32,-,-,FIN,Aii200financials etf unt,4.32,,-,4.47,4.51,-,,-,-,-,-,-,
5.98,5.08,-,-,FIX,Aii200finxareit etf unt,5.08,,-,5.20,5.24,-,,-,-,-,-,-,
3.97,3.48,-,-,IDD,Aii200industrials etf unt,3.48,,-,3.43,3.46,-,,-,-,-,-,-,
5.65,4.60,-,-,RSR,Aii200res etf unt,4.84,,-,4.84,4.96,-,,-,-,-,-,-,
4.83,3.90,4.18,4.18,MAM,Aii300metals&Min etf unt,4.18,28,100,4.14,4.17,-,,-,-,-,-,-,
0.22,0.065,0.10,0.10,AGI,Ainsworth Game Tech,0.10,,110,0.10,0.12,-,,-,0.01,-,-4.95,-,
1.145,0.67,0.955,0.95,AIZ,Air New Zealand,0.95,-0.5,1206,0.91,0.98,5.17,,0.75,1.12,5.44,3.9,24.4,
0.11,0.10,-,-,AIG,Aircruising Aust,0.11,,-,0.005,-,-,,-,-0.11,-,-8.38,-,
5.60,2.00,2.39,2.21,AJL,AJ Lucas Grp,2.36,18,2277,2.35,2.36,5.5,,2.91,1.32,2.33,16,14.7,
0.81,0.299,0.55,0.53,ACL,Alchemia Ltd,0.55,0.5,1698,0.53,0.55,-,,-,0.09,-,-4.6,-,
