Industrial Market - Daily,,,,,,,,,,,,,,,,,
XAO 4799.4 at 16:36 15/3/2010  Report at 19:06 Monday 15/3/2010. Processed 19:16 Monday 15/3/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
3.00,2.50,-,-,ONT,1300 Smiles Ltd,2.80,,-,2.80,2.90,12.5,f,1.54,0.08,4.46,19.23,14.6
0.18,0.10,-,-,TQH,3Q Hldgs Ltd,0.12,,-,0.11,0.14,-,,-,-0.08,-,3.28,3.7
0.07,0.015,0.017,0.017,FCS,4C Sec Solution,0.017,-0.3,128,0.017,0.02,-,,-,0.01,-,-2.77,-
0.48,0.255,0.43,0.405,ABP,Abacus Prop stp,0.405,-2,81564,0.405,0.41,5.75,,-,0.60,14.20,-2.32,-
1.45,1.04,1.45,1.41,ALR,Aberdeen Leaders,1.41,,85,1.40,1.41,9,f,0.85,1.41,6.38,7.67,18.4
2.54,0.46,2.39,2.33,ACR,Acrux Ltd,2.38,9,2702,2.46,2.30,-,,-,0.06,-,-2.84,-
0.10,0.017,-,-,ACW,Actinogen Ltd,0.07,,-,0.05,0.065,-,,-,0.04,-,-1.88,-
0.004,0.001,-,-,ACWO,  opt aug12,0.001,,-,-,0.001,-,,-,-,-,-,-
0.05,0.012,0.012,0.012,ACU,Acuvax Ltd,0.012,-0.2,1000,0.012,0.013,-,,-,-,-,-0.37,-
0.84,0.32,-,-,ADA,Adacel Tech,0.37,,-,0.37,0.40,-,,-,0.21,-,2.7,13.7
0.31,0.18,0.195,0.19,AAU,Adcorp Aust,0.195,,692,0.195,0.23,1,,-,0.07,5.13,-2.18,-
3.01,1.705,2.48,2.44,ABC,Adelaide Brighton,2.45,,40825,2.44,2.47,13.5,f,1.51,1.21,5.51,20.4,12.0
1.575,1.10,1.305,1.30,AYT,Adelaide Managed unt,1.30,-0.5,2375,1.30,1.305,13.82,,0.49,1.78,10.63,6.83,19.0
0.123,0.058,-,-,ADQ,ADG Global Supply,0.064,,-,0.06,0.072,-,,-,0.02,-,-11.08,-
0.013,0.01,-,-,ADQO,  opt mar11,0.012,,-,0.01,0.028,-,,-,-,-,-,-
0.016,0.005,0.006,0.005,ADL,Admerex Ltd,0.006,0.1,13900,0.004,0.006,-,,-,-,-,-0.4,-
3.70,1.90,3.60,3.51,ADG,Adtrans Grp,3.51,-19,67,3.51,3.70,20,f,1.86,2.44,5.70,37.1,9.5
0.015,0.004,0.012,0.012,ASC,Adultshop Com,0.012,,500,0.012,0.013,-,,-,0.02,-,-0.19,-
0.005,0.002,-,-,ASCO,  opt dec11,0.005,,-,0.004,0.005,-,,-,-,-,-,-
0.038,0.005,0.022,0.022,ABV,Adv Braking Tech,0.022,0.2,1000,0.02,0.022,-,,-,-,-,-0.32,-
0.64,0.28,-,-,AMT,Adv Surg Dsgn & Mnft,0.54,,-,0.51,0.54,-,,-,0.22,-,-0.1,-
0.085,0.02,-,-,AES,Advanced Energy,0.06,,-,0.055,0.06,-,,-,0.01,-,-0.09,-
0.093,0.031,0.052,0.049,ACE,Advanced Engine,0.052,0.5,1300,0.047,0.057,-,,-,-0.05,-,-2.58,-
0.124,0.019,0.056,0.056,ANM,Advanced Magnesium,0.056,,7,0.056,0.058,-,,-,0.02,-,-2.64,-
0.435,0.15,-,-,ASW,Advanced Share,0.40,,-,0.395,0.40,2.75,f,1.15,0.11,6.88,3.16,12.7
0.185,0.054,-,-,AEI,Aeris Environmental,0.085,,-,0.088,0.095,-,,-,-,-,-2.05,-
1.67,0.58,1.18,1.17,AVE,Aevum Ltd,1.175,0.5,805,1.17,1.175,4,,1.05,2.07,3.40,4.2,28.0
0.002,0.001,0.001,0.001,AFT,AFT Corp,0.001,,2500,0.001,0.002,-,,-,-,-,-0.01,-
15.46,13.07,15.15,14.87,AGK,AGL Energy Ltd,14.87,-8,15227,14.86,14.98,57,f,0.47,6.21,3.83,27,55.1
0.28,0.13,-,-,AGJ,Agricultural Land unt,0.13,,-,0.135,0.30,2.12,,-,0.38,16.31,-2.28,-
2.45,1.295,-,-,AHC,AHC Ltd,2.25,,-,2.00,-,-,,-,4.89,-,14.09,16.0
0.22,0.06,0.155,0.15,AGI,Ainsworth Game Tech,0.15,-0.5,60,0.15,0.16,-,,-,0.01,-,-4.95,-
1.12,0.67,-,-,AIZ,Air New Zealand,1.00,,-,0.98,1.04,5.17,,0.75,1.12,5.17,3.9,25.6
0.12,0.098,-,-,AIG,Aircruising Aust,0.11,,-,-,-,-,,-,-0.11,-,-8.38,-
5.60,2.03,2.92,2.79,AJL,AJ Lucas Grp,2.85,-10,429,2.80,2.85,5.5,,2.91,1.32,1.93,16,17.8
0.81,0.227,0.675,0.665,ACL,Alchemia Ltd,0.67,-1.5,455,0.665,0.67,-,,-,0.09,-,-4.6,-
47.10,44.00,-,-,AAI,Alcoa Inc cdi,45.19,,-,-,45.25,12.39,,-,-,0.27,-137.14,-
2.43,1.502,2.22,2.18,LEP,ALE Prop Grp stp,2.22,3,622,2.20,2.22,27,,3.55,2.39,12.16,95.98,2.3
5.91,0.805,3.21,3.11,ALS,Alesco Corp,3.12,-2,5982,3.11,3.15,14,f,-,0.65,4.49,-17.36,-
0.13,0.033,0.079,0.077,AEJ,Alinta Energy Grp stp,0.078,-0.1,33775,0.078,0.079,-,,-,-1.53,-,-58.71,-
0.245,0.10,0.135,0.125,ABQ,Allied Brands Ltd,0.135,0.5,5209,0.125,0.135,0.5,,4.60,0.06,3.70,2.3,5.9
0.005,0.001,-,-,ABQO,  opt dec10,0.001,,-,-,0.001,-,,-,-,-,-,-
0.225,0.014,-,-,AEA,Altera Res Ltd,0.18,,-,0.19,0.20,-,,-,-,-,-3.25,-
0.075,0.06,0.07,0.06,AEAO,  opt jan12,0.06,-0.5,1565,0.06,0.07,-,,-,-,-,-,-
1.45,0.575,1.045,1.045,AIQ,Alternative Invest unt,1.045,,200,1.04,1.05,47,,-,1.46,44.98,-44.5,-
0.50,0.235,0.33,0.28,ALU,Altium Ltd,0.33,3,483,0.245,0.315,2,,-,0.09,6.06,-6.97,-
0.078,0.017,-,-,AMA,AMA Grp Ltd,0.062,,-,0.052,0.062,-,,-,-0.09,-,7.75,0.8
6.24,3.598,5.80,5.67,AHD,Amalgamated Hldgs,5.74,4,348,5.51,5.77,35,f,1.96,4.65,6.10,68.5,8.4
0.63,0.35,-,-,AMO,Ambertech Ltd,0.63,,-,0.56,0.62,5.5,f,1.69,0.61,8.73,9.3,6.8
0.41,0.101,-,-,AMB,Ambition Grp Ltd,0.41,,-,0.35,0.40,-,,-,0.14,-,-13.07,-
