Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4654.2 at 16:36 13/9/2010  Report at 19:05 Monday 13/9/2010. Processed 19:10 Monday 13/9/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.55,2.61,3.38,3.38,ONT,1300 Smiles Ltd,3.38,-10,23,3.26,3.38,13.7,f,1.53,0.15,4.05,21,16.1,
0.18,0.07,-,-,TQH,3Q Hldgs Ltd,0.075,,-,0.07,0.08,-,,-,-0.07,-,0.84,8.9,
0.05,0.015,0.04,0.04,FCS,4C Sec Solution,0.04,,56,0.04,0.045,-,,-,0.10,-,-0.58,-,
0.275,0.03,-,-,AAY,Aacl Hldgs Ltd,0.058,,-,0.057,0.076,-,,-,-,-,-,-,
0.48,0.365,0.43,0.42,ABP,Abacus Prop stp,0.425,,27856,0.42,0.425,3.9,,0.39,0.58,9.18,1.53,27.8,
1.47,1.21,1.28,1.28,ALR,Aberdeen Leaders,1.28,3,50,1.25,1.28,9.5,f,1.08,1.31,7.42,10.29,12.4,
2.60,1.43,2.21,2.14,ACR,Acrux Ltd,2.19,3,1679,2.17,2.21,-,,-,-,-,29.08,7.5,
0.11,0.027,0.099,0.09,ACW,Actinogen Ltd,0.09,-1,240,0.08,0.115,-,,-,0.03,-,-1.85,-,
0.003,0.001,-,-,ACWO,  opt aug12,0.001,,-,-,0.02,-,,-,-,-,-,-,
0.02,0.002,-,-,ACU,Acuvax Ltd,0.002,,-,0.002,0.003,-,,-,-,-,-0.34,-,
0.735,0.30,-,-,ADA,Adacel Tech,0.32,,-,0.32,0.335,-,,-,0.19,-,-3.5,-,
0.305,0.145,-,-,AAU,Adcorp Aust,0.19,,-,0.19,0.20,-,,-,0.08,-,-11.03,-,
3.435,2.293,3.38,3.27,ABC,Adelaide Brighton,3.30,-4,21624,3.30,3.31,15.5,f,1.52,1.16,4.70,23.6,14.0,
1.56,1.144,1.55,1.545,AYT,Adelaide Managed unt,1.545,-0.5,6240,1.545,1.56,15.35,,0.14,1.63,9.94,2.11,73.2,
0.118,0.05,-,-,ADQ,ADG Global Supply,0.05,,-,0.06,0.08,-,,-,0.01,-,-1.09,-,
0.013,0.008,-,-,ADQO,  opt mar11,0.008,,-,-,0.009,-,,-,-,-,-,-,
0.016,0.002,-,-,ADL,Admerex Ltd,0.003,,-,0.003,0.004,-,,-,-,-,-0.56,-,
4.19,2.75,3.97,3.97,ADG,Adtrans Grp,3.97,,48,3.97,4.00,23,f,1.60,2.54,5.79,36.7,10.8,
0.019,0.005,0.014,0.014,ASC,Adultshop Com,0.014,-0.1,600,0.014,0.016,-,,-,0.02,-,-0.43,-,
