Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4679.5 at 16:38 13/5/2010  Report at 19:05 Thursday 13/5/2010. Processed 20:04 Thursday 13/5/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.00,2.50,2.95,2.90,ONT,1300 Smiles Ltd,2.90,,505,2.90,2.95,12.5,f,1.54,0.08,4.31,19.23,15.1,
0.18,0.095,-,-,TQH,3Q Hldgs Ltd,0.10,,-,0.06,0.13,-,,-,-0.08,-,3.28,3.0,
0.06,0.015,-,-,FCS,4C Sec Solution,0.03,,-,0.02,0.03,-,,-,0.01,-,-2.77,-,
0.275,0.22,-,-,AAY,Aacl Hldgs Ltd,0.24,,-,0.20,0.23,-,,-,-,-,-,-,
0.48,0.285,0.425,0.415,ABP,Abacus Prop stp,0.425,0.5,12053,0.42,0.425,5.75,,-,0.60,13.53,-2.32,-,
1.47,1.155,1.335,1.335,ALR,Aberdeen Leaders,1.335,-2.5,220,1.33,1.38,9,f,0.85,1.38,6.74,7.67,17.4,
2.60,0.85,1.96,1.945,ACR,Acrux Ltd,1.95,0.5,3286,1.94,1.95,-,,-,0.06,-,-2.84,-,
0.10,0.027,-,-,ACW,Actinogen Ltd,0.035,,-,0.028,0.035,-,,-,0.04,-,-1.88,-,
0.004,0.001,-,-,ACWO,  opt aug12,0.001,,-,-,-,-,,-,-,-,-,-,
0.035,0.006,-,-,ACU,Acuvax Ltd,0.007,,-,0.006,0.008,-,,-,-,-,-0.37,-,
0.84,0.32,-,-,ADA,Adacel Tech,0.42,,-,0.40,0.42,-,,-,0.21,-,2.7,15.6,
0.305,0.18,0.19,0.185,AAU,Adcorp Aust,0.185,-1.5,70,0.185,0.195,1,,-,0.07,5.41,-2.18,-,
3.01,2.03,2.81,2.76,ABC,Adelaide Brighton,2.79,1,28931,2.77,2.80,13.5,f,1.51,1.21,4.84,20.4,13.7,
1.565,1.10,1.505,1.505,AYT,Adelaide Managed unt,1.505,,88,1.51,1.54,16.02,,0.43,1.79,10.64,6.83,22.0,
0.123,0.058,0.07,0.065,ADQ,ADG Global Supply,0.07,0.5,2000,0.059,0.07,-,,-,0.02,-,-11.08,-,
0.013,0.008,-,-,ADQO,  opt mar11,0.008,,-,0.004,0.008,-,,-,-,-,-,-,
0.016,0.004,-,-,ADL,Admerex Ltd,0.005,,-,0.004,0.005,-,,-,-,-,-0.4,-,
3.70,2.00,-,-,ADG,Adtrans Grp,3.50,,-,3.50,3.60,20,f,1.86,2.44,5.71,37.1,9.4,
0.015,0.004,0.011,0.01,ASC,Adultshop Com,0.011,0.1,4100,0.009,0.01,-,,-,0.02,-,-0.19,-,
0.005,0.002,-,-,ASCO,  opt dec11,0.003,,-,0.003,0.004,-,,-,-,-,-,-,
0.038,0.009,0.023,0.02,ABV,Adv Braking Tech,0.023,,1500,0.02,0.023,-,,-,-,-,-0.32,-,
0.64,0.28,-,-,AMT,Adv Surg Dsgn & Mnft,0.40,,-,0.44,0.495,-,,-,0.22,-,-0.1,-,
0.125,0.02,-,-,AES,Advanced Energy,0.08,,-,0.08,0.095,-,,-,0.01,-,-0.09,-,
0.093,0.031,-,-,ACE,Advanced Engine,0.04,,-,0.034,0.04,-,,-,-0.05,-,-2.58,-,
0.124,0.019,0.05,0.05,ANM,Advanced Magnesium,0.05,-1,420,0.05,0.055,-,,-,0.02,-,-2.64,-,
