Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4680.0 at 16:37 23/9/2010  Report at 19:06 Thursday 23/9/2010. Processed 14:26 Saturday 25/9/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.55,2.65,-,-,ONT,1300 Smiles Ltd,3.27,,-,3.30,3.49,13.7,f,1.53,0.15,4.19,21,15.6,
0.18,0.07,-,-,TQH,3Q Hldgs Ltd,0.07,,-,0.07,0.08,-,,-,-0.07,-,0.84,8.3,
0.048,0.015,-,-,FCS,4C Sec Solution,0.031,,-,0.024,0.038,-,,-,0.10,-,-0.58,-,
0.275,0.03,-,-,AAY,Aacl Hldgs Ltd,0.056,,-,0.056,0.07,-,,-,-,-,-,-,
0.48,0.365,0.42,0.415,ABP,Abacus Prop stp,0.42,,20368,0.415,0.42,3.9,,0.39,0.58,9.29,1.53,27.5,
1.47,1.21,1.30,1.295,ALR,Aberdeen Leaders,1.30,2,161,1.28,1.30,9.5,f,1.08,1.29,7.31,10.29,12.6,
2.60,1.43,2.18,2.13,ACR,Acrux Ltd,2.18,,566,2.17,2.19,-,,-,-,-,29.08,7.5,
0.11,0.027,0.11,0.11,ACW,Actinogen Ltd,0.11,0.5,100,0.085,0.11,-,,-,0.03,-,-1.85,-,
0.003,0.001,-,-,ACWO,  opt aug12,0.001,,-,0.001,0.02,-,,-,-,-,-,-,
0.013,0.002,0.002,0.002,ACU,Acuvax Ltd,0.002,,12000,0.002,0.003,-,,-,-,-,-0.34,-,
0.705,0.30,-,-,ADA,Adacel Tech,0.335,,-,0.30,0.33,-,,-,0.19,-,-3.5,-,
0.305,0.145,0.20,0.20,AAU,Adcorp Aust,0.20,0.5,827,0.195,0.21,-,,-,0.08,-,-11.03,-,
3.46,2.293,3.37,3.33,ABC,Adelaide Brighton,3.37,2,29380,3.33,3.38,15.5,f,1.52,1.16,4.60,23.6,14.3,
1.56,0.25,0.27,0.26,AYT,Adelaide Managed unt,0.265,0.5,5626,0.26,0.27,15.35,,0.14,1.63,57.92,2.11,12.6,
0.118,0.05,-,-,ADQ,ADG Global Supply,0.064,,-,0.06,0.072,-,,-,0.01,-,-1.09,-,
0.013,0.008,-,-,ADQO,  opt mar11,0.008,,-,-,0.009,-,,-,-,-,-,-,
0.016,0.002,-,-,ADL,Admerex Ltd,0.002,,-,0.002,0.003,-,,-,-,-,-0.56,-,
4.19,2.75,3.99,3.98,ADG,Adtrans Grp,3.99,1,38,3.97,4.00,23,f,1.60,2.54,5.76,36.7,10.9,
0.019,0.008,0.016,0.016,ASC,Adultshop Com,0.016,,9800,0.014,0.015,-,,-,0.02,-,-0.43,-,
0.008,0.002,-,-,ASCO,  opt dec11,0.004,,-,0.004,0.006,-,,-,-,-,-,-,
0.034,0.015,0.016,0.015,ABV,Adv Braking Tech,0.015,,7325,0.015,0.016,-,,-,-,-,-0.16,-,
0.64,0.33,0.455,0.42,AMT,Adv Surg Dsgn & Mnft,0.42,7,369,0.38,0.45,-,,-,0.16,-,-1.31,-,
0.125,0.035,-,-,AES,Advanced Energy,0.035,,-,0.04,0.064,-,,-,0.01,-,-0.1,-,
0.093,0.031,0.034,0.034,ACE,Advanced Engine,0.034,-0.3,22,0.034,0.039,-,,-,-0.03,-,-2.3,-,
0.07,0.03,0.043,0.043,ANM,Advanced Magnesium,0.043,-0.4,9,0.043,0.047,-,,-,0.03,-,-1.66,-,
0.90,0.235,-,-,ASW,Advanced Share,0.79,,-,0.75,0.795,3.6,f,1.00,0.11,4.56,3.61,21.9,
0.39,0.055,0.355,0.30,AEI,Aeris Environmental,0.30,1,2314,0.31,0.32,-,,-,0.01,-,-1.93,-,
1.83,1.01,1.77,1.77,AVE,Aevum Ltd,1.77,,1356,1.77,1.775,5,,3.84,2.02,2.82,19.2,9.2,
0.002,0.001,0.001,0.001,AFT,AFT Corp,0.001,,30000,0.001,0.002,-,,-,-,-,-,-,
0.047,0.017,0.041,0.039,AGX,Agenix Ltd,0.039,-0.2,5492,0.039,0.042,-,,-,0.01,-,0.54,7.2,
0.01,0.005,-,-,AGXO,  opt jun11,0.005,,-,0.002,0.02,-,,-,-,-,-,-,
16.24,13.43,16.05,15.87,AGK,AGL Energy Ltd,16.05,-2,8651,16.00,16.05,59,,1.34,5.89,3.68,79.3,20.2,
0.175,0.121,-,-,AGJ,Agricultural Land unt,0.135,,-,0.13,0.18,2.02,,1.11,0.37,14.96,2.25,6.0,
2.45,1.80,-,-,AHC,AHC Ltd,1.80,,-,1.70,1.80,-,,-,4.94,-,-0.31,-,
16.50,13.95,15.34,15.34,ENY,Aii200energy etf unt,15.34,,3,15.27,15.39,-,,-,-,-,-,-,
5.09,4.18,-,-,FIN,Aii200financials etf unt,4.62,,-,4.57,4.60,-,,-,-,-,-,-,
