Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4409.7 at 17:32 28/6/2010  Report at 19:05 Monday 28/6/2010. Processed 19:38 Monday 28/6/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.20,2.50,-,-,ONT,1300 Smiles Ltd,3.15,,-,-,-,12.5,f,1.54,0.08,3.97,19.23,16.4,
0.18,0.095,-,-,TQH,3Q Hldgs Ltd,0.11,,-,-,-,-,,-,-0.08,-,3.28,3.4,
0.05,0.015,0.025,0.023,FCS,4C Sec Solution,0.023,-0.3,717,0.023,0.034,-,,-,0.01,-,-2.77,-,
0.275,0.07,0.083,0.081,AAY,Aacl Hldgs Ltd,0.082,0.7,260,0.10,0.115,-,,-,-,-,-,-,
0.48,0.33,0.42,0.405,ABP,Abacus Prop stp,0.41,-0.5,57021,0.405,0.41,5.75,,-,0.60,14.02,-2.32,-,
1.47,1.17,1.345,1.34,ALR,Aberdeen Leaders,1.345,4.5,70,1.30,1.34,9.5,f,0.81,1.21,7.06,7.67,17.5,
2.60,1.05,1.85,1.78,ACR,Acrux Ltd,1.83,,1440,1.805,1.83,-,,-,0.06,-,-2.84,-,
0.10,0.027,0.027,0.027,ACW,Actinogen Ltd,0.027,,120,0.02,0.048,-,,-,0.04,-,-1.88,-,
0.003,0.001,-,-,ACWO,  opt aug12,0.001,,-,-,-,-,,-,-,-,-,-,
0.035,0.003,0.004,0.003,ACU,Acuvax Ltd,0.003,-0.2,9000,0.003,0.004,-,,-,-,-,-0.37,-,
0.84,0.32,0.36,0.36,ADA,Adacel Tech,0.36,-1,100,0.34,0.395,-,,-,0.21,-,2.7,13.3,
0.305,0.15,0.155,0.155,AAU,Adcorp Aust,0.155,,15,0.155,0.16,1,,-,0.07,6.45,-2.18,-,
3.01,2.03,2.75,2.71,ABC,Adelaide Brighton,2.74,,13439,2.73,2.74,13.5,f,1.51,1.21,4.93,20.4,13.4,
1.565,1.10,1.545,1.495,AYT,Adelaide Managed unt,1.505,-2,1892,1.505,1.55,16.02,,0.43,1.79,10.64,6.83,22.0,
0.118,0.052,0.055,0.055,ADQ,ADG Global Supply,0.055,-0.5,1000,0.055,0.073,-,,-,0.02,-,-11.08,-,
0.013,0.008,-,-,ADQO,  opt mar11,0.008,,-,-,-,-,,-,-,-,-,-,
0.016,0.003,0.003,0.003,ADL,Admerex Ltd,0.003,,5772,0.002,0.003,-,,-,-,-,-0.4,-,
3.70,2.18,3.50,3.50,ADG,Adtrans Grp,3.50,,48,3.50,3.70,20,f,1.86,2.44,5.71,37.1,9.4,
0.015,0.004,0.01,0.01,ASC,Adultshop Com,0.01,,400,0.01,0.011,-,,-,0.02,-,-0.19,-,
0.005,0.002,-,-,ASCO,  opt dec11,0.003,,-,-,-,-,,-,-,-,-,-,
0.038,0.009,0.018,0.017,ABV,Adv Braking Tech,0.017,-0.1,7000,0.017,0.019,-,,-,-,-,-0.32,-,
0.64,0.28,0.46,0.46,AMT,Adv Surg Dsgn & Mnft,0.46,2,12,0.43,0.46,-,,-,0.22,-,-0.1,-,
0.125,0.02,-,-,AES,Advanced Energy,0.065,,-,-,-,-,,-,0.01,-,-0.09,-,
0.093,0.031,0.034,0.034,ACE,Advanced Engine,0.034,,326,0.032,0.035,-,,-,-0.05,-,-2.58,-,
0.07,0.03,0.051,0.05,ANM,Advanced Magnesium,0.051,0.1,1856,0.051,0.053,-,,-,0.02,-,-2.64,-,
0.50,0.23,0.50,0.49,ASW,Advanced Share,0.50,1,1963,0.50,0.54,2.75,f,1.15,0.11,5.50,3.16,15.8,
0.17,0.06,-,-,AEI,Aeris Environmental,0.065,,-,-,-,-,,-,-,-,-2.05,-,
1.67,0.795,1.09,1.03,AVE,Aevum Ltd,1.045,-8,279,1.045,1.08,4,,1.05,2.07,3.83,4.2,24.9,
0.002,0.001,0.001,0.001,AFT,AFT Corp,0.001,,50000,-,0.002,-,,-,-,-,-0.01,-,
15.69,13.11,14.83,14.48,AGK,AGL Energy Ltd,14.53,-28,10193,14.51,14.54,57,f,0.47,6.21,3.92,27,53.8,
0.175,0.13,-,-,AGJ,Agricultural Land unt,0.13,,-,-,-,2.12,,-,0.38,16.31,-2.28,-,
2.45,2.00,-,-,AHC,AHC Ltd,2.10,,-,-,-,-,,-,4.89,-,14.09,14.9,
16.50,14.36,-,-,ENY,Aii200energy etf unt,14.92,,-,14.30,14.39,-,,-,-,-,-,-,
5.09,4.32,-,-,FIN,Aii200financials etf unt,4.38,,-,4.30,4.33,-,,-,-,-,-,-,
5.98,4.97,5.00,4.97,FIX,Aii200finxareit etf unt,5.00,-30,60,4.95,4.98,-,,-,-,-,-,-,
3.97,3.35,-,-,IDD,Aii200industrials etf unt,3.35,,-,3.28,3.31,-,,-,-,-,-,-,
5.65,4.60,5.15,4.98,RSR,Aii200res etf unt,4.98,-14,28,4.94,4.98,-,,-,-,-,-,-,
