Industrial Market - Daily,,,,,,,,,,,,,,,,,
XAO 4789.3 at 16:47 3/12/2009  Report at 19:05 Thursday 3/12/2009. Processed 19:25 Thursday 3/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
3.00,2.40,2.70,2.70,ONT,1300 Smiles Ltd,2.70,,38,2.69,2.70,11.4,f,1.64,0.13,4.22,18.7,14.4
0.195,0.105,0.13,0.13,TQH,3Q Hldgs Ltd,0.13,-5,170,0.13,0.18,-,,-,-0.10,-,1.07,12.1
0.09,0.015,-,-,FCS,4C Sec Solution,0.023,,-,0.023,0.03,-,,-,0.03,-,-4.2,-
0.48,0.147,0.435,0.415,ABP,Abacus Prop stpld,0.425,0.5,22465,0.42,0.425,7.75,,-,0.62,18.24,-11.81,-
1.44,0.90,1.415,1.415,ALR,Aberdeen Leaders,1.415,3.5,15,1.38,1.415,9,f,-,1.42,6.36,-21.34,-
0.05,0.001,-,-,ACX,ACMA Engineering,0.001,,-,0.01,-,-,,-,-0.01,-,-0.33,-
2.54,0.42,2.31,2.16,ACR,Acrux Ltd,2.21,-6,5548,2.21,2.26,-,,-,0.09,-,-4.84,-
0.10,0.017,-,-,ACW,Actinogen Ltd,0.055,,-,0.058,0.06,-,,-,0.05,-,-2.32,-
0.004,0.001,-,-,ACWO,  opt aug12,0.003,,-,-,-,-,,-,-,-,-,-
0.05,0.014,0.016,0.016,ACU,Acuvax Ltd,0.016,,738,0.017,0.018,-,,-,-,-,-0.43,-
0.84,0.325,-,-,ADA,Adacel Tech,0.57,,-,0.555,0.59,-,,-,0.22,-,8.2,7.0
0.345,0.165,0.26,0.245,AAU,Adcorp Aust,0.245,-1.5,250,0.245,0.285,1,,0.45,0.08,4.08,0.45,54.4
3.01,1.445,2.65,2.59,ABC,Adelaide Brighton,2.64,6,8819,2.62,2.64,14,f,1.49,1.15,5.30,20.8,12.7
1.76,1.10,1.335,1.33,AYT,Adelaide Managed unt,1.335,0.5,625,1.33,1.35,15.47,,0.81,1.79,11.59,12.59,10.6
0.165,0.058,-,-,ADQ,ADG Global Supply,0.08,,-,0.08,0.10,-,,-,-,-,-8.68,-
0.016,0.004,0.011,0.01,ADL,Admerex Ltd,0.011,0.1,-,0.011,0.012,-,,-,0.01,-,-2.68,-
3.25,1.65,3.25,3.15,ADG,Adtrans Grp,3.15,-3,147,3.20,3.45,16,f,1.74,2.37,5.08,27.9,11.3
0.012,0.003,0.011,0.011,ASC,Adultshop Com,0.011,0.2,909,0.009,0.011,-,,-,0.04,-,-0.28,-
0.004,0.002,-,-,ASCO,  opt dec11,0.004,,-,0.004,0.005,-,,-,-,-,-,-
0.038,0.005,0.031,0.031,ABV,Adv Braking Tech,0.031,0.1,1000,0.031,0.032,-,,-,0.01,-,-0.36,-
0.64,0.28,0.60,0.59,AMT,Adv Surg Dsgn & Mnft,0.60,1,149,0.58,0.61,-,,-,0.20,-,-2.9,-
0.085,0.02,-,-,AES,Advanced Energy,0.066,,-,0.066,0.067,-,,-,0.01,-,-0.06,-
0.093,0.031,0.067,0.067,ACE,Advanced Engine,0.067,,1000,0.06,0.067,-,,-,-0.04,-,-1.9,-
0.124,0.013,0.06,0.059,ANM,Advanced Magnesium,0.06,0.1,1510,0.056,0.06,-,,-,0.01,-,-3.07,-
0.36,0.15,0.345,0.33,ASW,Advanced Share,0.345,2,850,0.32,0.345,2,f,1.05,0.09,5.80,2.1,16.4
0.185,0.05,-,-,AEI,Aeris Environmental,0.12,,-,0.115,0.16,-,,-,0.01,-,-2.31,-
1.67,0.545,1.39,1.365,AVE,Aevum Ltd,1.39,1,142,1.37,1.39,4,,-,2.07,2.88,-9.7,-
0.001,0.001,0.001,0.001,AFT,AFT Corp,0.001,,5000,-,0.001,-,,-,-,-,-0.03,-
15.80,12.83,14.04,13.85,AGK,AGL Energy Ltd,13.95,-11,8603,13.93,13.95,54,f,6.63,6.00,3.87,358,3.9
0.28,0.13,-,-,AGJ,Agricultural Land unt,0.165,,-,0.155,0.17,2.42,,-,0.38,14.67,-3.63,-
2.45,1.295,2.25,2.25,AHC,AHC Ltd,2.25,,17,2.25,2.45,5,,3.56,3.31,2.22,17.79,12.6
0.22,0.05,0.19,0.19,AGI,Ainsworth Game Tech,0.19,1,110,0.185,0.19,-,,-,0.02,-,-4.45,-
1.12,0.55,-,-,AIZ,Air New Zealand fpo nz,0.955,,-,0.945,0.95,5.22,,0.31,1.18,5.47,1.61,59.3
0.12,0.098,-,-,AIG,Aircruising Aust,0.11,,-,-,-,-,,-,-0.07,-,-5.34,-
5.60,2.03,4.35,4.28,AJL,AJ Lucas Grp,4.34,3,1066,4.31,4.35,10.5,f,23.78,2.11,2.42,249.7,1.7
0.739,0.092,0.70,0.67,ACL,Alchemia Ltd,0.685,1.5,1677,0.68,0.71,-,,-,0.03,-,-5.2,-
0.14,0.06,0.14,0.10,ACLR,  rts16decd,0.14,5.9,298,0.14,0.25,-,,-,-,-,-,-
47.10,44.00,-,-,AAI,Alcoa Inc cdi,46.65,,-,-,44.85,31.58,,-,-,0.68,-251.67,-
2.36,1.416,2.26,2.25,LEP,ALE Prop Grp stpld,2.25,,2981,2.24,2.27,30,,1.05,3.08,13.33,31.51,7.1
5.91,0.60,4.85,4.69,ALS,Alesco Corp,4.75,-1,2952,4.68,4.80,7,f,-,0.49,1.47,-13.94,-
0.28,0.10,0.15,0.145,ABQ,Allied Brands Ltd,0.145,-0.5,1310,0.145,0.15,0.5,f,5.60,0.05,3.45,2.8,5.2
0.029,0.001,-,-,ABQO,  opt dec10,0.005,,-,0.002,0.005,-,,-,-,-,-,-
0.078,0.017,-,-,AMA,Allomak Ltd,0.055,,-,0.055,0.06,-,,-,-0.23,-,-43.5,-
0.12,0.015,-,-,AEA,Altera Res Ltd,0.11,,-,0.10,0.115,-,,-,-,-,-3.25,-
