Industrial Market - Daily,,,,,,,,,,,,,,,,,
XAO 4665.9 at 16:35 24/2/2010  Report at 19:05 Wednesday 24/2/2010. Processed 19:37 Wednesday 24/2/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.50,0.235,0.275,0.275,ALU,Altium Ltd,0.275,2.5,-,0.24,0.275,2,,-,0.09,7.27,-6.97,-
0.078,0.017,0.065,0.063,AMA,AMA Grp Ltd,0.063,-0.7,513,0.063,0.07,-,,-,-0.23,-,-43.5,-
6.24,3.598,6.00,5.90,AHD,Amalgamated Hldgs,5.95,-5,363,5.90,6.05,35,f,1.96,4.65,5.88,68.5,8.7
0.57,0.35,-,-,AMO,Ambertech Ltd,0.51,,-,0.515,0.54,5.5,f,1.69,0.61,10.78,9.3,5.5
0.40,0.096,0.35,0.35,AMB,Ambition Grp Ltd,0.35,-1,360,0.35,0.40,-,,-,0.14,-,-13.07,-
0.72,0.43,0.67,0.655,AMH,Amcil Ltd,0.67,0.5,11,0.655,0.67,2,,-,0.74,2.99,-1.14,-
0.345,0.105,0.30,0.295,AMM,Amcom Telecomm,0.30,,7180,0.295,0.30,0.8,f,2.81,0.18,2.67,2.25,13.3
6.35,3.50,6.11,5.95,AMC,Amcor Ltd,6.04,,91876,5.97,6.06,29.5,,0.71,2.25,4.88,20.9,28.9
3.00,1.30,2.60,2.57,AEC,Ammtec Ltd,2.57,-8,71,2.57,2.63,16.5,f,1.18,1.05,6.42,19.39,13.3
1.265,0.73,0.905,0.90,AGF,AMP Capital China unt,0.90,-0.5,1141,0.89,0.90,3.9,,1.12,1.33,4.33,4.35,20.7
6.97,3.52,6.07,5.96,AMP,AMP Ltd,5.99,-8,103785,5.99,6.00,30,p,1.24,0.80,5.01,37.1,16.1
0.39,0.175,-,-,ANQ,Anaeco Ltd,0.20,,-,0.20,0.22,-,,-,0.02,-,-5.6,-
0.015,0.001,-,-,ANQO,  opt may10,0.001,,-,-,0.05,-,,-,-,-,-,-
0.004,0.001,-,-,ANQOA,  opt may12,0.001,,-,-,-,-,,-,-,-,-,-
0.083,0.019,0.041,0.041,ALT,Analytica Ltd,0.041,,1184,0.04,0.041,-,,-,-,-,-0.6,-
11.87,7.58,11.67,11.32,ANN,Ansell Ltd,11.57,-8,12400,11.55,11.58,29,,2.82,1.92,2.51,81.7,14.2
0.065,0.029,-,-,ANO,Antaria Ltd,0.042,,-,0.039,0.049,-,,-,0.03,-,0.77,5.5
0.105,0.004,0.055,0.051,ADO,Anteo Diagnostics,0.053,-0.3,177714,0.053,0.054,-,,-,0.01,-,-1.1,-
0.07,0.001,0.04,0.037,ADOO,  opt sep10,0.038,-0.1,16679,0.036,0.038,-,,-,-,-,-,-
0.025,0.018,-,-,ADOOA,  opt feb11,0.025,,-,0.005,0.044,-,,-,-,-,-,-
0.20,0.029,0.05,0.05,ANP,Antisense Therapeutic,0.05,0.1,210,0.049,0.054,-,,-,-,-,-0.55,-
25.25,12.31,22.70,22.31,ANZ,ANZ Banking Grp,22.52,-21,101433,22.50,22.52,102,f,1.67,10.72,4.53,170.4,13.2
13.00,4.45,-,-,APE,AP Eagers Ltd,12.50,,-,12.50,12.80,44,f,0.82,8.41,3.52,36.1,34.6
0.028,0.009,-,-,APP,APA Financial,0.018,,-,0.016,0.029,-,,-,-,-,-3.7,-
3.68,2.50,3.50,3.27,APA,APA Grp stpld,3.42,15,20211,3.40,3.44,31,,0.52,1.18,9.06,16.2,21.1
0.115,0.014,0.054,0.052,AEZ,APN European Retail stpld,0.054,,7515,0.053,0.054,-,,-,0.33,-,-56.84,-
2.61,0.866,2.34,2.25,APN,APN News & Media,2.26,-7,17287,2.23,2.33,4,f,4.17,-0.78,1.77,16.7,13.5
0.41,0.09,0.30,0.30,APD,APN Prop Grp,0.30,,20,0.30,0.33,-,,-,0.20,-,-18.08,-
0.04,0.008,-,-,AOP,Apollo Cons,0.008,,-,0.008,0.009,-,,-,-,-,-0.91,-
0.018,0.008,-,-,AQL,Aquacarotene Ltd,0.012,,-,0.013,0.016,-,,-,-,-,-0.35,-
0.058,0.022,0.022,0.022,APB,Arafura Pearls,0.022,,1010,0.022,0.025,-,,-,0.22,-,2,1.1
5.70,2.368,5.67,5.62,ARP,ARB Corp,5.62,-3,274,5.61,5.65,17.5,f,2.31,1.22,3.11,40.44,13.9
1.845,0.79,1.465,1.425,AAD,Ardent Leisure Grp stp,1.43,-3,8000,1.42,1.45,14.3,,0.19,1.10,10.00,2.73,52.4
7.05,4.52,6.55,6.50,ARG,Argo Invest,6.55,4,771,6.52,6.55,25,f,-,6.56,3.82,-11.1,-
1.098,0.006,-,-,ASV,Argus Solutions,0.25,,-,0.215,0.24,-,,-,-,-,-0.12,-
0.37,0.205,0.285,0.275,ARA,Ariadne Aust,0.275,,108,0.275,0.285,1,,-,0.32,3.64,-2.46,-
5.75,3.16,4.23,4.07,ALL,Aristocrat Leisure,4.20,-7,26310,4.18,4.21,4.5,,-,0.07,1.07,-31.3,-
0.80,0.395,-,-,ARJ,ARK Fund Ltd (The),0.41,,-,-,-,7,f,1.15,1.08,17.07,8.07,5.1
0.025,0.004,-,-,AEM,Artist & Entertain,0.011,,-,0.01,0.011,-,,-,-,-,2.83,0.4
0.30,0.07,0.20,0.15,AKW,Arturus Capital,0.20,0.5,2697,0.17,0.20,-,,-,0.43,-,51.76,0.4
0.26,0.12,0.215,0.21,APH,Ascent Pharmahealth,0.21,-0.5,885,0.20,0.21,-,,-,0.04,-,3.1,6.8
1.94,0.32,1.89,1.825,AIO,Asciano Grp stpld,1.85,8,458059,1.84,1.855,-,,-,-1.41,-,-32.5,-
0.43,0.06,0.095,0.09,AFA,ASF Grp Ltd,0.09,,846,0.085,0.094,-,,-,0.01,-,-2.61,-
1.30,0.42,1.195,1.16,ASZ,ASG Grp Ltd,1.18,-2.5,1353,1.17,1.22,6,f,1.57,0.06,5.08,9.43,12.5
0.267,0.007,-,-,AJJ,Asia Liver Trans,0.10,,-,0.011,0.099,-,,-,-0.02,-,-2.51,-
0.002,0.001,-,-,AJJO,  opt sep10,-,,-,-,-,-,,-,-,-,-,-
1.06,0.77,1.00,1.00,AUF,Asian Masters Fund,1.00,1,221,1.00,1.03,-,,-,1.02,-,-1.19,-
