Industrial Market - Daily,,,,,,,,,,,,,,,,,
XAO 4651.4 at 16:47 11/12/2009  Report at 19:05 Friday 11/12/2009. Processed 19:01 Sunday 13/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
3.00,2.50,2.70,2.70,ONT,1300 Smiles Ltd,2.70,,68,2.65,2.70,11.4,f,1.64,0.13,4.22,18.7,14.4
0.195,0.105,-,-,TQH,3Q Hldgs Ltd,0.13,,-,0.14,0.18,-,,-,-0.10,-,1.07,12.1
0.09,0.015,0.023,0.023,FCS,4C Sec Solution,0.023,-0.2,7,0.023,0.035,-,,-,0.03,-,-4.2,-
0.48,0.147,0.42,0.41,ABP,Abacus Prop stpld,0.415,,52392,0.41,0.415,7.75,,-,0.62,18.67,-11.81,-
1.44,0.90,1.35,1.35,ALR,Aberdeen Leaders,1.35,1,50,1.34,1.38,9,f,-,1.42,6.67,-21.34,-
0.05,0.001,-,-,ACX,ACMA Engineering,0.001,,-,0.01,-,-,,-,-0.01,-,-0.33,-
2.54,0.42,2.18,1.94,ACR,Acrux Ltd,2.10,-3,6344,2.10,2.13,-,,-,0.09,-,-4.84,-
0.10,0.017,-,-,ACW,Actinogen Ltd,0.05,,-,0.055,0.06,-,,-,0.05,-,-2.32,-
0.004,0.001,-,-,ACWO,  opt aug12,0.003,,-,-,-,-,,-,-,-,-,-
0.05,0.014,0.016,0.016,ACU,Acuvax Ltd,0.016,-0.1,440,0.016,0.018,-,,-,-,-,-0.43,-
0.84,0.325,0.555,0.545,ADA,Adacel Tech,0.545,-2.5,441,0.545,0.56,-,,-,0.22,-,8.2,6.6
0.345,0.165,0.26,0.245,AAU,Adcorp Aust,0.245,,328,0.245,0.27,1,,0.45,0.08,4.08,0.45,54.4
3.01,1.445,2.60,2.55,ABC,Adelaide Brighton,2.57,2,10947,2.55,2.58,14,f,1.49,1.15,5.45,20.8,12.4
1.76,1.10,1.335,1.33,AYT,Adelaide Managed unt,1.335,1,430,1.34,1.35,15.47,,0.81,1.79,11.59,12.59,10.6
0.165,0.058,0.08,0.08,ADQ,ADG Global Supply,0.08,-1,259,0.07,0.08,-,,-,-,-,-8.68,-
-,-,-,-,ADQN,  def,-,,-,-,-,-,,-,-,-,-,-
-,-,-,-,ADQO,  optmar11d,-,,-,-,-,-,,-,-,-,-,-
0.016,0.004,0.009,0.008,ADL,Admerex Ltd,0.008,-0.2,4650,0.009,0.012,-,,-,0.01,-,-2.68,-
3.48,1.65,-,-,ADG,Adtrans Grp,3.48,,-,3.31,3.48,16,f,1.74,2.37,4.60,27.9,12.5
0.012,0.003,0.01,0.01,ASC,Adultshop Com,0.01,-0.1,6321,0.009,0.01,-,,-,0.04,-,-0.28,-
0.004,0.002,0.003,0.003,ASCO,  opt dec11,0.003,,2250,0.002,0.003,-,,-,-,-,-,-
0.038,0.005,0.03,0.03,ABV,Adv Braking Tech,0.03,-0.2,200,0.03,0.032,-,,-,0.01,-,-0.36,-
0.64,0.28,0.585,0.585,AMT,Adv Surg Dsgn & Mnft,0.585,2.5,67,0.585,0.60,-,,-,0.20,-,-2.9,-
0.085,0.02,-,-,AES,Advanced Energy,0.063,,-,0.063,0.064,-,,-,0.01,-,-0.06,-
0.093,0.031,-,-,ACE,Advanced Engine,0.059,,-,0.059,0.067,-,,-,-0.04,-,-1.9,-
0.124,0.013,0.055,0.055,ANM,Advanced Magnesium,0.055,,50,0.056,0.06,-,,-,0.01,-,-3.07,-
0.36,0.15,-,-,ASW,Advanced Share,0.35,,-,0.34,0.395,2,f,1.05,0.09,5.71,2.1,16.7
0.185,0.05,-,-,AEI,Aeris Environmental,0.10,,-,0.11,0.12,-,,-,0.01,-,-2.31,-
1.67,0.545,1.375,1.375,AVE,Aevum Ltd,1.375,-3.5,50,1.375,1.41,4,,-,2.07,2.91,-9.7,-
0.001,0.001,0.001,0.001,AFT,AFT Corp,0.001,,10010,-,0.001,-,,-,-,-,-0.03,-
15.80,12.83,13.74,13.61,AGK,AGL Energy Ltd,13.63,3,8399,13.61,13.65,54,f,6.63,6.00,3.96,358,3.8
0.28,0.13,-,-,AGJ,Agricultural Land unt,0.165,,-,0.155,0.165,2.42,,-,0.38,14.67,-3.63,-
2.45,1.295,-,-,AHC,AHC Ltd,2.25,,-,2.25,2.45,5,,3.56,3.31,2.22,17.79,12.6
0.22,0.05,0.20,0.20,AGI,Ainsworth Game Tech,0.20,1,295,0.195,0.20,-,,-,0.02,-,-4.45,-
1.12,0.55,0.96,0.945,AIZ,Air New Zealand fpo nz,0.96,9,68,0.955,0.98,5.22,,0.31,1.18,5.44,1.61,59.6
0.12,0.098,-,-,AIG,Aircruising Aust,0.11,,-,-,-,-,,-,-0.07,-,-5.34,-
5.60,2.03,4.17,3.91,AJL,AJ Lucas Grp,4.00,1,2814,3.95,4.05,10.5,f,23.78,2.11,2.63,249.7,1.6
0.76,0.096,0.66,0.615,ACL,Alchemia Ltd,0.62,-4.5,2974,0.62,0.65,-,,-,0.03,-,-5.2,-
0.20,0.06,0.11,0.085,ACLR,  rts 16dec,0.09,-2,12002,0.09,0.10,-,,-,-,-,-,-
47.10,44.00,-,-,AAI,Alcoa Inc cdi,44.89,,-,-,44.90,31.58,,-,-,0.70,-251.67,-
2.36,1.416,2.35,2.31,LEP,ALE Prop Grp stpld,2.35,5,1167,2.31,2.35,30,,1.05,3.08,12.77,31.51,7.5
5.91,0.60,4.52,4.37,ALS,Alesco Corp,4.50,7,4703,4.46,4.54,7,f,-,0.49,1.56,-13.94,-
0.28,0.10,0.15,0.14,ABQ,Allied Brands Ltd,0.15,0.5,3128,0.14,0.15,0.5,f,5.60,0.05,3.33,2.8,5.4
0.029,0.001,-,-,ABQO,  opt dec10,0.005,,-,0.002,0.005,-,,-,-,-,-,-
0.12,0.015,-,-,AEA,Altera Res Ltd,0.11,,-,0.096,0.11,-,,-,-,-,-3.25,-
1.45,0.575,1.04,1.04,AIQ,Alternative Invest unt,1.04,2,135,1.03,1.06,47,,-,1.43,45.19,-33.96,-
0.60,0.235,0.25,0.24,ALU,Altium Ltd,0.24,-1,512,0.24,0.28,2,,-,0.12,8.33,-0.47,-
0.078,0.017,0.045,0.045,AMA,AMA Grp Ltd,0.045,-0.3,786,0.051,0.058,-,,-,-0.23,-,-43.5,-
6.24,3.598,5.59,5.52,AHD,Amalgamated Hldgs,5.53,2,459,5.50,5.53,32,f,1.67,4.48,5.79,53.5,10.3
0.55,0.32,-,-,AMO,Ambertech Ltd,0.52,,-,0.49,0.55,3.5,f,1.69,0.57,6.73,5.9,8.8
