Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4574.1 at 16:41 18/6/2010  Report at 19:05 Friday 18/6/2010. Processed 19:10 Friday 18/6/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
5.91,2.37,2.81,2.47,ALS,Alesco Corp,2.77,-8,15006,2.70,2.86,14,f,-,0.65,5.05,-17.36,-,
0.205,0.01,0.12,0.115,AJX,Alexium Int Grp,0.12,0.5,2351,0.12,0.14,-,,-,-,-,-0.13,-,
0.105,0.041,0.045,0.044,AEJ,Alinta Energy Grp stp,0.044,-0.3,14335,0.044,0.045,-,,-,-1.53,-,-58.71,-,
0.245,0.032,0.042,0.032,ABQ,Allied Brands Ltd,0.033,-0.7,30934,0.033,0.034,0.5,,4.60,0.06,15.15,2.3,1.4,
0.005,0.001,-,-,ABQO,  opt dec10,0.001,,-,-,0.001,-,,-,-,-,-,-,
0.36,0.037,-,-,AEA,Altera Res Ltd,0.25,,-,0.215,0.25,-,,-,-,-,-3,-,
0.16,0.06,-,-,AEAO,  opt feb12,0.16,,-,-,0.16,-,,-,-,-,-,-,
1.45,0.91,1.025,1.025,AIQ,Alternative Invest unt,1.025,-2.5,130,1.015,1.06,47,,-,1.44,45.85,-44.5,-,
0.39,0.20,0.23,0.23,ALU,Altium Ltd,0.23,,93,0.23,0.24,2,,-,0.09,8.70,-6.97,-,
0.078,0.019,0.056,0.05,AMA,AMA Grp Ltd,0.056,0.8,2959,0.055,0.058,-,,-,-0.09,-,7.75,0.7,
6.24,3.73,5.96,5.73,AHD,Amalgamated Hldgs,5.96,1,2616,5.91,5.96,35,f,1.96,4.65,5.87,68.5,8.7,
0.63,0.385,-,-,AMO,Ambertech Ltd,0.40,,-,0.40,0.44,5.5,f,1.69,0.61,13.75,9.3,4.3,
0.42,0.165,-,-,AMB,Ambition Grp Ltd,0.37,,-,0.21,0.33,-,,-,0.14,-,-13.07,-,
104.17,104.17,-,-,AKS,Amcbf One,104.17,,-,104.17,106.00,-,,-,-,-,-,-,
101.94,101.94,-,-,AKT,Amcbf Two,101.94,,-,100.00,101.94,-,,-,-,-,-,-,
0.72,0.53,0.625,0.625,AMH,Amcil Ltd,0.625,-0.5,70,0.625,0.64,2,,-,0.71,3.20,-1.14,-,
0.355,0.145,0.325,0.32,AMM,Amcom Telecomm,0.32,,2248,0.32,0.33,0.9,f,3.09,0.18,2.81,2.78,11.5,
6.76,4.276,6.65,6.45,AMC,Amcor Ltd,6.52,-10,42055,6.50,6.55,29.5,,0.71,2.25,4.52,20.9,31.2,
3.40,1.83,3.40,3.35,AEC,Ammtec Ltd,3.35,-5,294,3.34,3.40,16.5,f,1.18,1.05,4.93,19.39,17.3,
1.265,0.675,0.74,0.73,AGF,AMP Capital China unt,0.735,0.5,4078,0.73,0.74,8.47,,1.18,0.99,11.52,10.02,7.3,
6.97,4.55,5.67,5.60,AMP,AMP Ltd,5.61,3,66424,5.59,5.61,30,p,1.24,0.80,5.35,37.1,15.1,
0.32,0.17,0.18,0.175,ANQ,Anaeco Ltd,0.18,1,520,0.18,0.20,-,,-,-,-,-5.5,-,
0.004,0.001,-,-,ANQOA,  opt may12,0.001,,-,-,-,-,,-,-,-,-,-,
0.115,0.019,0.029,0.029,ALT,Analytica Ltd,0.029,,60,0.029,0.03,-,,-,-,-,-0.24,-,
13.48,8.16,13.36,13.06,ANN,Ansell Ltd,13.10,-19,6902,12.96,13.25,29,,2.82,1.92,2.21,81.7,16.0,
0.065,0.029,0.036,0.036,ANO,Antaria Ltd,0.036,0.1,400,0.036,0.04,-,,-,0.04,-,1.46,2.5,
0.105,0.006,0.063,0.058,ADO,Anteo Diagnostics,0.063,0.5,59341,0.062,0.063,-,,-,-,-,-0.8,-,
0.07,0.001,0.049,0.048,ADOO,  opt sep10,0.048,0.2,923,0.046,0.05,-,,-,-,-,-,-,
0.025,0.005,-,-,ADOOA,  opt feb11,0.01,,-,0.01,0.025,-,,-,-,-,-,-,
0.20,0.013,0.015,0.014,ANP,Antisense Therapeutic,0.015,,1395,0.015,0.016,-,,-,-,-,-0.55,-,
26.23,15.68,23.22,22.94,ANZ,ANZ Banking Grp,23.14,19,50191,23.11,23.17,108,f,1.34,9.99,4.67,144.8,16.0,
13.55,7.80,12.50,12.50,APE,AP Eagers Ltd,12.50,,2,12.50,12.70,62,f,1.96,8.81,4.96,121.6,10.3,
0.023,0.009,-,-,APP,APA Financial,0.015,,-,0.015,0.018,-,,-,-,-,0.1,15.0,
3.79,2.60,3.72,3.60,APA,APA Grp stp,3.71,-3,27618,3.66,3.74,31.75,,0.79,-,8.56,25,14.8,
0.115,0.029,0.031,0.03,AEZ,APN European Retail stp,0.031,0.1,587,0.03,0.031,-,,-,0.24,-,-11.22,-,
2.61,1.32,2.21,2.12,APN,APN News & Media,2.12,-7,50476,2.11,2.12,4,f,4.17,-0.78,1.89,16.7,12.7,
0.41,0.15,0.18,0.18,APD,APN Prop Grp,0.18,1,62,0.18,0.20,1.25,f,-,0.21,6.94,-17.88,-,
0.04,0.007,0.009,0.009,AOP,Apollo Cons,0.009,0.1,15877,0.009,0.01,-,,-,-,-,0.18,5.0,
0.18,0.008,-,-,AQL,Aquacarotene Ltd,0.15,,-,0.15,0.18,-,,-,-,-,-0.27,-,
0.058,0.008,0.01,0.01,APB,Arafura Pearls,0.01,,3368,0.01,0.012,-,,-,0.12,-,-7.66,-,
6.40,3.176,6.29,6.22,ARP,ARB Corp,6.23,-7,2102,6.20,6.25,17.5,f,2.31,1.22,2.81,40.44,15.4,
1.845,1.00,1.15,1.10,AAD,Ardent Leisure stp,1.15,2,11772,1.14,1.15,14.3,,0.19,1.10,12.43,2.73,42.1,
7.05,5.61,6.08,6.01,ARG,Argo Invest,6.05,5,944,6.02,6.07,25,f,-,5.99,4.13,-11.1,-,
0.878,0.006,0.105,0.105,ASV,Argus Solutions,0.105,1.9,200,0.096,0.11,-,,-,-,-,-0.44,-,
0.37,0.225,0.265,0.265,ARA,Ariadne Aust,0.265,-1.5,160,0.265,0.27,1,,-,0.32,3.77,-2.46,-,
5.75,3.37,4.03,3.96,ALL,Aristocrat Leisure,3.96,-1,36656,3.96,4.00,4.5,,-,0.07,1.14,-31.3,-,
0.025,0.009,-,-,AEM,Artist & Entertain,0.01,,-,0.01,0.011,-,,-,-,-,-1.54,-,
0.30,0.10,-,-,AKW,Arturus Capital,0.125,,-,0.10,0.135,-,,-,0.25,-,21.65,0.6,
0.345,0.12,0.295,0.295,APH,Ascent Pharmahealth,0.295,-0.5,22,0.295,0.305,-,,-,0.06,-,3.7,8.0,
1.94,1.24,1.695,1.66,AIO,Asciano Grp stp,1.69,2.5,86225,1.685,1.69,-,,-,0.10,-,-41.9,-,
0.43,0.075,0.11,0.105,AFA,ASF Grp Ltd,0.105,,310,0.105,0.11,-,,-,0.02,-,-1.19,-,
1.48,0.555,1.47,1.43,ASZ,ASG Grp Ltd,1.43,-3,1656,1.41,1.43,6,f,1.57,0.06,4.20,9.43,15.2,
0.267,0.007,0.09,0.09,AJJ,Asia Liver Trans,0.09,-1,50,0.09,0.095,0.5,,-,0.01,5.56,-0.25,-,
0.002,0.001,-,-,AJJO,  opt sep10,-,,-,-,-,-,,-,-,-,-,-,
1.06,0.97,1.04,1.04,AUF,Asian Masters Fund,1.04,1,982,1.04,1.06,1,f,-,1.00,0.96,-1.19,-,
0.37,0.17,0.25,0.25,AKF,ASK Funding Ltd,0.25,,1000,0.24,0.285,1.3,,2.46,0.34,5.20,3.2,7.8,
0.575,0.27,0.50,0.465,APZ,Aspen Grp stp,0.50,2,37000,0.485,0.50,4.19,,-,0.68,8.38,-3.37,-,
0.256,0.10,-,-,ASP,Aspermont Ltd,0.14,,-,0.12,0.13,-,,-,-0.03,-,0.88,15.9,
1.15,0.75,0.91,0.90,AIR,Astivita Renewables,0.90,,70,0.905,0.975,-,,-,0.38,-,8.23,10.9,
0.85,0.51,0.76,0.76,AKR,Astra Capital Ltd,0.76,,3,0.76,0.82,-,,-,1.62,-,-1.87,-,
0.515,0.32,0.385,0.375,AJA,Astro Jap Prop stp,0.385,1,30697,0.38,0.385,8.5,,-,0.76,22.08,-36.49,-,
2.70,1.61,1.86,1.86,ATR,Astron Ltd,1.86,-3,3,1.86,1.90,-,,-,2.90,-,-11.79,-,
37.77,29.24,30.99,30.47,ASX,ASX Ltd,30.60,-13,3945,30.53,30.63,163.6,f,1.10,3.19,5.35,180.6,16.9,
0.22,0.115,-,-,ACG,Atcor Medical,0.135,,-,0.135,0.14,-,,-,0.04,-,-3.06,-,
0.07,0.01,0.042,0.041,ATI,Atlantic Ltd,0.041,,14672,0.04,0.041,-,,-,0.01,-,-0.12,-,
0.058,0.003,0.032,0.029,ATIO,  opt dec11,0.032,0.1,11250,0.032,0.035,-,,-,-,-,-,-,
0.145,0.085,0.12,0.115,ATP,Atlas Southsea Pearl,0.115,0.5,350,0.11,0.115,-,,-,0.13,-,-6.75,-,
1.654,1.171,1.59,1.545,AIA,Auckland Airport,1.57,2.5,441,1.545,1.57,6.68,,0.84,1.22,4.25,5.63,27.9,
7.50,0.977,-,-,AIB,Aurora Global Tr unt,1.25,,-,1.10,1.25,54,,-,1.20,43.20,-5.76,-,
5.40,4.35,5.10,5.10,AUP,Aurora Prop unt,5.10,4,44,5.10,5.15,-,,-,5.25,-,-,-,
7.35,0.867,1.135,1.135,ABW,Aurora SAE ord unt,1.135,-1,90,1.135,1.145,23,,-,1.20,20.26,-30.42,-,
1.12,0.99,1.005,1.005,AOD,Aurora Sandringham ,1.005,,346,1.005,1.01,5.6,f,-,1.02,5.57,-4.69,-,
1.72,1.61,-,-,AQF,AUS Gov Index Fund,1.61,,-,1.61,-,-,f,-,-,-,-,-,
2.34,0.855,1.82,1.705,ASL,Ausdrill Ltd,1.82,9.5,21237,1.77,1.82,11,f,1.87,1.60,6.04,20.62,8.8,
5.95,1.89,2.29,2.20,AAX,Ausenco Ltd,2.21,-2,22409,2.21,2.23,9.5,f,2.00,0.62,4.30,19,11.6,
1.595,1.18,1.52,1.485,AAC,Aust Agriculture,1.52,4.5,86163,1.485,1.525,-,,-,2.42,-,-20.3,-,
0.016,0.002,0.004,0.004,AAK,Aust China Hldgs,0.004,-0.1,101,0.004,0.005,-,,-,0.02,-,0.03,13.3,
0.005,0.001,-,-,AAKO,  opt dec13,0.001,,-,-,0.001,-,,-,-,-,-,-,
0.66,0.23,0.59,0.57,AEU,Aust Education unt,0.59,2,1536,0.58,0.59,1.75,,5.37,1.29,2.97,9.4,6.3,
6.53,5.22,6.45,6.35,AYF,Aust Enhanced unt,6.45,6,29,6.45,6.48,50,p,0.02,6.60,7.75,1,645.0,
37.00,20.00,23.25,23.00,AEF,Aust Ethical,23.00,-25,12,23.00,24.50,182,f,0.76,8.11,7.91,139,16.5,
5.41,4.26,4.84,4.80,AFI,Aust Foundation,4.84,,1591,4.82,4.84,21,f,0.43,4.98,4.34,8.93,54.2,
4.68,4.51,-,-,AFIN,  new,4.67,,-,4.63,4.67,-,,-,-,-,-,-,
2.09,1.18,1.80,1.765,AIX,Aust Infra unt,1.78,-1.5,13600,1.78,1.80,10,p,1.94,2.62,5.62,19.37,9.2,
1.265,1.00,1.09,1.085,ALF,Aust Leaders,1.09,1,254,1.09,1.155,7,f,7.66,1.45,6.42,53.65,2.0,
0.10,0.003,-,-,ALFO,  opt nov10,0.01,,-,0.005,0.01,-,,-,-,-,-,-,
0.939,0.44,0.46,0.45,API,Aust Pharmaceutical,0.45,-1,3236,0.445,0.46,3,f,2.03,0.79,6.67,6.1,7.4,
0.50,0.13,0.40,0.40,APK,Aust Power,0.40,1,250,0.39,0.42,-,,-,-,-,-3.1,-,
7.90,5.74,6.58,6.58,AUI,Aust United Invest,6.58,2,19,6.58,6.69,25,f,0.75,7.49,3.80,18.7,35.2,
0.49,0.125,0.22,0.215,AVG,Aust Vintage Ltd,0.215,,596,0.21,0.22,-,,-,0.98,-,11.2,1.9,
3.12,1.935,2.40,2.27,ASB,Austal Ltd,2.29,-5,2879,2.28,2.39,6,,0.72,1.30,2.62,4.35,52.6,
1.465,0.77,1.045,1.02,AUN,Austar United,1.03,-1,29446,1.02,1.04,-,,-,-0.31,-,4.7,21.9,
5.65,3.83,5.03,4.96,AUB,Austbrokers Hldgs,4.96,-4,211,4.92,5.00,21,f,1.55,0.92,4.23,32.49,15.3,
1.925,1.27,1.74,1.71,AEO,Austereo Grp Ltd,1.73,-0.5,1872,1.60,1.74,9.1,f,1.32,-0.57,5.26,11.98,14.4,
3.60,1.50,3.42,3.38,ANG,Austin Engineer,3.40,,591,3.38,3.40,8.5,f,3.10,0.52,2.50,26.32,12.9,
0.33,0.15,0.17,0.15,ACK,Austock Grp Ltd,0.17,-1.5,1018,0.15,0.17,-,,-,0.24,-,-6.58,-,
1.25,0.75,-,-,AYX,Austofix Grp Ltd,1.00,,-,0.72,1.25,-,,-,0.24,-,-2.5,-,
3.05,1.835,2.66,2.59,ALZ,Australand Prop stp,2.63,7,10425,2.61,2.64,5,,-,0.68,1.90,-13.4,-,
0.055,0.008,0.04,0.04,AIY,Authorised Invest,0.04,,100,0.04,0.07,-,,-,0.03,-,0.05,80.0,
0.016,0.01,-,-,AIYO,  opt feb13,0.016,,-,-,0.019,-,,-,-,-,-,-,
0.092,0.028,-,-,ATJ,Auto Tech Ltd,0.05,,-,0.041,0.05,-,,-,0.02,-,-4.29,-,
0.011,0.005,-,-,ATJO,  opt jun11,0.005,,-,0.005,-,-,,-,-,-,-,-,
0.11,0.02,0.063,0.062,AIE,Autodom Ltd,0.063,1.1,660,0.063,0.07,-,,-,0.05,-,2.09,3.0,
2.88,1.33,2.54,2.39,AHE,Automotive Hldgs,2.45,3,13445,2.42,2.50,17,f,1.66,0.75,6.94,28.14,8.7,
0.235,0.024,0.031,0.03,AVX,Avexa Ltd,0.03,,35307,0.03,0.031,-,,-,0.04,-,-4.17,-,
