Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4536.2 at 16:38 29/7/2010  Report at 19:05 Thursday 29/7/2010. Processed 19:18 Thursday 29/7/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.30,2.55,3.26,3.26,ONT,1300 Smiles Ltd,3.26,,19,3.21,3.28,12.5,f,1.54,0.08,3.83,19.23,17.0,
0.18,0.095,-,-,TQH,3Q Hldgs Ltd,0.11,,-,0.04,0.09,-,,-,-0.08,-,3.28,3.4,
0.05,0.015,-,-,FCS,4C Sec Solution,0.023,,-,0.023,0.034,-,,-,0.01,-,-2.77,-,
0.275,0.07,0.08,0.07,AAY,Aacl Hldgs Ltd,0.07,-1,1500,0.07,0.09,-,,-,-,-,-,-,
0.48,0.33,0.42,0.41,ABP,Abacus Prop stp,0.415,-0.5,38134,0.415,0.42,3.9,,-,0.60,9.40,-2.32,-,
1.47,1.20,1.24,1.24,ALR,Aberdeen Leaders,1.24,1,77,1.235,1.255,9.5,f,0.81,1.21,7.66,7.67,16.2,
2.60,1.17,1.98,1.93,ACR,Acrux Ltd,1.96,2,649,1.95,1.97,-,,-,0.06,-,-2.84,-,
0.095,0.027,-,-,ACW,Actinogen Ltd,0.027,,-,0.031,0.048,-,,-,0.04,-,-1.88,-,
0.003,0.001,-,-,ACWO,  opt aug12,0.001,,-,-,-,-,,-,-,-,-,-,
0.035,0.003,0.003,0.003,ACU,Acuvax Ltd,0.003,,15122,0.002,0.003,-,,-,-,-,-0.37,-,
0.84,0.30,-,-,ADA,Adacel Tech,0.35,,-,0.33,0.34,-,,-,0.21,-,2.7,13.0,
0.305,0.145,-,-,AAU,Adcorp Aust,0.165,,-,0.17,0.185,-,,-,0.07,-,-2.18,-,
3.20,2.31,3.20,3.15,ABC,Adelaide Brighton,3.17,,22269,3.17,3.19,13.5,f,1.51,1.21,4.26,20.4,15.5,
