Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4404.1 at 16:38 27/8/2010  Report at 19:05 Friday 27/8/2010. Processed 11:28 Saturday 28/8/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.30,2.61,-,-,ONT,1300 Smiles Ltd,3.28,,-,3.20,3.28,13.7,f,1.53,0.15,4.18,21,15.6,
0.18,0.08,0.10,0.10,TQH,3Q Hldgs Ltd,0.10,2,3929,0.05,0.11,-,,-,-0.08,-,3.28,3.0,
0.05,0.015,0.042,0.042,FCS,4C Sec Solution,0.042,0.4,300,0.042,0.045,-,,-,0.01,-,-2.77,-,
0.275,0.05,0.069,0.069,AAY,Aacl Hldgs Ltd,0.069,-0.1,2000,0.063,0.069,-,,-,-,-,-,-,
0.48,0.33,0.415,0.405,ABP,Abacus Prop stp,0.41,0.5,22855,0.405,0.41,3.9,,-,0.60,9.51,-2.32,-,
1.47,1.21,1.225,1.225,ALR,Aberdeen Leaders,1.225,-0.5,150,1.225,1.235,9.5,f,1.08,1.31,7.76,10.29,11.9,
2.60,1.24,1.965,1.92,ACR,Acrux Ltd,1.94,-1,463,1.92,1.94,-,,-,-,-,29.08,6.7,
0.11,0.027,-,-,ACW,Actinogen Ltd,0.07,,-,0.07,0.082,-,,-,0.04,-,-1.88,-,
0.003,0.001,-,-,ACWO,  opt aug12,0.001,,-,0.001,0.02,-,,-,-,-,-,-,
0.029,0.002,-,-,ACU,Acuvax Ltd,0.002,,-,0.002,0.003,-,,-,-,-,-0.37,-,
0.84,0.30,0.305,0.305,ADA,Adacel Tech,0.305,0.5,35,0.305,0.34,-,,-,0.21,-,2.7,11.3,
0.305,0.145,-,-,AAU,Adcorp Aust,0.175,,-,0.175,0.19,-,,-,0.07,-,-2.18,-,
3.435,2.293,3.28,3.15,ABC,Adelaide Brighton,3.24,-2,16913,3.24,3.26,15.5,f,1.52,1.16,4.78,23.6,13.7,
1.465,1.144,1.465,1.46,AYT,Adelaide Managed unt,1.46,-0.5,808,1.455,1.46,15.35,,0.14,1.63,10.51,2.11,69.2,
0.118,0.05,-,-,ADQ,ADG Global Supply,0.05,,-,0.055,0.071,-,,-,0.02,-,-11.08,-,
0.013,0.008,-,-,ADQO,  opt mar11,0.008,,-,0.001,0.009,-,,-,-,-,-,-,
0.016,0.002,0.003,0.003,ADL,Admerex Ltd,0.003,,21563,0.002,0.004,-,,-,-,-,-0.4,-,
4.18,2.75,-,-,ADG,Adtrans Grp,4.11,,-,4.09,4.20,23,f,1.61,2.44,5.60,37.1,11.1,
0.019,0.005,-,-,ASC,Adultshop Com,0.014,,-,0.013,0.014,-,,-,0.02,-,-0.19,-,
