Industrial Market - Daily,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"XAO 4734.1 at 2011-03-21T16:38:31. Report at Monday, March 21, 2011. Processed Friday at 2011-03-25.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio
0.7,0.595,0.65,0.65,AMH,AMCIL,0.65,-,370,0.65,0.66,2,,2.22,0.79,3.08,4.45,14.6
0.365,0.265,0.295,0.29,AMM,Amcom Telco,0.29,-,4946,0.29,0.295,1.6,f,1.7,0.16,5.52,2.72,10.7
7.18,5.79,6.99,6.91,AMC,Amcor,6.96,-1,29389,6.95,6.96,34,,0.76,1.48,4.89,25.7,27.1
0.97,0.675,0.795,0.79,AGF,AMP Capital China unt,0.79,-1,1142,0.79,0.795,2.59,,0.62,1.01,3.28,1.6,49.4
6.56,4.85,5.36,5.29,AMP,AMP,5.31,3,234149,5.3,5.33,30,p,1.26,0.98,5.65,37.9,14
5.49,5.12,5.34,5.28,AMPN,  def x axa,5.34,5,69,5.28,5.37,-,,-,-,-,-,-
0.25,0.085,-,-,ANQ,AnaeCo,0.1,-,-,0.09,0.1,-,,-,-0.02,-,-5.2,-
0.004,0.001,-,-,ANQOA,  opt may12,0.001,-,-,-,-,-,,-,-,-,-,-
0.065,0.019,0.032,0.031,ALT,Analytica,0.032,-,1656,0.03,0.032,-,,-,-,-,-0.29,-
0.31,0.003,0.16,0.16,AEK,Anatolia Energy,0.16,-,56,0.17,0.18,-,,-,0.04,-,-0.13,-
0.045,0.004,0.006,0.006,AYG,Anittel Grp,0.006,-,5258,0.006,0.007,-,,-,-0.01,-,-1.08,-
13.98,11.68,13.14,12.86,ANN,Ansell,13.08,5,8020,13,13.08,31.5,,2.93,2.29,2.41,92.4,14.2
0.045,0.026,-,-,ANO,Antaria,0.026,-,-,0.027,0.035,-,,-,0.01,-,-5.22,-
0.105,0.035,0.077,0.074,ADO,Anteo Diagnostics,0.074,-0.2,12798,0.074,0.076,-,,-,-,-,-0.42,-
0.031,0.007,0.011,0.009,ANP,Antisense Therapeutic,0.009,0.1,955573,0.009,0.01,-,,-,-,-,-0.26,-
0.005,0.002,0.004,0.004,ANPO,  opt jul12,0.004,-,29225,0.004,0.005,-,,-,-,-,-,-
26.23,19.95,23.12,22.6,ANZ,ANZ Banking Grp,23.04,34,90810,23.01,23.06,126,f,1.42,10.38,5.47,178.9,12.9
13.2,11.4,12.05,12.05,APE,AP Eagers,12.05,-20,3,12.15,12.5,64,f,1.65,7.76,5.31,105.3,11.4
0.034,0.012,-,-,APP,APA Fin Services,0.025,-,-,0.022,0.029,-,,-,0.01,-,0.16,15.6
4.21,3.35,4.02,3.99,APA,APA Grp stp,4,-,6153,3.99,4.03,33.5,,0.59,1.34,8.38,19.6,20.4
