Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4526.8 at 16:43 1/9/2010  Report at 19:06 Wednesday 1/9/2010. Processed 19:11 Wednesday 1/9/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
0.205,0.01,0.16,0.155,AJX,Alexium Int Grp,0.155,-0.5,2421,0.155,0.17,-,,-,-,-,-0.13,-,
0.105,0.041,0.05,0.049,AEJ,Alinta Energy Grp stp,0.049,,2517,0.049,0.05,-,,-,-1.53,-,-58.71,-,
0.195,0.024,0.028,0.027,ABQ,Allied Brands Ltd,0.027,-0.1,2479,0.028,0.029,0.5,,4.60,0.06,18.52,2.3,1.2,
0.005,0.001,-,-,ABQO,  opt dec10,0.001,,-,-,-,-,,-,-,-,-,-,
0.36,0.048,0.30,0.30,AEA,Altera Res Ltd,0.30,,296,0.28,0.30,-,,-,-,-,-3,-,
0.16,0.06,-,-,AEAO,  opt feb12,0.13,,-,-,0.135,-,,-,-,-,-,-,
1.15,0.91,1.095,1.09,AIQ,Alternative Invest unt,1.095,1,43,1.095,1.10,47,,-,1.53,42.92,-44.5,-,
0.365,0.15,-,-,ALU,Altium Ltd,0.15,,-,0.16,0.21,-,,-,0.09,-,-6.97,-,
0.078,0.033,-,-,AMA,AMA Grp Ltd,0.055,,-,-,-,-,,-,-0.09,-,7.75,0.7,
6.24,4.561,5.84,5.75,AHD,Amalgamated Hldgs,5.84,,6,5.79,5.84,37,f,1.79,4.57,6.34,66.4,8.8,
0.63,0.34,-,-,AMO,Ambertech Ltd,0.39,,-,-,-,3.5,,2.66,0.61,8.97,9.3,4.2,
0.42,0.26,-,-,AMB,Ambition Grp Ltd,0.29,,-,-,-,-,,-,0.15,-,-10.32,-,
105.00,100.00,105.00,104.00,AKS,Amcbf One,104.00,,5,102.00,105.00,-,,-,-,-,-,-,
105.00,103.19,-,-,AKU,Amcbf Thr,105.00,,-,-,-,-,,-,-,-,-,-,
102.69,101.00,-,-,AKT,Amcbf Two,101.95,,-,-,-,-,,-,-,-,-,-,
0.72,0.595,0.61,0.60,AMH,Amcil Ltd,0.61,1,753,0.61,0.615,2,f,1.87,0.73,3.28,3.73,16.4,
0.365,0.19,0.315,0.31,AMM,Amcom Telecomm,0.31,0.5,19496,0.315,0.32,1.4,f,1.95,0.16,4.52,2.73,11.4,
7.04,5.27,6.97,6.77,AMC,Amcor Ltd,6.94,20,67567,6.90,6.94,29.5,,0.54,1.49,4.25,15.8,43.9,
3.82,2.11,3.82,3.80,AEC,Ammtec Ltd,3.80,,8681,3.80,3.82,17.5,f,1.16,1.11,4.61,20.34,18.7,
1.13,0.675,0.865,0.845,AGF,AMP Capital China unt,0.865,1.5,2669,0.85,0.865,8.47,,-,0.93,9.79,-1.38,-,
6.97,4.85,5.16,5.05,AMP,AMP Ltd,5.12,8,103792,5.12,5.13,31,p,1.28,0.90,6.05,39.8,12.9,
0.295,0.14,-,-,ANQ,Anaeco Ltd,0.145,-0.5,-,-,-,-,,-,-,-,-5.5,-,
0.004,0.001,-,-,ANQOA,  opt may12,0.001,,-,-,-,-,,-,-,-,-,-,
0.115,0.019,-,-,ALT,Analytica Ltd,0.024,,-,-,-,-,,-,-,-,-0.24,-,
13.73,9.07,13.55,13.29,ANN,Ansell Ltd,13.31,-17,13736,13.26,13.35,30.5,,2.94,2.22,2.29,89.6,14.9,
0.06,0.032,-,-,ANO,Antaria Ltd,0.035,,-,-,-,-,,-,0.04,-,1.46,2.4,
0.105,0.006,0.052,0.05,ADO,Anteo Diagnostics,0.051,-0.2,23096,0.05,0.052,-,,-,-,-,-0.8,-,
0.07,0.001,-,-,ADOO,  opt sep10,0.039,,-,0.034,0.04,-,,-,-,-,-,-,
0.025,0.005,-,-,ADOOA,  opt feb11,0.015,,-,-,-,-,,-,-,-,-,-,
0.20,0.013,0.014,0.014,ANP,Antisense Therapeutic,0.014,,12500,0.014,0.015,-,,-,-,-,-0.55,-,
26.23,19.95,23.28,22.70,ANZ,ANZ Banking Grp,23.14,55,104048,23.12,23.15,108,f,1.34,9.99,4.67,144.8,16.0,
13.55,8.93,-,-,APE,AP Eagers Ltd,12.52,1,-,-,-,63,f,1.90,8.60,5.03,120,10.4,
0.022,0.009,-,-,APP,APA Financial,0.018,,-,-,-,-,,-,-,-,0.1,18.0,
3.83,2.90,3.77,3.72,APA,APA Grp stp,3.77,3,17677,3.73,3.77,32.75,,0.59,1.28,8.69,19.4,19.4,
0.115,0.024,0.031,0.03,AEZ,APN European Retail stp,0.031,0.2,3750,0.03,0.031,-,,-,0.16,-,-12.21,-,
2.61,1.68,1.895,1.84,APN,APN News & Media,1.875,-1.5,12709,1.875,1.88,9,,1.86,-0.75,4.80,16.7,11.2,
0.41,0.165,0.20,0.20,APD,APN Prop Grp,0.20,,603,0.175,0.20,1.25,,-,0.21,6.25,-17.88,-,
0.04,0.007,0.01,0.009,AOP,Apollo Cons,0.01,,21500,0.01,0.011,-,,-,-,-,0.18,5.6,
0.352,0.12,0.145,0.145,AQL,Aquacarotene Ltd,0.145,2.5,217,0.145,0.17,-,,-,-,-,-0.27,-,
0.047,0.008,0.017,0.016,APB,Arafura Pearls,0.017,0.1,1290,0.016,0.017,-,,-,0.12,-,-7.66,-,
