Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4586.5 at 17:04 3/8/2010  Report at 19:05 Tuesday 3/8/2010. Processed 19:10 Tuesday 3/8/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.30,2.60,-,-,ONT,1300 Smiles Ltd,3.24,,-,3.20,3.24,12.5,f,1.54,0.08,3.86,19.23,16.8,
0.18,0.095,-,-,TQH,3Q Hldgs Ltd,0.11,,-,0.04,0.09,-,,-,-0.08,-,3.28,3.4,
0.05,0.015,-,-,FCS,4C Sec Solution,0.023,,-,0.023,0.034,-,,-,0.01,-,-2.77,-,
0.275,0.07,0.08,0.08,AAY,Aacl Hldgs Ltd,0.08,,610,0.072,0.08,-,,-,-,-,-,-,
0.48,0.33,0.42,0.41,ABP,Abacus Prop stp,0.42,1,34533,0.415,0.42,3.9,,-,0.60,9.29,-2.32,-,
1.47,1.20,-,-,ALR,Aberdeen Leaders,1.25,,-,1.25,1.27,9.5,f,0.81,1.21,7.60,7.67,16.3,
2.60,1.17,1.97,1.93,ACR,Acrux Ltd,1.95,-1,300,1.915,1.96,-,,-,0.06,-,-2.84,-,
0.095,0.027,-,-,ACW,Actinogen Ltd,0.027,,-,0.035,0.048,-,,-,0.04,-,-1.88,-,
0.003,0.001,-,-,ACWO,  opt aug12,0.001,,-,-,-,-,,-,-,-,-,-,
0.035,0.003,0.003,0.003,ACU,Acuvax Ltd,0.003,,1700,0.002,0.003,-,,-,-,-,-0.37,-,
0.84,0.30,-,-,ADA,Adacel Tech,0.35,,-,0.32,0.34,-,,-,0.21,-,2.7,13.0,
0.305,0.145,0.18,0.18,AAU,Adcorp Aust,0.18,-1,80,0.175,0.19,-,,-,0.07,-,-2.18,-,
3.35,2.31,3.35,3.15,ABC,Adelaide Brighton,3.15,-4,40380,3.14,3.17,13.5,f,1.51,1.21,4.29,20.4,15.4,
1.45,1.135,1.42,1.42,AYT,Adelaide Managed unt,1.42,1,150,1.42,1.435,16.02,,0.43,1.79,11.28,6.83,20.8,
0.118,0.052,-,-,ADQ,ADG Global Supply,0.062,,-,0.06,0.062,-,,-,0.02,-,-11.08,-,
0.013,0.008,-,-,ADQO,  opt mar11,0.008,,-,-,0.008,-,,-,-,-,-,-,
0.016,0.002,-,-,ADL,Admerex Ltd,0.003,,-,0.003,0.005,-,,-,-,-,-0.4,-,
3.70,2.35,-,-,ADG,Adtrans Grp,3.50,,-,3.56,3.70,20,f,1.86,2.44,5.71,37.1,9.4,
0.015,0.005,0.013,0.012,ASC,Adultshop Com,0.012,-0.1,19000,0.012,0.014,-,,-,0.02,-,-0.19,-,
0.005,0.002,0.003,0.003,ASCO,  opt dec11,0.003,-0.1,700,0.003,0.005,-,,-,-,-,-,-,
0.038,0.016,0.02,0.02,ABV,Adv Braking Tech,0.02,0.1,5685,0.019,0.02,-,,-,-,-,-0.32,-,
0.64,0.31,0.54,0.54,AMT,Adv Surg Dsgn & Mnft,0.54,4,11,0.50,0.53,-,,-,0.22,-,-0.1,-,
0.125,0.032,-,-,AES,Advanced Energy,0.043,,-,0.045,0.049,-,,-,0.01,-,-0.09,-,
0.093,0.031,0.044,0.044,ACE,Advanced Engine,0.044,,600,0.032,0.045,-,,-,-0.05,-,-2.58,-,
0.07,0.03,0.052,0.052,ANM,Advanced Magnesium,0.052,,63,0.052,0.053,-,,-,0.02,-,-2.64,-,
0.695,0.235,0.66,0.65,ASW,Advanced Share,0.65,-1,627,0.63,0.65,2.75,f,1.15,0.11,4.23,3.16,20.6,
0.16,0.055,0.075,0.07,AEI,Aeris Environmental,0.07,1.5,1727,0.071,0.08,-,,-,-,-,-2.05,-,
1.67,1.01,1.58,1.56,AVE,Aevum Ltd,1.58,3.5,3309,1.58,1.585,4,,1.05,2.07,2.53,4.2,37.6,
0.002,0.001,0.001,0.001,AFT,AFT Corp,0.001,,4421,0.001,0.001,-,,-,-,-,-0.01,-,
15.69,13.37,14.97,14.81,AGK,AGL Energy Ltd,14.93,3,7023,14.82,14.94,57,f,0.47,6.21,3.82,27,55.3,
0.175,0.13,-,-,AGJ,Agricultural Land unt,0.13,,-,0.13,0.16,2.12,,-,0.38,16.31,-2.28,-,
2.45,2.00,-,-,AHC,AHC Ltd,2.04,,-,-,2.04,-,,-,4.89,-,14.09,14.5,
16.50,13.95,14.91,14.91,ENY,Aii200energy etf unt,14.91,8,1,14.81,14.90,-,,-,-,-,-,-,
5.09,4.18,4.55,4.53,FIN,Aii200financials etf unt,4.54,7,48,4.51,4.54,-,,-,-,-,-,-,
5.98,4.83,5.30,5.30,FIX,Aii200finxareit etf unt,5.30,5,55,5.23,5.27,-,,-,-,-,-,-,
3.97,3.21,-,-,IDD,Aii200industrials etf unt,3.45,,-,3.47,3.50,-,,-,-,-,-,-,
5.65,4.60,-,-,RSR,Aii200res etf unt,5.07,,-,5.14,5.18,-,,-,-,-,-,-,
4.83,3.90,-,-,MAM,Aii300metals&Min etf unt,4.30,,-,4.36,4.39,-,,-,-,-,-,-,
0.22,0.075,-,-,AGI,Ainsworth Game Tech,0.084,,-,0.085,0.094,-,,-,0.01,-,-4.95,-,
1.145,0.83,0.92,0.92,AIZ,Air New Zealand,0.92,1,48,0.90,0.92,5.17,,0.75,1.12,5.62,3.9,23.6,
0.11,0.10,-,-,AIG,Aircruising Aust,0.11,,-,0.02,0.08,-,,-,-0.11,-,-8.38,-,
5.60,2.00,2.13,2.04,AJL,AJ Lucas Grp,2.11,5,735,2.08,2.11,5.5,,2.91,1.32,2.61,16,13.2,
0.81,0.345,0.52,0.49,ACL,Alchemia Ltd,0.505,-2,2167,0.505,0.51,-,,-,0.09,-,-4.6,-,
47.10,12.50,-,-,AAI,Alcoa Inc cdi,13.75,,-,12.75,13.50,11.4,,-,-,0.83,-14.02,-,
2.43,1.90,2.07,2.05,LEP,ALE Prop Grp stp,2.05,-2,3003,2.05,2.08,27,,3.55,2.39,13.17,95.98,2.1,
5.91,2.25,2.67,2.60,ALS,Alesco Corp,2.61,-1,2384,2.60,2.62,7,,-,0.60,2.68,-132.84,-,
0.205,0.01,0.17,0.16,AJX,Alexium Int Grp,0.16,,1200,0.15,0.16,-,,-,-,-,-0.13,-,
0.105,0.041,0.06,0.059,AEJ,Alinta Energy Grp stp,0.059,,1798,0.059,0.06,-,,-,-1.53,-,-58.71,-,
0.245,0.024,0.04,0.04,ABQ,Allied Brands Ltd,0.04,-0.2,3805,0.039,0.04,0.5,,4.60,0.06,12.50,2.3,1.7,
0.005,0.001,-,-,ABQO,  opt dec10,0.001,,-,-,0.001,-,,-,-,-,-,-,
0.36,0.048,-,-,AEA,Altera Res Ltd,0.27,,-,0.25,0.27,-,,-,-,-,-3,-,
0.16,0.06,0.15,0.15,AEAO,  opt feb12,0.15,,450,0.15,0.17,-,,-,-,-,-,-,
1.45,0.91,1.10,1.08,AIQ,Alternative Invest unt,1.08,0.5,300,1.08,1.13,47,,-,1.45,43.52,-44.5,-,
0.39,0.20,-,-,ALU,Altium Ltd,0.23,,-,0.225,0.28,-,,-,0.09,-,-6.97,-,
0.078,0.019,0.043,0.041,AMA,AMA Grp Ltd,0.042,0.3,8900,0.042,0.043,-,,-,-0.09,-,7.75,0.5,
6.24,4.429,5.82,5.75,AHD,Amalgamated Hldgs,5.76,-5,197,5.75,5.81,35,f,1.96,4.65,6.08,68.5,8.4,
0.63,0.34,-,-,AMO,Ambertech Ltd,0.40,,-,0.40,0.45,5.5,f,1.69,0.61,13.75,9.3,4.3,
0.42,0.20,0.30,0.275,AMB,Ambition Grp Ltd,0.30,1,150,0.18,0.30,-,,-,0.14,-,-13.07,-,
104.17,102.00,102.00,102.00,AKS,Amcbf One,102.00,,2,100.05,102.00,-,,-,-,-,-,-,
104.00,103.19,-,-,AKU,Amcbf Thr,103.19,,-,103.73,104.00,-,,-,-,-,-,-,
102.69,101.00,101.95,101.95,AKT,Amcbf Two,101.95,-74,2,100.05,101.95,-,,-,-,-,-,-,
0.72,0.58,0.65,0.645,AMH,Amcil Ltd,0.65,,5991,0.645,0.65,2,f,1.87,0.70,3.08,3.73,17.4,
0.355,0.17,0.335,0.33,AMM,Amcom Telecomm,0.335,1,4929,0.325,0.335,0.9,f,3.09,0.18,2.69,2.78,12.1,
7.04,4.473,6.67,6.50,AMC,Amcor Ltd,6.55,-3,49705,6.54,6.56,29.5,,0.71,2.25,4.50,20.9,31.3,
3.70,2.01,3.70,3.60,AEC,Ammtec Ltd,3.68,8,1068,3.64,3.68,16.5,f,1.18,1.05,4.48,19.39,19.0,
1.21,0.675,0.89,0.875,AGF,AMP Capital China unt,0.88,0.5,4303,0.87,0.88,8.47,,1.18,0.99,9.62,10.02,8.8,
6.97,5.06,5.44,5.36,AMP,AMP Ltd,5.37,,48480,5.36,5.38,30,p,1.24,0.80,5.59,37.1,14.5,
0.305,0.15,0.17,0.17,ANQ,Anaeco Ltd,0.17,,304,0.165,0.17,-,,-,-,-,-5.5,-,
0.004,0.001,-,-,ANQOA,  opt may12,0.001,,-,-,-,-,,-,-,-,-,-,
0.115,0.019,-,-,ALT,Analytica Ltd,0.024,,-,0.025,0.028,-,,-,-,-,-0.24,-,
13.73,9.07,13.17,12.95,ANN,Ansell Ltd,13.00,,6401,12.90,13.19,29,,2.82,1.92,2.23,81.7,15.9,
0.06,0.032,-,-,ANO,Antaria Ltd,0.045,,-,0.038,0.044,-,,-,0.04,-,1.46,3.1,
0.105,0.006,0.056,0.054,ADO,Anteo Diagnostics,0.055,0.2,24234,0.054,0.055,-,,-,-,-,-0.8,-,
0.07,0.001,0.044,0.044,ADOO,  opt sep10,0.044,0.3,183,0.041,0.043,-,,-,-,-,-,-,
0.025,0.005,-,-,ADOOA,  opt feb11,0.015,,-,0.015,0.025,-,,-,-,-,-,-,
0.20,0.013,0.017,0.017,ANP,Antisense Therapeutic,0.017,,2500,0.017,0.018,-,,-,-,-,-0.55,-,
26.23,18.73,23.55,23.25,ANZ,ANZ Banking Grp,23.37,5,77629,23.30,23.37,108,f,1.34,9.99,4.62,144.8,16.1,
13.55,8.71,12.55,12.55,APE,AP Eagers Ltd,12.55,-15,-,12.55,12.70,62,f,1.96,8.81,4.94,121.6,10.3,
0.022,0.009,-,-,APP,APA Financial,0.017,,-,0.017,0.021,-,,-,-,-,0.1,17.0,
3.83,2.63,3.79,3.74,APA,APA Grp stp,3.78,3,6832,3.77,3.79,31.75,,0.79,-,8.40,25,15.1,
0.115,0.024,0.027,0.026,AEZ,APN European Retail stp,0.027,,15565,0.026,0.027,-,,-,0.24,-,-11.22,-,
2.61,1.63,2.19,2.12,APN,APN News & Media,2.13,,7615,2.10,2.14,4,f,4.17,-0.78,1.88,16.7,12.8,
0.41,0.165,0.21,0.205,APD,APN Prop Grp,0.21,,200,0.205,0.23,1.25,f,-,0.21,5.95,-17.88,-,
0.04,0.007,0.011,0.011,AOP,Apollo Cons,0.011,,10000,0.01,0.011,-,,-,-,-,0.18,6.1,
0.352,0.15,-,-,AQL,Aquacarotene Ltd,0.20,,-,0.10,0.22,-,,-,-,-,-0.27,-,
0.052,0.008,-,-,APB,Arafura Pearls,0.017,,-,0.015,0.018,-,,-,0.12,-,-7.66,-,
6.40,3.687,5.82,5.73,ARP,ARB Corp,5.78,11,168,5.78,5.94,17.5,f,2.31,1.22,3.03,40.44,14.3,
