Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4999.6 at 2011-04-13T16:38:51. Report at Wednesday, April 13, 2011. Processed Thursday at 2011-04-14T01:00:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.67,.17,.40,.38,AEB,Algae.Tec,.40,+1,213,.38,.40,-,,-,-,-,-,-,,
6.06,4.05,6.06,6.06,AEJDC,Alinta Energy Grp def,6.06,-,1,6.06,7.00,-,,-,-1300.00,-,-6640.00,-,,
.30,.16,.23,.22,AZG,Allmine Grp,.23,-,2315,.225,.23,-,,-,-,-,-,-,,
.83,.657,.745,.745,AIQ,Alternative Invest unt,.745,-,198,.745,.75,-,,-,1.01,-,-8.87,-,,
.28,.085,-,-,ALU,Altium,.12,-,-,.12,.14,-,,-,.01,-,-11.90,-,,
.15,.033,-,-,AMA,AMA Grp,.12,-,-,.115,.12,-,,-,-.06,-,3.48,3.4,,
6.78,5.21,6.06,6.01,AHD,Amalgamated Hldgs,6.04,+2,29,6.04,6.10,37.00,f,2.21,5.05,6.13,81.90,7.4,,
.62,.30,-,-,AMO,Ambertech,.34,-,-,.34,.355,.50,f,1.20,.58,1.47,.60,56.7,,
.42,.275,.30,.30,AMB,Ambition Grp,.30,-3,255,.295,.30,-,,-,.16,-,3.02,9.9,,
62.214,57.874,-,-,AKS,AMCB Fund No 1,60.61,-,-,60.61,98.00,359.00,f,.82,85.33,5.92,294.00,20.6,,
64.151,59.798,-,-,AKU,AMCB Fund No 3,63.34,-,-,63.34,-,326.00,f,1.06,82.49,5.15,345.00,18.4,,
34.344,31.938,-,-,AKT,AMCB Fund No 2,42.48,-,-,33.00,-,312.00,f,.70,34.71,7.34,218.00,19.5,,
.70,.595,.69,.69,AMH,AMCIL,.69,-,1656,.685,.69,2.00,,2.22,.80,2.90,4.45,15.5,,
.395,.265,.38,.37,AMM,Amcom Telco,.37,-.5,3588,.37,.375,1.60,f,1.70,.16,4.32,2.72,13.6,,
7.43,5.79,7.34,7.26,AMC,Amcor,7.27,-,59903,7.26,7.29,34.00,,.76,1.48,4.68,25.70,28.3,,
.97,.675,.81,.80,AGF,AMP Capital China unt,.80,-1,2896,.795,.81,2.59,,.62,1.05,3.24,1.60,50.0,,
6.56,4.85,5.75,5.65,AMP,AMP,5.69,-1,101253,5.68,5.71,30.00,p,1.26,.98,5.27,37.90,15.0,,
.25,.085,.09,.09,ANQ,AnaeCo,.09,-1,60,.085,.105,-,,-,-.02,-,-5.20,-,,
.004,.001,-,-,ANQOA,  opt may12,.001,-,-,-,-,-,,-,-,-,-,-,,
.05,.019,-,-,ALT,Analytica,.03,-,-,.031,.035,-,,-,-,-,-.29,-,,
.31,.003,-,-,AEK,Anatolia Energy,.20,-,-,.17,.20,-,,-,.04,-,-.13,-,,
.038,.004,.007,.006,AYG,Anittel Grp,.006,-.1,46337,.006,.007,-,,-,-.01,-,-1.08,-,,
14.51,11.68,14.32,14.04,ANN,Ansell,14.20,+18,2424,14.02,14.35,31.50,,2.93,2.29,2.22,92.40,15.4,,
.045,.026,-,-,ANO,Antaria,.027,-,-,.022,.03,-,,-,.01,-,-5.22,-,,
.105,.035,.074,.07,ADO,Anteo Diagnostics,.072,-,28283,.071,.072,-,,-,-,-,-.42,-,,
.021,.007,.018,.016,ANP,Antisense Therapeutic,.017,-.1,224556,.016,.017,-,,-,-,-,-.26,-,,
.011,.002,.009,.008,ANPO,  opt jul12,.009,-,9400,.007,.009,-,,-,-,-,-,-,,
26.23,19.95,24.32,24.04,ANZ,ANZ Banking Grp,24.32,+21,70050,24.30,24.32,126.00,f,1.42,10.38,5.18,178.90,13.6,,
13.19,11.40,12.05,11.70,APE,AP Eagers,12.00,-,37,11.62,12.00,64.00,f,1.65,7.76,5.33,105.30,11.4,,
.034,.012,-,-,APP,APA Fin Services,.022,-,-,.012,.025,-,,-,.01,-,.16,13.7,,
4.29,3.35,4.22,4.09,APA,APA Grp stp,4.19,+2,18411,4.12,4.22,33.50,,.59,1.34,8.00,19.60,21.4,,
.05,.012,.013,.012,AEZ,APN European Ret stp,.013,+.1,874,.013,.014,-,,-,-,-,-13.43,-,,
2.54,1.455,1.59,1.56,APN,APN News & Media,1.565,-1.5,26698,1.55,1.57,12.00,p,1.30,-.65,7.67,15.60,10.0,,
.34,.165,.20,.20,APD,APN Prop Grp,.20,+1,688,.19,.21,1.25,f,-,.20,6.25,-10.21,-,,
.022,.007,.011,.009,AOP,Apollo Cons,.009,-.2,28500,.009,.011,-,,-,-,-,-.16,-,,
.02,.008,-,-,APB,Arafura Pearls,.01,-,-,-,-,-,,-,.02,-,-1.00,-,,
.001,.001,-,-,APBO,  opt may12,.001,-,-,-,-,-,,-,-,-,-,-,,
8.49,5.41,8.38,8.33,ARP,ARB Corp,8.36,-2,919,8.28,8.36,22.00,f,2.22,1.47,2.63,48.75,17.1,,
1.585,.92,1.53,1.495,AAD,Ardent Leisure Grp stp,1.52,-,6900,1.47,1.52,10.75,,.95,.95,7.07,10.20,14.9,,
6.60,5.51,6.25,6.14,ARG,Argo Invest,6.25,+10,1808,6.17,6.25,26.00,f,1.03,6.30,4.16,26.70,23.4,,
.33,.23,-,-,ARA,Ariadne Aust,.315,-,-,.305,.315,2.00,,1.58,.33,6.35,3.15,10.0,,
4.54,2.52,3.00,2.92,ALL,Aristocrat Leisure,2.99,+3,30922,2.94,3.00,5.00,,2.90,.14,1.67,14.50,20.6,,
.015,.007,.013,.012,AEM,Artist & Entertain,.013,-.1,88487,.012,.013,-,,-,-,-,-.24,-,,
.185,.04,.043,.043,AKW,Arturus Capital,.043,+.3,6,.043,.045,-,,-,.01,-,-22.00,-,,
.39,.24,.39,.39,APH,Ascent Pharmahealth,.39,+.5,50,.39,.395,-,,-,.09,-,4.80,8.1,,
1.875,1.44,1.695,1.665,AIO,Asciano Grp,1.69,+1,137911,1.665,1.695,1.00,f,-,.13,.59,-33.60,-,,
.18,.085,.09,.09,AFA,ASF Grp,.09,-.3,80,.087,.10,-,,-,.02,-,-1.29,-,,
1.55,.985,1.12,1.03,ASZ,ASG Grp,1.10,+7,11941,1.075,1.10,7.00,f,1.17,-,6.36,8.16,13.5,,
.16,.04,.135,.13,AJJ,Asia Liver Trans,.13,-1,824,.125,.13,.70,,1.46,.01,5.38,1.02,12.7,,
1.10,1.00,-,-,AUF,Asian Masters Fund,1.06,-,-,1.05,1.06,3.50,f,-,.97,3.30,-.32,-,,
.255,.12,-,-,AKF,ASK Funding,.135,-,-,.135,.15,.36,,2.67,.34,2.67,.96,14.1,,
.56,.42,.455,.44,APZ,Aspen Grp stp,.45,-.5,5490,.45,.46,4.20,,.31,.68,9.33,1.30,34.6,,
.15,.08,-,-,ASP,Aspermont,.10,-,-,.092,.14,-,,-,-.04,-,-.06,-,,
1.42,.77,1.20,1.15,AIR,Astivita Renewables,1.15,-5,230,1.15,1.20,4.00,f,7.17,.56,3.48,28.68,4.0,,
3.49,.28,3.08,2.98,AJA,Astro Japan Prop Grp stp,3.05,+3,1170,3.05,3.06,57.50,,-,5.60,18.85,-155.60,-,,
2.70,1.68,2.70,2.60,ATR,Astron,2.70,+10,65,2.60,2.70,-,,-,2.85,-,2.53,106.7,,
43.89,28.02,33.35,33.01,ASX,ASX,33.08,-4,12266,33.03,33.24,174.20,f,1.10,3.85,5.27,191.20,17.3,,
.153,.078,.12,.115,ACG,Atcor Medical,.12,-,2100,.115,.12,-,,-,.04,-,-1.31,-,,
.125,.08,-,-,ATP,Atlas Southsea Pearl,.12,-,-,.115,.125,-,,-,.14,-,1.82,6.6,,
1.75,1.45,1.615,1.615,AIA,Auckland Airport,1.615,+.5,35,1.615,1.70,6.32,,.34,1.12,3.91,2.18,74.1,,
7.60,.18,7.50,6.30,AKP,Audio Pixels Ltd,6.80,-55,211,6.52,6.84,-,,-,.22,-,1.23,552.8,,
1.24,1.035,-,-,ABW,Aurora SAE ord unt,1.145,-,-,1.135,1.145,9.60,,-,1.13,8.38,-.88,-,,
2.00,.90,1.15,1.15,AFV,Aurora Funds,1.15,-,25,1.15,-,-,,-,-,-,-8.16,-,,
1.25,1.05,1.19,1.19,AIB,Aurora Global Inc Tr unt,1.19,-,84,1.19,1.20,11.00,,1.04,1.21,9.24,11.42,10.4,,
5.40,4.80,5.24,5.24,AUP,Aurora Prop unt,5.24,-2,1,5.24,5.32,44.00,,-,5.42,8.40,-,-,,
1.035,.965,1.02,1.005,AOD,Aurora Sandringham unt,1.005,-1,553,1.005,1.02,6.10,,-,1.01,6.07,-.72,-,,
1.75,1.55,-,-,AQF,Aust Gov Index Fund,1.75,-,-,1.74,-,5.00,f,.84,1.67,2.86,4.18,41.9,,
1.50,1.30,1.44,1.42,AZF,AUS Social Infr Fund unt,1.44,+3,342,1.44,1.50,-,,-,-,-,-,-,,
3.94,1.455,3.62,3.55,ASL,Ausdrill,3.61,-,17154,3.60,3.63,11.50,f,2.23,1.79,3.19,25.67,14.1,,
5.30,1.71,3.24,3.11,AAX,Ausenco,3.18,-3,3010,3.16,3.20,4.50,,-,.43,1.42,-8.80,-,,
1.705,1.22,1.67,1.625,AAC,Aust Agriculture,1.63,-,2209,1.625,1.64,-,,-,2.23,-,.34,479.4,,
.006,.001,-,-,AAK,Aust China Hldgs,.003,-,-,.002,.003,-,,-,.02,-,-.05,-,,
.001,.001,-,-,AAKO,  opt dec13,.001,-,-,-,.001,-,,-,-,-,-,-,,
.868,.429,.82,.80,AEU,Aust Education unt,.80,-,1480,.79,.815,2.82,,1.83,1.34,3.52,5.17,15.5,,
6.72,6.10,6.56,6.56,AYF,Aust Enhanced unt,6.56,+9,2,6.51,6.56,50.00,p,1.02,6.94,7.62,51.00,12.9,,
29.10,18.345,-,-,AEF,Aust Ethical,20.15,-,-,20.30,22.00,95.00,f,.85,7.16,4.71,80.34,25.1,,
5.30,4.52,4.86,4.81,AFI,Aust Foundation,4.85,+4,3116,4.83,4.85,21.00,f,1.01,4.96,4.33,21.17,22.9,,
2.09,1.54,1.95,1.905,AIX,Aust Infrastructure Fd unt,1.92,-.5,19383,1.91,1.92,10.00,p,2.44,2.70,5.21,24.40,7.9,,
1.31,1.015,1.25,1.25,ALF,Aust Leaders Fund,1.25,+.5,95,1.25,1.26,9.00,f,.82,1.46,7.20,7.35,17.0,,
.595,.27,.29,.27,API,Aust Pharmaceutical,.27,-1.5,11529,.27,.29,2.50,f,2.04,.89,9.26,5.10,5.3,,
.57,.335,.46,.46,APK,Aust Power & Gas,.46,+.5,500,.45,.475,-,,-,-,-,-5.42,-,,
7.78,6.37,6.95,6.95,AUI,Aust United Invest,6.95,+5,6,6.90,6.95,26.00,f,1.22,7.48,3.74,31.80,21.9,,
.465,.195,.32,.31,AVG,Aust Vintage,.32,-,333,.315,.32,-,,-,1.02,-,3.90,8.2,,
3.58,1.935,3.18,3.11,ASB,Austal,3.17,-,2053,3.15,3.18,6.00,,3.25,1.43,1.89,19.52,16.2,,
1.46,.835,1.325,1.295,AUN,Austar United,1.32,+2,10472,1.32,1.33,-,,-,-.21,-,7.90,16.7,,
6.55,4.54,6.20,6.06,AUB,Austbrokers Hldgs,6.07,-10,69,6.07,6.20,23.50,f,1.60,1.20,3.87,37.50,16.2,,
2.14,1.49,2.10,2.09,AEO,Austereo Grp,2.09,-,768,2.09,2.10,10.70,f,1.35,-.53,5.12,14.46,14.5,,
5.08,2.55,4.95,4.85,ANG,Austin Engineer,4.92,-7,476,4.90,4.94,10.50,f,2.97,.37,2.13,31.19,15.8,,
.25,.10,.15,.15,ACK,Austock Grp,.15,-,506,.15,.16,-,,-,.19,-,-.90,-,,
1.00,.58,-,-,AYX,Austofix Grp,.58,-,-,.15,.55,-,,-,.13,-,-9.50,-,,
