Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4414.3 at 16:36 19/5/2010  Report at 19:05 Wednesday 19/5/2010. Processed 19:15 Wednesday 19/5/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.05,2.50,3.05,3.00,ONT,1300 Smiles Ltd,3.00,,167,2.92,3.10,12.5,f,1.54,0.08,4.17,19.23,15.6,
0.18,0.095,-,-,TQH,3Q Hldgs Ltd,0.10,,-,0.06,0.13,-,,-,-0.08,-,3.28,3.0,
0.06,0.015,-,-,FCS,4C Sec Solution,0.045,,-,0.03,0.044,-,,-,0.01,-,-2.77,-,
0.275,0.20,-,-,AAY,Aacl Hldgs Ltd,0.20,,-,0.15,0.20,-,,-,-,-,-,-,
0.48,0.31,0.40,0.39,ABP,Abacus Prop stp,0.39,-0.5,28281,0.39,0.395,5.75,,-,0.60,14.74,-2.32,-,
1.47,1.155,1.33,1.32,ALR,Aberdeen Leaders,1.32,-1,103,1.31,1.32,9,f,0.85,1.38,6.82,7.67,17.2,
2.60,1.02,1.93,1.85,ACR,Acrux Ltd,1.875,-5.5,2258,1.835,1.88,-,,-,0.06,-,-2.84,-,
0.10,0.027,-,-,ACW,Actinogen Ltd,0.035,,-,0.028,0.04,-,,-,0.04,-,-1.88,-,
0.003,0.001,-,-,ACWO,  opt aug12,0.001,,-,-,-,-,,-,-,-,-,-,
0.035,0.006,0.006,0.006,ACU,Acuvax Ltd,0.006,,4018,0.006,0.007,-,,-,-,-,-0.37,-,
0.84,0.32,-,-,ADA,Adacel Tech,0.385,,-,0.37,0.415,-,,-,0.21,-,2.7,14.3,
0.305,0.18,0.185,0.18,AAU,Adcorp Aust,0.18,,578,0.175,0.21,1,,-,0.07,5.56,-2.18,-,
3.01,2.03,2.74,2.68,ABC,Adelaide Brighton,2.71,-4,15422,2.68,2.72,13.5,f,1.51,1.21,4.98,20.4,13.3,
