Industrial Market - Daily,,,,,,,,,,,,,,,,,
XAO 4673.9 at 16:34 18/2/2010  Report at 19:05 Thursday 18/2/2010. Processed 19:42 Thursday 18/2/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.50,0.235,-,-,ALU,Altium Ltd,0.275,,-,0.24,0.275,2,,-,0.12,7.27,-0.47,-
0.078,0.017,0.065,0.062,AMA,AMA Grp Ltd,0.065,0.5,6468,0.065,0.07,-,,-,-0.23,-,-43.5,-
6.24,3.598,6.11,6.02,AHD,Amalgamated Hldgs,6.09,1,346,6.06,6.10,32,f,1.67,4.48,5.25,53.5,11.4
0.57,0.34,-,-,AMO,Ambertech Ltd,0.50,,-,0.47,0.53,3.5,f,1.69,0.57,7.00,5.9,8.5
0.40,0.096,0.40,0.40,AMB,Ambition Grp Ltd,0.40,,80,0.40,0.46,-,,-,0.13,-,-52.3,-
0.72,0.43,0.66,0.65,AMH,Amcil Ltd,0.65,,1616,0.65,0.675,2,,-,0.74,3.08,-1.14,-
0.345,0.105,0.295,0.29,AMM,Amcom Telecomm,0.29,-0.5,1339,0.29,0.295,0.8,f,2.81,0.18,2.76,2.25,12.9
6.35,3.50,6.14,5.93,AMC,Amcor Ltd,5.96,1,53386,5.95,5.96,34,,0.74,1.61,5.70,25.3,23.6
3.00,1.30,2.61,2.56,AEC,Ammtec Ltd,2.61,7,236,2.57,2.64,16.5,f,1.18,1.05,6.32,19.39,13.5
1.265,0.73,0.915,0.91,AGF,AMP Capital China unt,0.915,0.5,1164,0.91,0.915,3.9,,1.12,1.33,4.26,4.35,21.0
6.97,3.52,6.28,6.15,AMP,AMP Ltd,6.16,-11,119560,6.15,6.17,30,p,0.99,0.67,4.87,29.6,20.8
0.39,0.175,0.235,0.21,ANQ,Anaeco Ltd,0.21,-2,345,0.215,0.23,-,,-,0.02,-,-5.6,-
0.023,0.001,-,-,ANQO,  opt may10,0.001,,-,-,-,-,,-,-,-,-,-
0.016,0.001,-,-,ANQOA,  opt may12,0.001,,-,-,-,-,,-,-,-,-,-
0.083,0.019,0.035,0.034,ALT,Analytica Ltd,0.034,,1701,0.035,0.039,-,,-,-,-,-0.6,-
11.18,7.51,11.05,10.93,ANN,Ansell Ltd,11.00,,9814,10.96,11.02,29,,2.82,1.92,2.64,81.7,13.5
0.065,0.029,-,-,ANO,Antaria Ltd,0.042,,-,0.039,0.04,-,,-,0.03,-,0.77,5.5
0.105,0.004,0.059,0.055,ADO,Anteo Diagnostics,0.056,-0.1,249423,0.055,0.056,-,,-,0.01,-,-1.1,-
0.07,0.001,0.043,0.04,ADOO,  opt sep10,0.041,,15450,0.039,0.043,-,,-,-,-,-,-
0.025,0.018,-,-,ADOOA,  opt feb11,0.025,,-,0.005,0.044,-,,-,-,-,-,-
0.20,0.029,0.051,0.05,ANP,Antisense Therapeutic,0.05,-0.1,9290,0.05,0.051,-,,-,-,-,-0.55,-
25.25,12.06,22.33,21.91,ANZ,ANZ Banking Grp,22.05,-2,89216,22.02,22.05,102,f,1.67,10.72,4.63,170.4,12.9
13.00,4.45,12.65,12.65,APE,AP Eagers Ltd,12.65,6,1,12.65,12.90,44,f,0.82,8.41,3.48,36.1,35.0
0.028,0.009,-,-,APP,APA Financial,0.016,,-,0.017,0.022,-,,-,-,-,-3.7,-
3.68,2.50,3.27,3.22,APA,APA Grp stpld,3.24,3,7868,3.24,3.28,31,,0.52,1.18,9.57,16.2,20.0
0.115,0.014,0.06,0.057,AEZ,APN European Retail stpld,0.057,-0.1,6348,0.057,0.058,-,,-,0.33,-,-56.84,-
2.61,0.866,2.32,2.28,APN,APN News & Media,2.30,1,12406,2.27,2.34,12,,-,-1.23,5.22,-13.1,-
0.41,0.09,0.315,0.315,APD,APN Prop Grp,0.315,1.5,500,0.31,0.33,-,,-,0.20,-,-18.08,-
0.04,0.008,0.009,0.009,AOP,Apollo Cons,0.009,,2300,0.008,0.009,-,,-,-,-,-0.91,-
0.018,0.008,0.013,0.013,AQL,Aquacarotene Ltd,0.013,,469,0.012,0.015,-,,-,-,-,-0.35,-
0.058,0.025,0.029,0.029,APB,Arafura Pearls,0.029,-0.1,322,0.027,0.029,-,,-,0.22,-,2,1.5
5.48,2.368,5.46,5.41,ARP,ARB Corp,5.42,2,706,5.41,5.49,17.5,f,2.31,1.22,3.23,40.44,13.4
1.845,0.79,1.675,1.54,AAD,Ardent Leisure Grp stp,1.56,-7,11738,1.535,1.57,14.3,,-,1.18,9.17,-0.32,-
7.05,4.52,6.58,6.50,ARG,Argo Invest,6.58,3,1283,6.55,6.58,25,f,-,6.56,3.80,-11.1,-
