Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4503.9 at 16:42 18/8/2010  Report at 19:05 Wednesday 18/8/2010. Processed 19:15 Wednesday 18/8/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.30,2.61,-,-,ONT,1300 Smiles Ltd,3.20,,-,-,-,12.5,f,1.54,0.08,3.91,19.23,16.6,
0.18,0.08,0.10,0.08,TQH,3Q Hldgs Ltd,0.10,-1,50,0.04,0.10,-,,-,-0.08,-,3.28,3.0,
0.05,0.015,0.03,0.03,FCS,4C Sec Solution,0.03,,150,0.023,0.034,-,,-,0.01,-,-2.77,-,
0.275,0.05,0.056,0.05,AAY,Aacl Hldgs Ltd,0.05,-0.5,2100,0.05,0.07,-,,-,-,-,-,-,
0.48,0.33,0.41,0.405,ABP,Abacus Prop stp,0.405,,32679,0.405,0.41,3.9,,-,0.60,9.63,-2.32,-,
1.47,1.20,1.245,1.235,ALR,Aberdeen Leaders,1.235,,21,1.235,1.245,9.5,f,0.81,1.31,7.69,7.67,16.1,
2.60,1.205,2.00,1.915,ACR,Acrux Ltd,2.00,1,976,1.96,2.00,-,,-,0.06,-,-2.84,-,
0.11,0.027,-,-,ACW,Actinogen Ltd,0.085,,-,-,-,-,,-,0.04,-,-1.88,-,
0.003,0.001,-,-,ACWO,  opt aug12,0.001,,-,0.001,0.02,-,,-,-,-,-,-,
0.033,0.002,-,-,ACU,Acuvax Ltd,0.003,,-,-,-,-,,-,-,-,-0.37,-,
0.84,0.30,0.33,0.33,ADA,Adacel Tech,0.33,1,98,0.33,0.345,-,,-,0.21,-,2.7,12.2,
0.305,0.145,0.195,0.195,AAU,Adcorp Aust,0.195,0.5,145,0.185,0.195,-,,-,0.07,-,-2.18,-,
3.35,2.31,3.32,3.26,ABC,Adelaide Brighton,3.31,6,30402,3.30,3.32,13.5,f,1.51,1.21,4.08,20.4,16.2,
1.45,1.144,1.445,1.44,AYT,Adelaide Managed unt,1.445,1,267,1.445,1.47,15.35,,0.14,1.63,10.62,2.11,68.5,
0.118,0.052,-,-,ADQ,ADG Global Supply,0.062,,-,0.05,0.071,-,,-,0.02,-,-11.08,-,
0.013,0.008,-,-,ADQO,  opt mar11,0.008,,-,-,-,-,,-,-,-,-,-,
0.016,0.002,0.003,0.003,ADL,Admerex Ltd,0.003,,10000,0.003,0.004,-,,-,-,-,-0.4,-,
4.18,2.45,-,-,ADG,Adtrans Grp,4.09,,-,4.10,4.11,20,f,1.86,2.44,4.89,37.1,11.0,
0.019,0.005,0.017,0.015,ASC,Adultshop Com,0.015,-0.2,46361,0.014,0.015,-,,-,0.02,-,-0.19,-,
0.008,0.002,-,-,ASCO,  opt dec11,0.007,,-,-,-,-,,-,-,-,-,-,
0.038,0.016,0.021,0.02,ABV,Adv Braking Tech,0.02,-0.2,2300,0.02,0.021,-,,-,-,-,-0.32,-,
0.64,0.33,-,-,AMT,Adv Surg Dsgn & Mnft,0.50,,-,-,-,-,,-,0.22,-,-0.1,-,
0.125,0.033,0.049,0.049,AES,Advanced Energy,0.049,0.6,200,0.045,0.11,-,,-,0.01,-,-0.09,-,
0.093,0.031,-,-,ACE,Advanced Engine,0.037,,-,-,-,-,,-,-0.05,-,-2.58,-,
0.07,0.03,0.054,0.054,ANM,Advanced Magnesium,0.054,,1304,0.054,0.055,-,,-,0.02,-,-2.64,-,
0.75,0.235,0.75,0.74,ASW,Advanced Share,0.75,,282,0.73,0.75,3.6,f,1.00,0.11,4.80,3.61,20.8,
