ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, February 11, 2011,,,,,,,,,,,,,,,,,,,,
"XAO 4970.6 at 2011-02-11T16:36:29. Report at Friday, February 11, 2011. Processed Saturday at 2011-02-12T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,4.300,.082,.071,.081,.15,25.3,21.00,18.1,13.70,1.53,3.61,f,1300 Smiles,,3.80,-,3.80,3.85,3.85,3.80,-.24,4.25,2.68,,
TQH,-,.137,.547,.013,-.07,-,.84,9.3,-,-,-,,3Q Hldgs,,.078,-,.08,-,.078,.078,-.24,.17,.061,,
FCS,172.666,.315,1.518,.005,.10,.4,-.58,-,-,-,-,,4C Sec Solution,,.035,-.2,.035,.044,.037,.035,-5.64,.048,.015,,
AAY,20.000,.130,-,.004,-,-,-,-,-,-,-,,AACL Hldgs,,.076,-.6,.076,.08,.082,.076,-7.55,.275,.03,,
AAQ,19699.5,19.700,-,.008,.16,.1,-5.06,-,-,-,-,,AAQ Hldgs,†,.018,-70.7,.017,.018,.725,.015,-97.75,.725,.015,,
ABP,2301.20,22.969,91.394,.841,.58,3.9,1.53,148.4,9.90,.15,4.36,,Abacus Prop,†,2.27,-1,2.25,2.28,2.29,2.22,-.68,2.37,1.825,,
ALR,187.644,.807,.825,.079,1.38,.9,10.29,12.6,9.50,1.08,7.31,f,Aberdeen Leaders,,1.30,-2,1.30,1.35,1.345,1.30,-1.75,1.47,1.21,,
AKG,-,.006,.057,.021,.15,3.3,4.95,10.1,4.00,1.24,8.00,f,Academies A'asia,,.50,-2,.36,.56,.50,.48,-4.24,.56,.365,,
ACR,1040.35,6.795,5.250,.586,-,-,29.08,12.1,-,-,-,,Acrux,,3.53,-1,3.53,3.55,3.57,3.50,-.52,3.67,1.72,,
ACW,15.000,.724,.213,.004,.03,2.8,-1.85,-,-,-,-,,Actinogen,,.085,+2.5,.075,.083,.085,.065,+41.43,.105,.023,,
ACWO,-,-,.006,-,-,-,-,-,-,-,-,,  opt aug12,,.01,-,.002,.01,.01,.01,-.24,.014,.001,,
ACWOA,63.950,.142,-,-,-,-,-,-,-,-,-,,  opt sep15,,.015,-,.015,-,.015,.015,-.24,.015,.01,,
ACU,59947.9,323.731,2.113,.006,-,-,-.34,-,-,-,-,,Acuvax,,.003,-,.003,.004,.003,.003,-.24,.009,.001,,
ADA,-,.255,.616,.026,.19,1.7,-3.50,-,-,-,-,,Adacel Tech,,.32,-,.285,.32,.32,.32,-.24,.69,.28,,
AAU,163.093,10.337,.609,.014,.08,2.9,-11.03,-,-,-,-,,Adcorp Aust,,.23,-,.23,.24,.23,.23,-.24,.23,.145,,
ABN,26400.0,62.458,-,.010,-,-,.04,5.0,-,-,-,,AdEffective,,.002,-,.001,.002,.002,.001,-.24,.003,.001,,
ABC,11071.1,48.405,38.287,2.166,1.16,2.9,23.60,14.4,15.50,1.52,4.55,f,Adelaide Brighton,,3.41,-3,3.41,3.44,3.54,3.37,-1.11,3.72,2.293,,
AYT,1537.94,2.703,.956,.024,.29,.9,2.11,12.3,11.60,.18,44.62,,Adelaide Mgd,,.26,-.5,.26,.265,.27,.26,-2.12,.32,.158,,
ADQ,854.349,1.220,.290,.013,.01,7.1,-1.09,-,-,-,-,,ADG Global Supply,,.071,-.9,.07,.071,.08,.07,-11.49,.082,.05,,
ADQO,-,-,-,-,-,-,-,-,-,-,-,,  opt mar11,,.008,-,-,.003,.008,.008,-.24,.013,.008,,
ABV,1820.58,17.678,6.128,.031,-,-,-.16,-,-,-,-,,Adv Braking Tech,,.032,-.1,.03,.031,.032,.03,-3.27,.038,.014,,
AMT,-,.016,.027,.010,.16,1.8,-1.31,-,-,-,-,,Adv Surg Dsgn & Mnft,,.28,-,.29,.35,.28,.28,-.24,.54,.28,,
AES,-,.065,.096,.018,.01,4.0,-.10,-,-,-,-,,Advanced Energy,,.04,-,.03,.056,.04,.04,-.24,.125,.035,,
ACE,784.321,1.376,2.951,.005,-.03,-,-2.30,-,-,-,-,,Advanced Engine,,.023,-.1,.023,.024,.025,.02,-4.40,.06,.02,,
ANM,264.189,2.248,1.567,.011,.03,1.3,-1.66,-,-,-,-,,Advanced Magnesium,,.04,-.4,.04,.044,.044,.04,-9.33,.062,.039,,
ASW,138.600,.906,1.401,.044,.11,9.5,3.61,28.9,3.70,.98,3.54,f,Advanced Share Reg,,1.045,+10.5,.995,1.05,1.045,.92,+10.93,1.20,.375,,
AEI,176.900,.550,.381,.020,.01,20.0,-1.93,-,-,-,-,,Aeris Environmental,,.20,-2,.19,.25,.21,.20,-9.33,.39,.055,,
AFT,78502.6,155.521,382.027,.006,-,-,-,-,-,-,-,,AFT Corp,,.001,-,.001,.002,.001,.001,-.24,.002,.001,,
