ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, November 15, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 5396.2 at 2013-11-15T16:52:06. Report at Friday, November 15, 2013. Processed Saturday at 2013-11-16T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,18.837,2.401,2.469,.156,.62,10.65,26.90,24.5,18.50,1.45,2.80,f,1300 Smiles,,6.60,+5,6.52,6.60,6.60,6.51,+.73,7.25,5.00,,
TIX,403.133,93.184,-,.195,.02,103.50,24.80,8.3,18.15,1.37,8.77,,360 Cap Indust Fund,†,2.07,-1,2.07,2.09,2.09,2.06,-.51,2.26,1.423,,
TGP,3449.51,67.281,5.840,.180,.58,1.25,-7.40,-,6.25,-,8.62,,360 Capital Grp,†,.725,-.5,.725,.73,.73,.70,-.72,.79,.465,,
NNW,843.538,21.680,-,.029,-,-,-,-,-,-,-,,99 Wuxian,,.425,+3,.42,.425,.40,.37,+8.07,.60,.35,,
AYI,-,53.255,32.488,-,-,-,-.66,-,-,-,-,,A1 Invest & Res,,.002,-,.001,.002,.002,.002,-.03,.006,.001,,
AAY,-,5.679,7.914,.001,.01,.90,3.98,.2,-,-,-,,AACL Hldgs,,.009,-,.011,.012,.009,.009,-.03,.03,.003,,
ABP,3638.64,118.015,174.767,1.114,2.32,.97,13.68,16.4,16.50,.83,7.33,,Abacus Prop,,2.25,-4,2.24,2.27,2.315,2.25,-1.78,2.51,2.02,,
ALR,59.915,8.214,8.428,.081,1.22,1.08,2.97,44.4,9.50,.31,7.20,f,Aberdeen Leaders,,1.32,-3,1.32,1.345,1.35,1.32,-2.26,1.365,1.04,,
AKG,196.003,7.082,.086,.059,.10,11.00,6.80,16.2,5.00,1.36,4.55,f,Academies A'asia,,1.10,+7,1.055,1.10,1.07,1.00,+6.97,1.07,.55,,
ACR,4013.51,151.662,227.393,.440,.14,18.86,4.16,63.5,8.00,.52,3.03,,Acrux,,2.64,+2,2.63,2.64,2.75,2.54,+.73,4.12,2.54,,
ACW,-,4.120,4.703,.002,-,-,-.18,-,-,-,-,,Actinogen,,.02,-,.012,.02,.02,.02,-.03,.024,.005,,
ACWOA,-,.493,.453,-,-,-,-,-,-,-,-,,  opt sep15,,.001,-,-,.01,.001,.001,-.03,.001,.001,,
ADA,89.620,1.718,1.487,.041,.13,3.96,1.00,51.5,-,-,-,,Adacel Tech,,.515,+1.5,.51,.515,.515,.47,+2.97,.57,.241,,
AAU,148.200,7.873,4.609,.004,.02,3.40,-11.20,-,.75,-,11.03,,Adcorp Aust,,.068,-.2,.068,.08,.07,.068,-2.89,.15,.065,,
ABN,4559.26,222.392,43.512,.005,-,-,.02,100.0,-,-,-,,AdEffective,,.02,-.2,.02,.021,.024,.017,-9.12,.039,.007,,
ABNO,2000.00,118.373,68.083,.001,-,-,-,-,-,-,-,,  opt jun14,,.007,-.4,.005,.01,.011,.006,-36.40,.02,.002,,
ABC,5222.31,408.044,366.352,2.439,1.30,2.94,23.20,16.5,16.50,1.41,4.32,f,Adelaide Brighton,,3.82,+2,3.78,3.84,3.85,3.675,+.49,3.86,3.01,,
