ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Thursday, December 24, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5256.1 at 2015-12-24T15:05:05. Report at Thursday, December 24, 2015. Processed Saturday at 2015-12-26T23:15:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,41.404,1.177,2.247,.174,.45,16.33,27.80,26.4,19.20,1.45,2.61,f,1300 Smiles,,7.35,-15,7.35,7.48,7.35,6.90,-3.93,8.47,5.92,,
1ST,158.000,25.921,-,.006,-,-,-,-,-,-,-,,1ST Available,,.09,-.4,.089,.093,.093,.09,-6.19,.22,.08,,
TIX,1099.03,75.100,34.062,.534,2.34,1.08,35.50,7.1,21.88,1.62,8.68,,360 Capital Indust,,2.52,+2,2.50,2.52,2.53,2.47,-1.13,2.79,2.29,,
TGP,420.001,69.898,45.335,.248,.71,1.41,10.60,9.4,6.08,1.74,6.08,,360 Capital Grp,,1.00,-1,.98,1.09,1.01,.98,-2.92,1.41,.912,,
TOF,73.355,24.139,33.545,.151,2.14,.96,16.40,12.6,17.00,.96,8.25,,360 Capital Office,,2.06,+2,2.05,2.08,2.09,2.04,-.95,2.24,1.95,,
TOT,40.326,8.806,-,.043,-,-,-10.50,-,7.12,-,6.36,,360 Capital Total Re,,1.12,+8,1.095,1.12,1.12,1.04,+5.76,1.35,1.00,,
3DM,3391.06,416.494,860.444,.025,.01,6.80,-3.60,-,-,-,-,,3D Medical,,.068,+.1,.068,.069,.074,.067,-.44,.195,.005,,
3PL,954.545,73.328,29.957,.274,.12,16.67,3.04,65.8,1.80,1.69,.90,f,3P Learning,,2.00,-,1.98,2.05,2.05,1.965,-1.93,2.85,1.70,,
8CO,-,3.609,4.204,.003,-,-,-.02,-,-,-,-,,8common,,.20,-,.17,.20,.20,.20,-1.93,.25,.145,,
8IH,859.543,25.042,5.011,.479,.12,11.17,4.21,31.8,1.48,2.84,1.10,,8I Hldgs,,1.34,+20,1.31,1.40,1.38,1.14,+15.61,1.38,.29,,
8EC,29.166,.340,-,.032,-,-,-,-,-,-,-,,8IP Emerging,,.96,-3.5,.965,.99,.995,.96,-5.45,1.04,.96,,
8ECO,20.000,.170,-,-,-,-,-,-,-,-,-,,  opt dec16,,.025,+.9,.025,.04,.025,.025,+54.32,.04,.016,,
NNW,1521.84,50.784,83.704,.134,.04,3.13,.06,208.3,-,-,-,,99 Wuxian,,.125,+1,.105,.13,.127,.11,+6.76,.415,.105,,
AYI,-,409.342,157.209,.011,-,-,-.05,-,-,-,-,,A1 Invest & Res,,.001,-,-,.001,.001,.001,-1.93,.001,.001,,
ABP,2462.91,188.611,177.014,1.745,2.49,1.27,25.46,12.4,17.00,1.50,5.40,,Abacus Prop,,3.15,+7,3.13,3.15,3.15,3.06,+.34,3.41,2.78,,
ALR,118.291,5.560,7.745,.063,1.15,.90,3.33,30.9,5.00,.67,4.85,f,Aberdeen Leaders,,1.03,+1.5,1.03,1.04,1.035,1.005,-.45,1.24,.97,,
AEG,2006.67,5.608,-,.111,-,-,-,-,-,-,-,,Absolute Equity Perf,,1.225,+3,1.22,1.24,1.25,1.20,+.58,1.25,1.125,,
AKG,15.000,7.862,7.319,.025,-.06,-,.90,36.7,4.50,.20,13.64,f,Academies A'asia,,.33,-,.33,.36,.33,.33,-1.93,1.142,.28,,
ACX,958.136,40.833,3.417,.874,-,-,11.00,47.5,-,-,-,,Aconex,,5.22,+13,5.21,5.50,5.70,5.00,+.62,5.70,1.65,,
ACQ,185.800,20.255,11.299,.043,.98,.87,-5.82,-,-,-,-,,Acorn Capital Invest,,.85,+.5,.85,.855,.88,.85,-1.34,.88,.68,,
ACR,385.956,126.539,401.352,.124,.12,6.21,6.70,11.1,6.00,1.12,8.05,f,Acrux,,.745,+3.5,.745,.75,.75,.71,+3.00,1.645,.565,,
ACW,1779.64,242.008,36.682,.035,.02,2.90,-1.32,-,-,-,-,,Actinogen,,.058,+.3,.056,.058,.058,.049,+3.52,.15,.04,,
ACU,2313.67,170.700,29.543,.012,.03,3.30,-5.04,-,-,-,-,,Activistic,†,.099,+.7,.095,.10,.105,.086,+5.68,.215,.001,,
ADA,445.052,21.450,.943,.167,.15,14.07,5.00,42.2,2.00,2.50,.95,,Adacel Tech,,2.11,+17,2.11,2.14,2.17,1.88,+6.83,2.22,.25,,
ADH,406.320,84.742,-,.413,-,-,-,-,-,-,-,,Adairs,,2.49,-5,2.42,2.59,2.57,2.38,-3.90,2.95,2.14,,
AAU,493.809,4.981,3.252,.005,-.01,-,.22,12.7,-,-,-,,Adcorp Aust,,.028,-,.027,.028,.028,.028,-1.93,.059,.027,,
ABC,4393.17,388.960,452.040,3.024,1.39,3.35,31.70,14.7,17.50,1.81,3.76,f,Adelaide Brighton,,4.66,+18,4.63,4.66,4.66,4.44,+2.09,5.005,3.50,,
ADR,249.000,28.057,-,.069,-,-,-,-,-,-,-,,Adherium,,.65,-,.61,.63,.65,.60,-1.93,.72,.55,,
AHZ,1602.32,871.150,874.269,.139,.19,3.74,-16.50,-,-,-,-,,ADMEDUS,†,.71,-8,.71,.715,.79,.675,-12.06,1.378,.57,,
ADJ,1360.70,234.317,478.961,.091,-,-,-.89,-,-,-,-,,Adslot,,.086,-.4,.087,.089,.09,.086,-6.38,.125,.068,,
ABV,1634.94,229.274,110.373,.012,-,-,-.19,-,-,-,-,,Adv Braking Tech,,.007,-,.007,.008,.007,.007,-1.93,.013,.003,,
ABVO,-,10.874,8.520,-,-,-,-,-,-,-,-,,  opt aug16,,.003,-,-,.003,.003,.003,-1.93,.005,.002,,
ASW,3.500,1.271,1.189,.029,.15,4.53,3.50,19.4,3.70,.95,5.44,f,Advanced Share Reg,,.68,+3.5,.645,.68,.68,.645,+3.49,.75,.579,,
AER,-,6.349,-,.004,-,-,-,-,-,-,-,,Aeeris,,.135,-,.135,.15,.135,.135,-1.93,.25,.125,,
AEI,70.000,25.706,4.522,.068,.04,11.25,-1.55,-,-,-,-,,Aeris Environmental,,.45,-,.435,.48,.48,.45,-1.93,.60,.215,,
AFT,1235.05,8.035,8.021,.009,-,-,-.02,-,-,-,-,,AFT Corp,,.001,-,-,.001,.001,.001,-1.93,.001,.001,,
AHA,-,75.343,26.278,.001,.01,.40,-.36,-,-,-,-,,AG Financial,,.004,-,.003,.004,.004,.004,-1.93,.04,.003,,
AGX,-,28.986,56.880,.003,.01,1.60,-.80,-,-,-,-,,Agenix,,.016,-,.015,.021,.016,.016,-1.93,.022,.009,,
AGL,4506.02,460.479,398.863,11.814,8.22,2.13,33.30,52.6,64.00,.52,3.66,f,AGL Energy,,17.51,+4,17.50,17.60,17.67,17.07,-1.70,17.67,13.12,,
AGJ,8.000,2.626,2.320,.007,.10,.75,3.67,2.0,.52,7.06,6.93,,Agricultural Land,,.075,-,.075,.085,.075,.075,-1.93,.10,.075,,
AHL,462.925,75.953,57.415,.081,-,-,-.70,-,-,-,-,,Ahalife Hldgs,†,.585,+1,.565,.585,.60,.56,-.19,.66,.018,,
