ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Thursday, April 5, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4402.3 at 2012-04-05T16:35:50. Report at Thursday, April 5, 2012. Processed Saturday at 2012-04-07T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ACWO,6.000,.006,-,-,-,-,-,-,-,-,-,,  opt aug12,,.001,-,.001,.001,.001,.001,+.40,.01,.001,,
ACWOA,-,.248,.142,-,-,-,-,-,-,-,-,,  opt sep15,,.002,-,.001,-,.002,.002,+.40,.015,.001,,
ACU,410.000,52.928,578.110,.002,-,-,-.03,-,-,-,-,,Acuvax,,.001,-,.001,.002,.001,.001,+.40,.003,.001,,
ADA,38.200,.545,.860,.029,.13,2.8,.80,45.0,-,-,-,,Adacel Tech,,.36,+1,.35,.365,.36,.35,+3.26,.36,.18,,
AAU,85.012,1.501,10.899,.011,.07,2.6,2.31,7.8,2.00,1.16,11.11,f,Adcorp Aust,,.18,-,.18,.19,.18,.17,+.40,.20,.125,,
ABN,1340.22,3.237,160.411,.001,-,-,-,-,-,-,-,,AdEffective,†,.013,-.2,.011,.013,.015,.013,-12.93,.044,.001,,
ABC,8377.28,111.287,123.253,1.826,1.22,2.4,23.30,12.3,16.50,1.41,5.75,f,Adelaide Brighton,,2.87,-3,2.86,2.89,3.04,2.85,-.63,3.39,2.22,,
ADQ,251.672,4.560,3.498,.017,.04,2.0,.65,12.0,-,-,-,,ADG Global Supply,,.078,+.8,.072,.08,.078,.075,+11.83,.09,.05,,
ABV,805.000,27.342,32.967,.021,.01,2.2,-.02,-,-,-,-,,Adv Braking Tech,,.022,-.1,.021,.023,.023,.02,-3.95,.029,.016,,
AMT,-,.060,.143,.008,.10,2.4,-6.28,-,-,-,-,,Adv Surg Dsgn & Mnft,,.24,-,-,-,.24,.24,+.40,.30,.15,,
