ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, March 21, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5354.0 at 2014-03-21T16:43:06. Report at Friday, March 21, 2014. Processed Saturday at 2014-03-22T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AAI,-,.009,1.204,11.691,-,-,-239.16,-,10.52,-,.78,,Alcoa Inc,,13.50,-,9.00,15.50,13.50,13.50,-.13,13.70,7.50,,
LEP,188.903,5.296,10.608,.575,1.96,1.50,24.62,11.9,16.20,1.52,5.51,,ALE Prop Grp,,2.94,+10,2.90,2.95,2.94,2.84,+3.39,2.98,2.42,,
AJX,1464.18,16.433,7.834,.028,-.02,-,-2.08,-,-,-,-,,Alexium Int'l,,.14,-1.5,.135,.14,.155,.135,-9.81,.19,.068,,
AEB,1130.00,8.342,6.598,.036,-,-,-1.36,-,-,-,-,,Algae.Tec,,.125,-1.5,.12,.125,.145,.12,-10.84,.27,.10,,
AQZ,164.812,7.955,3.545,.137,1.37,.95,18.33,7.1,9.20,1.99,7.08,f,Alliance Aviation,,1.30,+7,1.185,1.31,1.31,1.23,+5.56,2.08,1.16,,
ALQ,15395.7,81.034,54.877,2.973,-.07,-,53.73,14.0,46.00,1.17,6.10,p,ALS,,7.54,+47,7.24,7.68,7.61,7.05,+6.52,10.823,7.05,,
AIQ,8.000,1.629,4.749,.022,.26,.65,4.94,3.4,-,-,-,,Alternative Invest,,.17,-,.17,.18,.17,.17,-.13,.175,.045,,
ALU,6081.40,14.324,9.582,.278,.03,82.00,8.87,27.7,12.00,.74,4.88,,Altium,,2.46,+10,2.32,2.47,2.46,2.30,+4.11,2.90,1.05,,
AMA,1635.93,39.582,22.503,.084,.03,8.33,1.83,13.7,1.60,1.14,6.40,p,AMA Grp,,.25,+1,.245,.25,.25,.24,+4.04,.39,.23,,
AHD,91.962,1.527,3.769,1.359,5.17,1.67,53.70,16.0,42.00,1.28,4.88,f,Amalgamated Hldgs,,8.61,+1,8.51,8.69,8.61,8.40,-.01,8.92,7.45,,
AMO,-,.110,.130,.006,.37,.54,-7.00,-,-,-,-,,Ambertech,,.20,-,.16,.22,.20,.20,-.13,.26,.18,,
AMB,-,.299,2.268,.011,.17,.94,-2.14,-,-,-,-,,Ambition Grp,,.16,-,.16,.20,.16,.16,-.13,.20,.15,,
AKY,.304,.004,.007,.058,80.61,.91,379.00,19.4,374.00,1.01,5.08,f,AMCB Fund No 5,,73.66,+45,73.66,81.03,73.66,73.21,+.49,74.11,72.717,,
AMH,152.213,4.207,6.569,.208,.91,1.00,3.18,28.6,3.00,1.06,3.30,,AMCIL,,.91,-1.5,.91,.925,.92,.90,-1.75,1.019,.800,,
AMM,2151.62,23.691,45.452,.499,.30,6.80,8.94,22.8,5.70,1.57,2.79,f,Amcom Telco,,2.04,-2,2.01,2.06,2.09,2.00,-1.10,2.20,1.50,,
AMC,34555.5,240.912,217.792,12.658,-.09,-,43.20,24.3,40.00,1.08,3.81,,Amcor,,10.49,+27,10.45,10.58,10.59,10.20,+2.51,10.89,8.175,,
