ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, April 8, 2011,,,,,,,,,,,,,,,,,,,,
"XAO 5036.5 at 2011-04-08T16:38:59. Report at Friday, April 8, 2011. Processed Saturday at 2011-04-09T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,2.395,.138,.391,.082,.18,21.3,22.77,16.8,14.70,1.55,3.84,f,1300 Smiles,,3.83,-7,3.86,3.90,3.83,3.82,-3.45,4.25,2.75,,
TQH,.400,.221,.814,.008,-.06,-,1.08,4.8,-,-,-,,3Q Hldgs,,.052,-,.052,.08,.052,.052,-1.65,.11,.052,,
FCS,15.708,.592,2.148,.005,.01,2.8,-.15,-,-,-,-,,4C Sec Solution,,.028,-,.028,.03,.028,.028,-1.65,.048,.016,,
AAY,42.000,.640,-,.002,-,-,-3.00,-,-,-,-,,AACL Hldgs,,.048,-.2,.04,.048,.05,.048,-5.65,.26,.03,,
AAQ,700.000,79.483,-,.007,-,-,-3.24,-,-,-,-,,AAQ Hldgs,†,.016,+.1,.015,.016,.016,.015,+5.01,.725,.013,,
ABP,2867.26,46.122,314.391,.882,2.83,.8,2.91,80.1,9.90,.29,4.25,,Abacus Prop,†,2.33,-2,2.32,2.35,2.39,2.31,-2.50,2.45,1.825,,
ALR,164.099,2.014,1.351,.078,1.38,.9,4.77,26.9,9.50,.50,7.39,f,Aberdeen Leaders,,1.285,-1,1.275,1.285,1.30,1.255,-2.43,1.45,1.21,,
AKG,-,.048,.107,.022,.15,3.4,4.95,10.3,4.00,1.24,7.84,f,Academies A'asia,,.51,-,.40,.53,.51,.51,-1.65,.56,.365,,
ACR,2859.22,30.195,26.641,.537,.77,4.2,65.08,5.0,-,-,-,,Acrux,,3.23,+11,3.19,3.23,3.23,3.07,+1.87,3.23,1.433,,
ACW,5.999,.933,.352,.002,.02,2.5,-2.12,-,-,-,-,,Actinogen,,.05,-,.05,.069,.05,.05,-1.65,.105,.023,,
ACWO,-,-,.008,-,-,-,-,-,-,-,-,,  opt aug12,,.01,-,-,.01,.01,.01,-1.65,.014,.001,,
ACWOA,-,.142,-,-,-,-,-,-,-,-,-,,  opt sep15,,.015,-,.015,-,.015,.015,-1.65,.015,.01,,
ACU,12422.9,582.760,9.522,.006,-,-,-.14,-,-,-,-,,Acuvax,,.003,+.1,.002,.003,.003,.002,+48.35,.007,.001,,
ADA,105.538,.860,1.147,.023,.17,1.6,-2.10,-,-,-,-,,Adacel Tech,,.28,-2,.275,.29,.30,.28,-8.32,.69,.27,,
AAU,62.710,10.951,2.211,.012,.08,2.4,-9.67,-,1.00,-,5.26,f,Adcorp Aust,,.19,-3,.19,.245,.22,.19,-15.29,.25,.145,,
ABN,1005.00,160.411,-,.005,-,-,.21,.5,-,-,-,,AdEffective,,.001,-,.001,.002,.001,.001,-1.65,.003,.001,,
ABC,7060.70,126.911,145.184,2.058,1.19,2.7,23.90,13.6,16.50,1.45,5.09,f,Adelaide Brighton,,3.24,-4,3.24,3.28,3.32,3.20,-2.87,3.692,2.473,,
AYT,483.786,9.400,3.921,.024,.27,.9,11.88,2.1,8.30,1.43,33.20,,Adelaide Mgd,,.25,+.5,.245,.25,.25,.24,+.39,.296,.163,,
ADQ,97.753,3.516,2.728,.014,.03,2.5,-.86,-,-,-,-,,ADG Global Supply,,.075,-,.075,.08,.079,.075,-1.65,.082,.05,,
ABV,5786.70,33.774,15.923,.028,.01,2.9,-.03,-,-,-,-,,Adv Braking Tech,,.029,+.2,.028,.029,.03,.027,+5.75,.038,.014,,
AMT,35.000,.143,.188,.008,.14,1.5,-6.01,-,-,-,-,,Adv Surg Dsgn & Mnft,,.215,-4,.23,.255,.255,.215,-17.34,.54,.20,,
AES,-,.441,1.415,.022,-,-,-.06,-,-,-,-,,Advanced Energy,,.05,-,.035,.05,.05,.05,-1.65,.12,.035,,
ACE,199.999,2.853,7.000,.004,-.04,-,-2.65,-,-,-,-,,Advanced Engine,,.019,-.1,-,-,.019,.019,-6.65,.05,.015,,
ANM,485.722,4.464,3.716,.013,.02,2.5,-.65,-,-,-,-,,Advanced Magnesium,,.05,+1,.046,.05,.05,.038,+23.35,.062,.036,,
ASW,21.000,1.490,2.532,.037,.15,5.8,3.56,24.4,3.70,.96,4.25,f,Advanced Share Reg,,.87,-3,.88,.91,.905,.87,-4.99,1.20,.375,,
AEI,88.223,1.689,1.519,.019,-.02,-,-1.54,-,-,-,-,,Aeris Environmental,,.19,-.5,.18,.19,.195,.19,-4.22,.39,.055,,
AFT,7725.68,312.850,687.231,.006,-,-,.02,5.0,-,-,-,,AFT Corp,,.001,-,.001,.001,.001,.001,-1.65,.002,.001,,
AGX,841.511,16.185,-,.016,-,-,.57,3.7,-,-,-,,Agenix,,.021,+.3,.021,.023,.022,.02,+15.01,.047,.017,,
AGXO,-,-,-,-,-,-,-,-,-,-,-,,  opt jun11,,.001,-,-,.001,.001,.001,-1.65,.01,.001,,
