ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, January 24, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5254.3 at 2014-01-24T16:41:36. Report at Friday, January 24, 2014. Processed Saturday at 2014-01-25T23:15:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AAI,1.410,.002,-,11.864,-,-,-239.16,-,7.60,-,.55,,Alcoa Inc,,13.70,+170,13.05,13.70,13.70,12.00,+15.34,13.70,7.50,,
LEP,285.858,.890,2.151,.548,1.96,1.43,24.62,11.4,16.20,1.52,5.79,,ALE Prop Grp,,2.80,-2,2.78,3.60,2.84,2.80,+.46,2.94,2.29,,
AJX,439.587,5.366,1.256,.028,-.02,-,-1.74,-,-,-,-,,Alexium Int'l,,.17,-.5,.17,.18,.18,.17,-1.69,.19,.04,,
AEB,1847.76,3.441,1.527,.052,-,-,-2.00,-,-,-,-,,Algae.Tec,,.18,-.5,.175,.185,.205,.18,-1.53,.275,.10,,
AEBO,-,-,-,-,-,-,-,-,-,-,-,,  opt jan14,,-,-,-,-,.06,.06,+1.17,.06,.06,,
AQZ,1781.00,3.222,.777,.150,1.36,1.04,23.40,6.1,10.40,2.25,7.32,f,Alliance Aviation,,1.42,+12,1.36,1.42,1.455,1.30,+10.40,2.33,1.25,,
ALQ,4019.29,15.142,13.982,3.300,-.07,-,53.73,15.6,46.00,1.17,5.50,p,ALS,,8.37,-42,8.31,8.50,8.765,8.35,-3.61,12.272,7.86,,
AIQ,339.500,.476,1.286,.029,.26,.85,3.45,6.4,-,-,-,,Alternative Invest,,.22,+1,.215,.22,.225,.21,+5.93,.225,.057,,
ALU,454.002,1.989,4.121,.281,.05,49.80,1.43,174.1,11.00,.13,4.42,,Altium,,2.49,-7,2.49,2.50,2.64,2.49,-1.57,2.90,.95,,
AMA,3005.92,4.100,4.238,.110,.04,8.25,2.36,14.0,1.60,1.47,4.85,p,AMA Grp,,.33,-1.5,.325,.34,.345,.325,-3.18,.425,.26,,
AHD,59.550,.289,1.404,1.280,5.36,1.51,54.30,14.9,42.00,1.29,5.18,f,Amalgamated Hldgs,,8.11,-1,8.11,8.15,8.27,8.11,+1.05,8.92,7.27,,
AMO,-,.110,.003,.006,.35,.57,-7.10,-,-,-,-,,Ambertech,,.20,-,.20,.23,.20,.20,+1.17,.26,.18,,
AMB,150.000,.153,.010,.012,.18,1.00,-1.33,-,-,-,-,,Ambition Grp,,.18,-,.10,.18,.18,.175,+1.17,.20,.15,,
AKY,.840,.002,.001,.063,80.61,1.01,404.00,20.1,489.00,.83,6.03,f,AMCB Fund No 5,,81.03,+12,81.03,-,81.03,80.91,+1.32,81.89,79.50,,
AMH,242.966,.419,1.659,.205,.91,.99,3.63,24.8,3.00,1.21,3.33,,AMCIL,,.90,-2.5,.90,.91,.92,.90,-1.53,1.019,.800,,
AMM,1062.12,5.423,9.217,.492,.34,5.91,8.50,23.6,5.50,1.55,2.74,f,Amcom Telco,,2.01,-4,2.01,2.04,2.10,2.04,-.75,2.20,1.485,,
AMC,17653.0,51.512,45.344,12.948,.94,11.41,49.80,21.5,40.00,1.24,3.73,,Amcor,,10.73,+28,10.70,10.82,10.86,10.20,+3.85,10.86,7.616,,
AMP,31818.7,90.747,149.255,12.807,1.18,3.67,24.80,17.5,24.00,1.03,5.54,p,AMP,,4.33,-10,4.33,4.34,4.515,4.36,-1.06,5.79,4.155,,
AGF,1981.10,5.938,15.764,.293,.98,.82,-2.93,-,2.34,-,2.92,,AMP Capital China,,.80,+1.5,.80,.805,.815,.78,+3.08,.87,.605,,
AYK,1.504,.002,-,.100,-,-,-,-,-,-,-,f,Aust Master Fund No 4,,100.61,+13,100.62,-,100.61,100.48,+1.30,101.13,100.02,,
AYD,.684,-,.001,.092,100.87,1.01,4.42,2295.0,395.00,.01,3.89,f,Aust Masters YF1,,101.44,-40,101.44,101.36,101.84,101.37,+.78,101.84,100.35,,
AYJ,.338,.004,-,.099,-,-,-,-,-,-,-,f,Aust Master Fund No 3,,101.18,+11,101.24,-,101.18,101.15,+1.28,101.66,100.51,,
AYH,.125,-,-,.043,100.55,1.01,453.00,22.3,415.00,1.09,4.10,f,Aust Masters YF2,,101.11,+54,101.11,101.03,101.06,100.52,+1.71,102.417,99.72,,
ANQ,20399.1,93.936,6.847,.025,-,-,-.30,-,-,-,-,,AnaeCo,,.01,-,.009,.01,.012,.01,+1.17,.025,.006,,
ALT,8672.89,56.065,6.091,.019,-,-,-.21,-,-,-,-,,Analytica,,.028,-,.027,.029,.029,.026,+1.17,.033,.017,,
