ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Thursday, March 28, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 4979.9 at 2013-03-28T16:46:35. Report at Thursday, March 28, 2013. Processed Saturday at 2013-03-30T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,36.722,.638,.714,.136,.65,8.85,28.92,19.9,19.20,1.51,3.34,f,1300 Smiles,,5.75,-,5.73,5.74,5.77,5.73,+.02,6.54,4.64,,
TIX,2418.56,21.022,-,.091,-,-,-,-,-,-,-,,360 Cap Indust Fund,,.50,+4,.495,.50,.51,.46,+8.71,.51,.37,,
AYI,1000.00,10.587,5.584,.001,-,-,-1.31,-,-,-,-,,A1 Invest & Res,,.003,-,.003,.004,.003,.003,+.02,.015,.003,,
AAY,-,3.368,4.451,.002,-.03,-,2.48,.8,-,-,-,,AACL Hldgs,,.02,-,.02,.022,.02,.02,+.02,.037,.015,,
ABP,2008.10,28.936,47.729,.974,2.30,.93,6.83,31.5,16.50,.41,7.67,,Abacus Prop,,2.15,-1,2.15,2.20,2.19,2.15,-.45,2.30,1.895,,
ALR,178.322,2.894,1.340,.079,1.27,1.03,2.64,49.6,9.50,.28,7.25,f,Aberdeen Leaders,,1.31,+3.5,1.285,1.32,1.33,1.28,+2.76,1.36,.975,,
AKG,60.673,.940,-,.034,.12,5.83,7.01,10.0,5.00,1.40,7.14,f,Academies A'asia,,.70,-5,.695,.72,.74,.70,-6.65,.80,.44,,
ACR,1639.73,45.884,46.603,.646,.11,35.27,2.73,142.1,8.00,.34,2.06,,Acrux,,3.88,-4,3.86,3.90,3.95,3.81,-1.00,4.77,2.64,,
ACW,42.200,.904,.895,.002,-,-,-.15,-,-,-,-,,Actinogen,,.021,+.5,.022,.024,.021,.016,+31.27,.039,.01,,
ACWOA,-,.107,.248,-,-,-,-,-,-,-,-,,  opt sep15,,.001,-,-,.001,.001,.001,+.02,.003,.001,,
ACU,-,79.931,52.018,.002,-,-,-.01,-,-,-,-,,Acuvax,,.001,-,-,-,.001,.001,+.02,.002,.001,,
ADA,6.879,.257,.475,.029,.13,2.81,1.80,20.3,-,-,-,,Adacel Tech,,.365,-,.255,.355,.365,.365,+.02,.414,.241,,
AAU,127.837,2.294,1.416,.007,.04,2.88,-6.79,-,.75,-,6.52,,Adcorp Aust,,.115,-,.115,.12,.115,.115,+.02,.22,.10,,
