ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, January 13, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4255.4 at 2012-01-13T16:55:09. Report at Friday, January 13, 2012. Processed Saturday at 2012-01-14T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,5.510,.015,.020,.094,.24,16.5,24.20,16.3,15.50,1.56,3.92,f,1300 Smiles,,3.95,-,3.85,3.95,4.04,3.90,-2.18,4.20,3.00,,
TQH,-,-,.014,.013,-.05,-,1.84,4.3,-,-,-,,3Q Hldgs,,.08,-,-,-,.08,.08,-2.18,.08,.041,,
AYI,-,.019,.537,.018,.01,4.0,-.94,-,-,-,-,,A1 Invest & Res,,.04,-,.022,.038,.04,.04,-2.18,.082,.028,,
AAY,-,.200,.028,.005,-,-,.22,15.9,-,-,-,,AACL Hldgs,,.035,-,-,-,.035,.035,-2.18,.066,.02,,
AAQ,3960.00,4.911,-,.005,-,-,-.30,-,-,-,-,,AAQ Hldgs,,.011,+.2,-,-,.011,.009,+20.04,.725,.007,,
ABP,2374.21,5.005,4.387,.752,2.76,.7,4.66,41.7,16.50,.28,8.48,,Abacus Prop,,1.945,+1.5,1.945,1.95,1.97,1.91,-1.41,2.45,1.78,,
ALR,211.520,.261,.299,.063,1.04,1.0,3.24,32.4,9.50,.34,9.05,f,Aberdeen Leaders,,1.05,+1,1.04,1.055,1.05,1.01,-1.22,1.345,.98,,
AKG,-,-,-,.028,.09,6.7,5.40,11.1,4.00,1.35,6.67,f,Academies A'asia,,.60,-,-,-,.60,.60,-2.18,.60,.48,,
ACR,2730.13,4.187,1.723,.548,-,-,34.73,9.5,-,-,-,,Acrux,,3.29,+30,3.28,3.29,3.30,2.92,+7.85,4.30,2.49,,
ACW,20.000,.020,.246,.003,.02,2.5,-1.66,-,-,-,-,,Actinogen,,.05,-,.031,.066,.05,.05,-2.18,.085,.018,,
