ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, May 13, 2011,,,,,,,,,,,,,,,,,,,,
"XAO 4787.3 at 2011-05-13T16:39:16. Report at Friday, May 13, 2011. Processed Saturday at 2011-05-14T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
IDD,9.000,.544,.007,.001,-,-,-,-,-,-,-,p,AII 200 Industrials,,3.63,-11,3.67,3.70,3.74,3.63,-2.34,3.90,3.21,,
RSR,33.271,.984,.077,.009,-,-,-,-,-,-,-,p,AII 200 Resources,,5.81,+2,5.76,5.80,5.91,5.78,+.94,6.42,4.60,,
MAM,26.721,1.443,.067,.004,-,-,-,-,-,-,-,p,AII 300 Metals & Mining,,4.95,-4,4.95,5.00,5.05,4.95,-.20,5.58,3.90,,
AGI,2269.04,8.258,2.757,.092,.02,16.5,1.69,19.5,-,-,-,,Ainsworth Game Tech,,.33,-1,.33,.335,.36,.315,-2.34,.36,.08,,
AIZ,69.520,7.980,10.043,.904,1.14,.7,8.87,9.4,5.34,1.66,6.43,,Air New Zealand,,.83,-1.5,.83,.86,.86,.825,-1.18,1.175,.765,,
AIG,-,.143,-,-,-.15,-,-4.06,-,-,-,-,,Aircruising Aust,,.04,-,.035,.06,.04,.04,+.60,.11,.035,,
AJL,400.415,7.286,15.155,.100,.94,1.6,-47.00,-,-,-,-,,AJ Lucas Grp,,1.51,-12,1.465,1.51,1.685,1.455,-6.76,3.02,1.455,,
ACL,1591.82,16.591,18.497,.112,.04,14.6,-6.30,-,-,-,-,,Alchemia,,.585,-8.5,.57,.585,.68,.57,-12.09,.77,.345,,
AAI,.060,.033,.027,14.203,-,-,-14.02,-,10.47,-,.64,,Alcoa Inc,,16.40,-,15.51,17.00,16.40,16.376,+.60,18.99,11.50,,
LEP,566.629,13.363,17.102,.313,2.26,.9,6.98,28.4,22.00,.32,11.11,,ALE Prop Grp,,1.98,-1,1.97,2.03,2.00,1.965,+.10,2.29,1.80,,
ALS,916.787,37.197,39.207,.303,.72,4.5,-141.41,-,1.50,-,.47,f,Alesco Corp,,3.22,-1,3.15,3.28,3.26,3.10,+.29,3.63,2.25,,
AJX,409.071,7.133,20.277,.008,-.01,-,-4.93,-,-,-,-,,Alexium Int'l,,.105,-,.105,.125,.11,.105,+.60,.195,.08,,
AEB,112.600,6.431,-,.013,-,-,-,-,-,-,-,,Algae.Tec,,.40,+3,.36,.39,.40,.37,+8.71,.67,.17,,
AEJ,7.136,259.270,311.586,.004,-1300.00,-,-6640.00,-,-,-,-,,Alinta Energy Grp,†,5.58,-248,5.59,6.39,8.20,5.53,-30.17,9.00,.003,,
AZG,802.116,66.372,-,.031,-,-,-,-,-,-,-,,Allmine Grp,,.235,-2.5,.235,.25,.255,.23,-9.02,.30,.16,,
AIQ,176.662,2.633,18.848,.097,1.01,.7,-8.87,-,-,-,-,,Alternative Invest,,.745,+2.5,.74,.75,.745,.72,+4.07,.83,.657,,
ALU,82.639,4.527,2.542,.011,.01,10.5,-11.90,-,-,-,-,,Altium,,.105,-.5,.10,.105,.11,.105,-3.95,.265,.085,,
AMA,560.923,12.027,11.510,.028,-.06,-,3.48,2.9,-,-,-,,AMA Grp,,.10,-.5,.10,.115,.11,.097,-4.16,.15,.033,,
AHD,601.447,6.312,20.341,.929,5.05,1.2,81.90,7.2,37.00,2.21,6.27,f,Amalgamated Hldgs,,5.90,-10,5.80,5.90,6.19,5.69,-1.07,6.78,5.21,,
AMO,27.000,.266,1.726,.010,.58,.5,.60,51.7,.50,1.20,1.61,f,Ambertech,,.31,-,.24,.305,.31,.30,+.60,.58,.30,,
AMB,29.500,2.038,1.300,.018,.16,1.7,3.02,8.8,-,-,-,,Ambition Grp,,.265,-,.275,.31,.265,.265,+.60,.42,.265,,
AKY,1.300,.001,-,.077,-,-,-,-,-,-,-,,Amcbf Five,,98.58,-,98.58,98.58,98.58,98.52,-,98.58,98.52,,
AKX,1.548,.002,-,.070,-,-,-,-,-,-,-,,Amcbf Four,,96.59,-,96.59,96.59,96.59,96.52,-,96.59,96.52,,
AKS,-,-,-,.033,85.33,.7,294.00,20.6,359.00,.82,5.92,f,AMCB Fund No 1,,60.61,-,-,98.00,60.61,60.61,+.60,62.214,57.874,,
AKU,-,.002,-,.026,82.49,.8,345.00,18.4,326.00,1.06,5.15,f,AMCB Fund No 3,,63.34,-,63.50,-,63.34,63.34,+.60,64.151,59.798,,
AKT,-,-,-,.015,34.71,1.2,218.00,19.5,312.00,.70,7.34,f,AMCB Fund No 2,,42.48,-,-,-,32.074,32.074,+.60,34.344,31.938,,
AMH,733.244,11.602,6.092,.143,.80,.9,4.45,15.4,2.00,2.22,2.92,,AMCIL,,.685,+1,.69,.70,.70,.675,+2.08,.70,.595,,
AMM,3350.20,93.146,129.073,.258,.16,2.3,2.72,13.2,1.60,1.70,4.44,f,Amcom Telco,,.36,-,.35,.36,.38,.345,+.60,.395,.265,,
AMC,18443.5,398.407,553.216,8.457,1.48,4.7,25.70,26.8,34.00,.76,4.93,,Amcor,,6.89,-11,6.88,6.89,7.03,6.83,-.97,7.43,5.79,,
AGF,1970.66,23.780,21.978,.261,1.05,.7,1.60,47.2,2.59,.62,3.43,,AMP Capital China,,.755,+.5,.755,.77,.765,.745,+1.27,.97,.685,,
AMP,48105.7,1292.94,665.445,14.646,.98,5.4,37.90,13.9,30.00,1.26,5.71,p,AMP,,5.25,-4,5.24,5.25,5.36,5.20,-.16,5.94,4.85,,
ANQ,50.000,3.744,5.047,.016,-.02,-,-5.20,-,-,-,-,,AnaeCo,,.082,-1,.075,.085,.092,.082,-10.27,.215,.082,,
ANQOA,-,-,-,-,-,-,-,-,-,-,-,,  opt may12,,.001,-,-,-,.001,.001,+.60,.004,.001,,
ALT,8790.04,54.735,224.463,.012,-,-,-.29,-,-,-,-,,Analytica,,.029,-.2,.029,.031,.034,.029,-5.85,.043,.019,,
AEK,141.000,5.770,77.482,.010,.04,4.1,-.13,-,-,-,-,,Anatolia Energy,†,.165,-1.5,.165,.18,.18,.165,-7.73,.31,.003,,
AYG,3327.72,146.674,61.418,.009,-.01,-,-1.08,-,-,-,-,,Anittel Grp,,.006,-,.006,.007,.006,.006,+.60,.022,.004,,
ANN,1592.89,55.892,75.042,1.829,2.29,6.0,92.40,14.9,31.50,2.93,2.29,,Ansell,,13.75,-13,13.69,13.99,14.14,13.60,-.34,14.70,12.00,,
ANO,123.300,13.437,10.489,.008,.01,3.2,-5.22,-,-,-,-,,Antaria,,.032,-.2,.032,.034,.034,.031,-5.28,.045,.026,,
ADO,126699,772.228,2983.72,.068,-,-,-.42,-,-,-,-,,Anteo Diagnostics,,.089,+1.9,.088,.089,.092,.07,+27.74,.105,.04,,
ANP,31824.9,2027.63,317.390,.011,-,-,-.26,-,-,-,-,,Antisense Therapeutic,,.012,+.2,.011,.012,.012,.009,+20.60,.021,.007,,
ANPO,1978.79,221.143,-,-,-,-,-,-,-,-,-,,  opt jul12,,.005,-,.005,.006,.005,.004,+.60,.011,.002,,
ANZ,51337.0,724.183,789.364,58.325,10.61,2.1,206.30,10.9,138.00,1.49,6.14,f,ANZ Banking Grp,,22.46,-78,22.45,22.48,23.73,22.19,-2.76,25.96,19.95,,
APE,2.450,.118,.155,.364,7.76,1.5,105.30,11.0,64.00,1.65,5.54,f,AP Eagers,,11.55,-25,11.01,11.80,11.80,10.16,-1.52,13.19,10.16,,
APP,-,1.023,2.995,-,.01,1.5,.16,9.4,-,-,-,,APA Fin Services,,.015,-,.015,.02,.015,.015,+.60,.034,.012,,
APA,5314.61,80.093,92.793,2.358,1.34,3.2,19.60,21.6,33.50,.59,7.90,,APA Grp,,4.24,-1,4.22,4.25,4.28,4.18,+.36,4.43,3.35,,
AEZ,3169.37,66.645,62.313,.007,-,-,-13.43,-,-,-,-,,APN European Ret,,.012,-.1,.012,.013,.013,.012,-7.09,.044,.012,,
APN,7504.04,151.942,120.094,.878,-.65,-,15.60,9.1,12.00,1.30,8.45,p,APN News & Media,,1.42,-1,1.38,1.42,1.45,1.37,-.10,2.43,1.37,,
APD,183.026,4.111,4.410,.030,.20,.9,-10.21,-,1.25,-,6.58,f,APN Prop Grp,,.19,-.5,.18,.21,.20,.19,-1.97,.26,.165,,
AOP,10323.0,392.758,84.048,.006,-,-,-.16,-,-,-,-,,Apollo Cons,,.009,-.1,.008,.009,.01,.008,-9.40,.022,.007,,
ARP,206.307,11.298,9.936,.586,1.47,5.5,48.75,16.6,22.00,2.22,2.72,f,ARB Corp,,8.09,+2,8.09,8.10,8.24,8.03,+.85,8.49,5.41,,
AAD,5362.16,111.147,75.422,.476,.95,1.6,10.20,14.7,10.75,.95,7.19,,Ardent Leisure Grp,,1.495,+1.5,1.48,1.50,1.59,1.455,+1.61,1.59,.92,,
ARG,775.546,13.219,14.238,3.658,6.30,.9,26.70,22.1,26.00,1.03,4.41,f,Argo Invest,,5.90,-4,5.85,5.96,6.04,5.85,-.07,6.59,5.51,,
ARA,154.127,1.595,6.402,.066,.33,1.0,3.15,10.2,2.00,1.58,6.25,,Ariadne Aust,,.32,+1.5,.315,.33,.32,.30,+5.52,.33,.23,,
ALL,16948.1,198.575,190.194,1.454,.14,19.4,14.50,18.7,5.00,2.90,1.85,,Aristocrat Leisure,,2.71,-,2.67,2.79,2.80,2.68,+.60,4.28,2.52,,
AEM,500.000,110.760,84.572,.005,-,-,-.24,-,-,-,-,,Artist & Entertain,,.011,-,.01,.011,.011,.011,+.60,.015,.007,,
AKW,351.940,5.907,6.066,.002,.01,2.6,-22.00,-,-,-,-,,Arturus Capital,,.026,-.4,.026,.035,.031,.026,-12.73,.185,.026,,
APH,189.666,15.747,10.490,.099,.09,4.4,4.80,8.2,-,-,-,,Ascent Pharmahealth,,.395,-,.395,.40,.40,.395,+.60,.40,.24,,
AIO,50577.2,1317.84,1249.50,4.667,.13,12.3,-33.60,-,1.00,-,.63,f,Asciano Grp,†,1.595,-.5,1.58,1.595,1.64,1.535,+.29,1.795,1.44,,
AFA,444.333,5.956,15.414,.036,.02,5.8,-1.29,-,-,-,-,,ASF Grp,,.115,+.5,.085,.11,.115,.11,+5.14,.15,.085,,
ASZ,816.971,24.045,29.916,.173,-,-,8.16,12.5,7.00,1.17,6.86,f,ASG Grp,,1.02,+1,1.015,1.02,1.055,1.00,+1.59,1.55,.985,,
AJJ,50.000,3.856,3.287,.023,.01,12.0,.78,15.4,.30,2.60,2.50,,Asia Liver Trans,,.12,-2.9,.12,.15,.12,.12,-18.86,.16,.04,,
AUF,624.976,3.660,3.198,.122,.97,1.0,-.32,-,3.50,-,3.50,f,Asian Masters Fund,,1.00,-1,1.00,1.02,1.01,.985,-.39,1.10,.985,,
AKF,370.796,4.591,.551,.009,.34,.4,.96,14.6,.36,2.67,2.57,,ASK Funding,,.14,-,.14,.15,.14,.14,+.60,.255,.12,,
APZ,15087.8,79.139,136.381,.271,.68,.7,1.30,36.2,4.20,.31,8.94,,Aspen Grp,,.47,+2,.465,.47,.47,.45,+5.04,.515,.42,,
ASP,-,1.635,.586,.022,-.04,-,-.06,-,-,-,-,,Aspermont,,.092,-,.09,.14,.092,.092,+.60,.14,.08,,
AIR,84.500,1.350,1.260,.023,.56,1.8,28.68,3.5,4.00,7.17,4.00,f,Astivita Renewables,,1.00,-5,1.00,1.01,1.10,1.00,-4.16,1.42,.87,,
AJA,530.986,18.801,134.558,.175,5.60,.5,-155.60,-,57.50,-,19.17,,Astro Japan Prop Grp,†,3.00,-3,2.97,3.03,3.06,2.96,-.39,3.49,.28,,
ATR,92.922,1.178,.927,.168,2.85,.9,2.53,102.4,-,-,-,,Astron,,2.59,-8,2.50,2.65,2.65,2.59,-2.40,2.70,1.68,,
ASX,3572.22,79.354,76.474,5.468,3.85,8.1,191.20,16.3,174.20,1.10,5.58,f,ASX,,31.22,-4,31.19,31.30,31.49,30.64,+.47,43.89,28.02,,
ACG,1026.16,17.553,2.707,.020,.04,3.8,-1.31,-,-,-,-,,Atcor Medical,,.15,+3,.15,.16,.165,.12,+25.60,.165,.078,,
ATP,151.250,4.356,5.042,.016,.14,.8,1.82,6.0,-,-,-,,Atlas Southsea Pearl,,.11,-.5,.11,.12,.12,.11,-3.75,.125,.08,,
ATW,1543.86,1.544,1.810,.003,-,-,-.47,-,-,-,-,,Atos Wellness,,.015,+.3,.002,.022,.015,.012,+25.60,.02,.012,,
AIA,49.930,3.146,25.424,2.301,1.12,1.6,2.18,79.8,6.32,.34,3.63,,Auckland Airport,,1.74,+11.5,1.70,1.74,1.74,1.625,+7.68,1.75,1.45,,
AKP,42.168,.710,.085,.112,.22,27.7,1.23,495.9,-,-,-,,Audio Pixels Ltd,,6.10,-15,5.91,6.10,6.30,5.85,-1.80,7.60,.26,,
ABW,50.568,.686,.412,.007,1.13,1.0,-.88,-,9.60,-,8.50,,Aurora SAE,,1.13,-2,1.13,1.14,1.15,1.13,-1.14,1.17,1.035,,
AFV,1.040,.060,-,.009,-,-,-8.16,-,-,-,-,,Aurora Funds,,1.00,-,1.01,1.45,1.00,1.00,+.60,2.00,.90,,
AIB,7.449,.814,.381,.012,1.21,1.0,11.42,10.5,11.00,1.04,9.21,,Aurora Global Inc Tr,,1.195,-.5,1.20,1.21,1.195,1.19,+.18,1.25,1.05,,
AUP,10.125,.138,.181,.017,5.42,1.0,-,-,44.00,-,8.38,,Aurora Prop,,5.25,-,5.25,5.27,5.25,5.25,+.60,5.40,4.90,,
