ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, August 3, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4243.0 at 2012-08-03T16:48:37. Report at Friday, August 3, 2012. Processed Saturday at 2012-08-04T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,20.165,1.975,.397,.144,.55,11.1,26.01,23.5,16.60,1.57,2.72,f,1300 Smiles,,6.10,-10,6.10,6.30,6.50,6.10,-1.82,6.54,3.00,,
TQH,20.000,.307,1.397,.009,-.05,-,1.79,2.9,-,-,-,,3Q Hldgs,,.052,-.2,.057,-,.054,.052,-3.91,.08,.052,,
AYI,40.000,26.318,5.235,.004,.02,.4,.03,26.7,-,-,-,,A1 Invest & Res,,.008,-.2,-,-,.01,.008,-20.20,.05,.006,,
AAY,-,6.674,1.940,.003,.01,2.2,1.65,1.3,-,-,-,,AACL Hldgs,,.022,-,-,-,.022,.022,-.20,.061,.02,,
AAQ,500.000,94.543,142.353,.001,-,-,-.21,-,-,-,-,,AAQ Hldgs,,.003,-.1,.003,.004,.004,.003,-25.20,.017,.003,,
ABP,2386.84,124.483,87.122,.866,2.43,.8,2.52,79.0,16.50,.15,8.29,,Abacus Prop,†,1.99,+.5,1.965,2.00,2.03,1.96,+.05,2.12,1.78,,
ALR,350.494,4.918,4.834,.060,1.11,.9,3.48,28.7,9.50,.37,9.50,f,Aberdeen Leaders,,1.00,+1,.99,1.02,1.01,.995,+.81,1.125,.975,,
AKG,-,.044,.137,.023,.09,5.4,5.39,9.1,4.00,1.35,8.16,f,Academies A'asia,,.49,-,-,-,.49,.49,-.20,.60,.44,,
ACR,3724.49,139.544,70.253,.624,.16,23.4,2.73,137.4,-,-,-,,Acrux,,3.75,-13,3.72,3.79,3.93,3.72,-3.55,4.77,2.59,,
ACW,-,4.042,1.707,.002,.01,3.5,-2.30,-,-,-,-,,Actinogen,,.035,-,.035,.045,.035,.035,-.20,.06,.018,,
ACWOA,-,.448,.160,-,-,-,-,-,-,-,-,,  opt sep15,,.002,-,-,-,.002,.002,-.20,.005,.001,,
ACU,-,296.630,740.261,.002,-,-,-.03,-,-,-,-,,Acuvax,,.001,-,-,-,.001,.001,-.20,.002,.001,,
ADA,-,.890,1.597,.031,.13,3.0,.80,48.1,-,-,-,,Adacel Tech,,.385,-,-,-,.385,.385,-.20,.43,.20,,
AAU,13.473,2.485,12.449,.012,.07,2.7,2.31,8.2,2.00,1.16,10.53,f,Adcorp Aust,,.19,-,.18,.19,.19,.19,-.20,.205,.125,,
ABN,1307.61,36.009,369.902,.002,-,-,-,-,-,-,-,,AdEffective,†,.01,-.1,.01,.011,.01,.01,-9.29,.044,.001,,
ABNO,64.100,51.643,-,-,-,-,-,-,-,-,-,,  opt jun14,,.004,-,-,-,.004,.004,-.20,.004,.002,,
ABC,4840.67,242.199,283.109,2.116,1.22,2.7,23.30,14.2,16.50,1.41,4.97,f,Adelaide Brighton,,3.32,+6,3.30,3.38,3.40,3.27,+1.64,3.40,2.22,,
ADQ,83.750,7.056,9.334,.015,.04,1.6,.65,10.0,-,-,-,,ADG Global Supply,,.065,+.2,-,-,.065,.065,+2.97,.08,.05,,
ABV,4604.75,55.790,61.049,.021,.01,1.9,-.02,-,-,-,-,,Adv Braking Tech,,.019,+.3,.019,.02,.019,.014,+18.55,.026,.013,,
AMT,-,.095,.385,.005,.10,1.4,-6.28,-,-,-,-,,Adv Surg Dsgn & Mnft,,.145,-,-,-,.145,.145,-.20,.25,.145,,
ASW,-,1.406,2.108,.029,.13,5.2,4.42,15.3,3.85,1.15,5.70,f,Advanced Share Reg,,.675,-,.68,.73,.675,.675,-.20,.775,.605,,
AEI,-,3.237,5.387,.018,-.02,-,-1.88,-,-,-,-,,Aeris Environmental,,.165,-,-,-,.165,.165,-.20,.30,.155,,
AFT,500.000,51.200,360.476,.007,-,-,.02,5.0,-,-,-,,AFT Corp,,.001,-,-,-,.001,.001,-.20,.001,.001,,
AGX,7667.32,152.525,33.851,.002,-,-,-.27,-,-,-,-,,Agenix,,.003,-,.003,.004,.004,.003,-.20,.02,.003,,
