ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, December 7, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4555.9 at 2012-12-07T16:45:05. Report at Friday, December 7, 2012. Processed Saturday at 2012-12-08T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AGI,1489.04,138.652,30.944,.773,.36,6.67,23.00,10.4,-,-,-,,Ainsworth Game Tech,,2.40,-2,2.33,2.40,2.49,2.32,-1.66,2.75,.40,,
AIZ,79.984,7.588,10.825,1.178,1.16,.92,5.09,21.0,3.64,1.40,3.40,,Air New Zealand,,1.07,+5.5,1.05,1.07,1.08,1.00,+4.58,1.08,.65,,
AIG,-,-,.174,-,-.21,-,-5.37,-,-,-,-,,Aircruising Aust,,.079,-,.004,.05,.079,.079,-.84,.079,.079,,
AJL,334.341,35.085,7.833,.095,.45,1.59,-133.20,-,-,-,-,,AJ Lucas Grp,,.715,-6,.715,.75,.78,.70,-8.58,1.50,.495,,
ACL,4873.13,97.588,74.727,.166,.03,19.67,-6.20,-,-,-,-,,Alchemia,,.59,+8,.585,.595,.60,.515,+14.85,.615,.27,,
AAI,-,.014,.043,7.015,-,-,86.58,9.4,9.83,8.81,1.21,,Alcoa Inc,,8.10,-,7.30,8.00,8.10,8.10,-.84,11.39,8.00,,
LEP,1519.58,44.692,27.934,.418,1.95,1.18,-10.70,-,16.00,-,6.93,,ALE Prop Grp,,2.31,-3,2.31,2.32,2.47,2.30,-2.12,2.47,1.92,,
ALS,259.615,86.844,60.768,.154,.75,2.17,-14.72,-,8.00,-,4.91,f,Alesco Corp,,1.63,-2.5,1.625,1.63,1.85,1.62,-2.34,1.85,.815,,
AJX,28.720,19.465,11.790,.009,-.01,-,-2.11,-,-,-,-,,Alexium Int'l,,.063,+.4,.063,.07,.063,.059,+5.94,.115,.059,,
AEB,288.900,32.685,9.700,.013,-,-,-2.51,-,-,-,-,,Algae.Tec,,.25,-2,.25,.26,.275,.25,-8.25,.63,.25,,
AEBO,3.750,6.927,-,-,-,-,-,-,-,-,-,,  opt jan14,,.06,-1.5,.025,.095,.06,.06,-20.84,.12,.035,,
AQZ,182.151,19.880,-,.189,1.15,1.57,24.38,7.4,5.60,4.35,3.11,f,Alliance Aviation,,1.80,-4,1.80,1.83,1.84,1.80,-3.01,2.36,1.59,,
AHZ,3785.61,242.354,201.989,.018,.01,2.30,-1.51,-,-,-,-,,Allied Healthcare,,.023,-,.023,.024,.025,.022,-.84,.047,.015,,
AZG,18938.2,177.091,180.461,.046,-,-,5.00,3.0,-,-,-,,Allmine Grp,,.15,+1.5,.145,.15,.175,.145,+10.27,.23,.10,,
ALQ,5239.91,175.884,64.273,3.180,.58,16.10,75.38,12.4,47.00,1.60,5.03,p,ALS,†,9.34,-16,9.33,9.40,9.70,9.315,-2.52,13.984,7.23,,
AIQ,278.929,74.136,6.599,.052,.55,.73,1.55,25.8,-,-,-,,Alternative Invest,,.40,-.5,.395,.405,.415,.40,-2.07,.458,.321,,
ALU,2463.25,15.319,9.333,.139,.07,18.00,6.11,20.6,5.00,1.22,3.97,,Altium,,1.26,+6,1.26,1.29,1.35,1.16,+4.16,1.35,.12,,
AMA,3731.51,94.250,35.348,.111,.02,19.50,2.72,14.3,1.60,1.70,4.10,f,AMA Grp,,.39,+4,.38,.39,.40,.35,+10.59,.40,.125,,
AHD,432.529,14.265,13.951,1.068,5.12,1.32,50.60,13.4,39.00,1.30,5.76,f,Amalgamated Hldgs,,6.77,-17,6.72,6.90,6.97,6.72,-3.29,7.16,5.56,,
AMO,4.200,.823,1.250,.008,.50,.50,-15.40,-,-,-,-,,Ambertech,,.25,-2,.25,.27,.29,.25,-8.25,.29,.20,,
AMB,-,9.701,5.578,.013,.19,1.05,1.59,12.6,-,-,-,,Ambition Grp,,.20,-,.175,.185,.20,.20,-.84,.21,.12,,
AKY,.245,.008,.012,.063,84.98,.94,496.00,16.2,419.00,1.18,5.23,f,AMCB Fund No 5,†,80.17,+73.3,77.75,-,80.17,78.588,+.08,81.212,78.588,,
AKX,-,.006,.009,.018,4.03,6.33,344.00,7.4,169.00,2.04,6.63,f,AMCB Fund No 4,†,25.50,-,-,4.30,25.50,25.50,-.84,25.50,4.208,,
