ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, October 2, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5089.2 at 2015-10-02T16:46:05. Report at Friday, October 2, 2015. Processed Saturday at 2015-10-03T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AFJ,4860.01,292.675,94.711,.208,-.15,-,.49,183.7,-,-,-,,Affinity Education,,.90,-.2,.90,.905,.91,.90,-.47,1.480,.49,,
AFT,-,6.772,8.021,.009,-,-,-.02,-,-,-,-,,AFT Corp,,.001,-,-,.001,.001,.001,-.25,.001,.001,,
AHA,-,42.376,23.691,-,.01,.30,-.36,-,-,-,-,,AG Financial,,.003,-,-,-,.003,.003,-.25,.062,.003,,
AGX,830.254,22.898,51.010,.002,.01,1.10,-.80,-,-,-,-,,Agenix,,.011,-,.011,.013,.013,.011,-.25,.022,.01,,
AGL,12213.6,351.254,300.137,10.795,8.22,1.95,33.30,48.0,64.00,.52,4.00,f,AGL Energy,,16.00,-20,15.95,16.00,16.865,15.24,-1.48,17.25,12.55,,
AGJ,-,1.760,2.011,.008,.10,.82,3.67,2.2,.52,7.06,6.34,,Agricultural Land,,.082,-,.081,.088,.082,.082,-.25,.10,.076,,
AHL,37.005,44.265,45.334,.058,-,-,-.70,-,-,-,-,,Ahalife Hldgs,†,.42,-1,.37,.42,.43,.42,-2.57,.49,.015,,
APW,280.673,46.098,134.002,.057,.19,.66,3.11,4.0,.52,5.98,4.16,,AIMS Prop Sec Fund,,.125,-,.12,.125,.13,.12,-.25,.15,.11,,
AGI,2053.10,150.595,101.502,.896,.78,3.56,22.00,12.6,10.00,2.20,3.60,f,Ainsworth Game Tech,,2.78,+8,2.72,2.78,2.80,2.65,+2.72,3.29,2.03,,
AIZ,45.666,5.212,12.447,2.468,1.47,1.50,25.85,8.5,14.80,1.75,6.73,,Air New Zealand,,2.20,-5,2.10,2.26,2.26,2.20,-2.47,2.90,1.595,,
AXP,120.744,15.412,-,.151,.14,5.18,-2.91,-,-,-,-,,"Airxpanders,",,.725,-2,.70,.725,.75,.725,-2.93,.87,.48,,
AJL,88.320,17.152,15.644,.088,.30,1.10,-16.90,-,-,-,-,,AJ Lucas Grp,,.33,-,.31,.35,.345,.33,-.25,.875,.215,,
ACL,17808.4,258.281,77.273,.026,.03,2.70,-4.87,-,-,-,-,,Alchemia,,.081,+.6,.08,.082,.082,.073,+7.75,.675,.03,,
