ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, December 31, 2010,,,,,,,,,,,,,,,,,,,,
"XAO 4846.9 at 2010-12-31T14:40:32. Report at Friday, December 31, 2010. Processed Saturday at 2011-01-01T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,13.419,1.834,.837,.085,.15,26.7,21.00,19.0,13.70,1.53,3.43,f,1300 Smiles,,4.00,+8,4.05,4.15,4.00,3.87,+2.48,4.00,2.68,,
TQH,6.912,2.188,3.099,.012,-.07,-,.84,8.9,-,-,-,,3Q Hldgs,,.075,-.2,.077,.079,.075,.075,-2.16,.17,.061,,
FCS,-,6.286,3.587,.005,.10,.3,-.58,-,-,-,-,,4C Sec Solution,,.033,-,.03,.035,.033,.033,+.44,.048,.015,,
AAY,-,8.770,-,.004,-,-,-,-,-,-,-,,AACL Hldgs,,.075,-,.08,.10,.075,.075,+.44,.275,.03,,
ABP,845.406,978.554,1277.54,.848,.58,3.9,1.53,149.7,3.90,.39,1.70,,Abacus Prop stp,†,2.29,-5,2.25,2.34,2.35,2.29,-1.70,2.35,1.825,,
ALR,105.946,5.349,4.319,.080,1.35,1.0,10.29,12.8,9.50,1.08,7.20,f,Aberdeen Leaders,,1.32,+2,1.32,1.33,1.32,1.30,+1.98,1.47,1.21,,
AKG,-,.246,.598,.021,.15,3.3,4.28,11.7,3.00,1.43,6.00,,Academies Aus Grp,,.50,-,.37,.56,.50,.50,+.44,.56,.365,,
ACR,359.436,85.498,74.666,.588,-,-,29.08,12.2,-,-,-,,Acrux,,3.54,-,3.52,3.54,3.60,3.52,+.44,3.67,1.70,,
ACW,10.000,3.461,1.722,.003,.03,2.0,-1.85,-,-,-,-,,Actinogen,,.06,-.1,.055,.07,.061,.06,-1.20,.105,.023,,
ACWO,-,.159,.008,-,-,-,-,-,-,-,-,,  opt aug12,,.01,-,.001,-,.01,.01,+.44,.014,.001,,
ACWOA,-,.171,-,-,-,-,-,-,-,-,-,,  opt sep15,,.012,-,.012,.015,.012,.012,+.44,.012,.01,,
ACU,13498.2,546.258,43.483,.006,-,-,-.34,-,-,-,-,,Acuvax,,.003,-,.002,.003,.003,.003,+.44,.011,.001,,
ADA,-,5.136,6.996,.031,.19,2.0,-3.50,-,-,-,-,,Adacel Tech,,.375,-,.35,.375,.375,.375,+.44,.69,.28,,
AAU,-,7.664,5.211,.012,.08,2.5,-11.03,-,-,-,-,,Adcorp Aust,,.20,-,.20,.21,.20,.20,+.44,.26,.145,,
