ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, September 21, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4430.8 at 2012-09-21T16:45:37. Report at Friday, September 21, 2012. Processed Saturday at 2012-09-22T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,72.722,2.230,.645,.140,.59,10.0,26.60,22.3,17.80,1.49,3.01,f,1300 Smiles,,5.92,-3,5.90,5.92,5.92,5.70,-.97,6.54,3.40,,
TQH,-,.307,1.584,.008,-.04,-,1.47,3.5,-,-,-,,3Q Hldgs,,.052,-,-,-,.052,.052,-.47,.08,.052,,
AYI,1184.55,30.053,6.233,.004,.02,.4,-1.20,-,-,-,-,,A1 Invest & Res,,.008,-.1,-,-,.009,.008,-11.58,.05,.006,,
AAY,-,6.824,3.669,.003,-.03,-,-3.11,-,-,-,-,,AACL Hldgs,,.022,-,-,-,.022,.022,-.47,.05,.02,,
AAQ,20968.9,129.927,166.358,.002,-,-,-.16,-,-,-,-,,AAQ Hldgs,,.005,+.2,.005,.006,.008,.003,+66.20,.017,.003,,
ABP,5608.44,149.137,123.930,.890,2.34,.9,2.11,94.8,16.50,.13,8.25,,Abacus Prop,†,2.00,-8,1.97,2.03,2.08,1.96,-4.31,2.13,1.78,,
ALR,117.782,6.427,6.035,.064,1.06,1.0,2.98,35.6,9.50,.31,8.96,f,Aberdeen Leaders,,1.06,+2,1.03,1.055,1.06,1.015,+1.46,1.125,.975,,
AKG,-,.078,.137,.038,.10,8.0,6.30,12.7,4.50,1.40,5.63,f,Academies A'asia,,.80,-,-,-,.775,.775,-.47,.80,.44,,
ACR,7695.90,185.492,107.882,.564,.17,19.9,4.44,76.4,8.00,.56,2.36,,Acrux,,3.39,+8,3.39,3.42,3.45,3.21,+1.95,4.77,2.59,,
ACW,-,4.518,1.976,.002,-,-,-2.12,-,-,-,-,,Actinogen,,.036,-,-,-,.036,.036,-.47,.06,.018,,
ACWOA,-,.448,.224,-,-,-,-,-,-,-,-,,  opt sep15,,.002,-,-,-,.002,.002,-.47,.003,.001,,
ACU,1000.00,300.630,794.955,.002,-,-,-.02,-,-,-,-,,Acuvax,,.001,-,-,-,.001,.001,-.47,.002,.001,,
ADA,11.900,.945,2.104,.023,.14,2.1,5.40,5.4,-,-,-,,Adacel Tech,,.29,-4,-,-,.30,.29,-12.59,.43,.20,,
AAU,138.210,3.658,14.617,.010,.09,1.8,2.57,6.4,1.75,1.47,10.61,f,Adcorp Aust,,.165,-.5,.16,.165,.165,.16,-3.41,.22,.16,,
ABN,429.595,40.347,369.902,.002,-,-,-1.35,-,-,-,-,,AdEffective,†,.01,-,-,-,.01,.01,-.47,.044,.001,,
ABNO,1040.00,57.011,-,-,-,-,-,-,-,-,-,,  opt jun14,,.003,-,-,-,.003,.002,-.47,.004,.002,,
ABC,8553.59,311.866,389.321,1.919,1.23,2.4,24.20,12.4,16.50,1.47,5.48,f,Adelaide Brighton,,3.01,-2,3.01,3.05,3.09,2.98,-1.13,3.40,2.45,,
ADQ,43.750,7.525,12.871,.012,.05,1.0,.79,6.6,-,-,-,,ADG Global Supply,,.052,-.6,-,-,.056,.052,-10.81,.08,.05,,
ABV,3340.00,67.278,68.095,.020,.01,1.8,-.01,-,-,-,-,,Adv Braking Tech,,.018,-.2,-,-,.02,.018,-10.47,.026,.013,,
AMT,-,.294,.411,.005,.11,1.3,-.49,-,-,-,-,,Adv Surg Dsgn & Mnft,,.145,-,-,-,.145,.145,-.47,.25,.145,,
ASW,25.000,3.967,2.360,.029,.14,4.9,3.73,18.5,3.70,1.01,5.36,f,Advanced Share Reg,,.69,+2.5,-,-,.69,.665,+3.29,.76,.605,,
AEI,13.000,3.730,6.469,.018,-.02,-,-1.23,-,-,-,-,,Aeris Environmental,,.165,-1.5,-,-,.18,.165,-8.80,.30,.13,,
AFT,-,51.700,409.750,.007,-,-,-,-,-,-,-,,AFT Corp,,.001,-,-,-,.001,.001,-.47,.001,.001,,
AGX,1012.50,204.459,37.243,.003,-,-,-.20,-,-,-,-,,Agenix,,.003,+.1,.002,.003,.003,.002,+49.53,.02,.002,,
AGK,14841.8,300.802,251.661,7.948,7.26,2.0,23.80,61.2,61.00,.39,4.19,f,AGL Energy,,14.56,-15,14.50,14.56,14.75,14.24,-1.49,16.01,13.031,,
AGJ,7.204,2.176,1.071,.014,.21,.6,-10.73,-,3.18,-,23.56,,Agricultural Land,,.135,-,.13,.135,.135,.135,-.47,.19,.12,,
AHC,-,.079,.103,.012,4.90,.4,-4.64,-,-,-,-,,AHC,,2.05,-,-,-,2.05,2.05,-.47,2.30,2.00,,
ENY,-,.098,.754,.002,-,-,-,-,-,-,-,,All 200 Energy,,12.93,-,12.58,12.70,12.93,12.93,-.47,14.60,11.50,,
FIN,-,.262,1.244,.002,-,-,-,-,-,-,-,,All 200 Financials,,4.56,-,4.61,4.69,4.56,4.56,-.47,4.61,3.89,,
FIX,1.904,.464,1.046,.004,-,-,-,-,-,-,-,,All 200 Fin-x-A-REIT,,5.50,-,4.90,5.60,5.50,5.50,-.47,5.56,4.34,,
IDD,1.200,.125,.787,-,-,-,-,-,-,-,-,,All 200 Industrials,,3.35,+1,3.33,3.39,3.36,3.35,-.17,3.86,3.11,,
RSR,1.446,2.454,1.575,.004,-,-,-,-,-,-,-,,All 200 Resources,,4.32,+16,4.20,4.40,4.32,4.23,+3.38,5.09,3.51,,
MAM,16.569,.479,1.907,.002,-,-,-,-,-,-,-,,All 300 Metals & Mining,,3.56,+21,3.50,3.56,3.56,3.53,+5.80,4.38,3.01,,
AGI,5303.78,112.286,25.220,.788,.36,6.8,23.00,10.7,-,-,-,,Ainsworth Game Tech,,2.45,+1,2.38,2.49,2.50,2.25,-.06,2.75,.315,,
AIZ,12.282,6.394,9.425,.990,1.16,.8,5.09,17.7,3.64,1.40,4.04,,Air New Zealand,,.90,+.5,.89,.91,.90,.89,+.09,.90,.65,,
AIG,-,-,.174,-,-.21,-,-5.37,-,-,-,-,,Aircruising Aust,,.079,-,-,-,.079,.079,-.47,.08,.079,,
AJL,263.596,33.292,7.833,.083,.45,1.8,-133.20,-,-,-,-,,AJ Lucas Grp,,.81,+6,.72,.815,.81,.69,+7.53,1.50,.495,,
ACL,877.346,75.655,52.034,.150,.03,17.8,-6.20,-,-,-,-,,Alchemia,,.535,-3,.53,.54,.575,.53,-5.78,.615,.25,,
AAI,.412,.013,.040,7.361,-,-,86.58,9.8,9.83,8.81,1.16,,Alcoa Inc,,8.50,-1,6.02,10.00,8.50,8.50,-.58,11.66,8.465,,
LEP,762.034,27.905,25.013,.345,1.95,1.1,-10.70,-,16.00,-,7.51,,ALE Prop Grp,,2.13,-5,2.13,2.16,2.18,2.11,-2.76,2.23,1.885,,
ALS,652.653,77.811,54.572,.180,.75,2.6,-14.72,-,8.00,-,4.18,f,Alesco Corp,,1.915,+.5,1.91,1.915,1.915,1.90,-.20,2.03,.947,,
AJX,370.201,18.278,11.090,.011,-.01,-,-2.11,-,-,-,-,,Alexium Int'l,,.079,+.4,.075,.079,.079,.065,+4.87,.115,.059,,
AEB,1142.34,28.023,8.945,.019,-,-,-2.51,-,-,-,-,,Algae.Tec,,.37,+6,.365,.37,.38,.30,+18.89,.63,.30,,
AEBO,12.500,6.571,-,-,-,-,-,-,-,-,-,,  opt jan14,,.12,+1,.12,.15,.12,.11,+8.62,.12,.035,,
AQZ,13.900,19.097,-,.198,1.15,1.9,24.38,9.0,5.60,4.35,2.55,f,Alliance Aviation,,2.20,-,-,-,2.20,2.20,-.47,2.36,1.59,,
AHZ,3632.48,157.635,126.838,.017,.01,2.1,-1.51,-,-,-,-,,Allied Healthcare,,.021,-.4,.021,.025,.023,.021,-16.47,.052,.015,,
AZG,3216.50,125.429,125.648,.033,-,-,5.00,2.4,-,-,-,,Allmine Grp,,.12,-,.115,.12,.12,.11,-.47,.23,.095,,
ALQ,10770.1,102.248,36.896,3.024,.48,18.5,65.89,13.5,45.00,1.46,5.07,p,ALS,†,8.88,+46,8.80,8.89,8.93,8.22,+5.00,13.984,7.23,,
AIQ,22505.8,70.138,5.149,.051,.53,.7,1.55,25.2,-,-,-,,Alternative Invest,,.39,+1,.38,.39,.39,.375,+2.16,.458,.302,,
ALU,577.488,7.748,8.885,.086,.07,12.0,6.11,13.7,5.00,1.22,5.95,,Altium,,.84,+8,.84,.87,.87,.76,+10.06,.87,.115,,
AMA,390.837,41.208,19.745,.056,.02,10.0,2.72,7.4,1.00,2.72,5.00,,AMA Grp,,.20,-.5,.20,.205,.205,.20,-2.91,.21,.092,,
AHD,176.551,11.518,12.288,1.056,5.12,1.3,50.60,13.2,39.00,1.30,5.82,f,Amalgamated Hldgs,,6.70,-10,6.70,6.79,6.80,6.60,-1.94,6.98,5.43,,
AMO,-,.732,.856,.007,.50,.4,-15.40,-,-,-,-,,Ambertech,,.22,-,-,-,.22,.22,-.47,.275,.20,,
AMB,15.000,8.687,5.457,.013,.19,1.0,1.59,11.9,-,-,-,,Ambition Grp,,.19,+2,-,-,.19,.19,+11.30,.20,.12,,
AKY,-,.007,.008,.066,83.87,1.0,496.00,17.0,230.00,2.16,2.73,f,AMCB Fund No 5,,84.27,-,79.00,-,84.27,84.27,-.47,84.592,81.214,,
AKX,-,.006,.009,.018,29.62,.9,344.00,7.4,169.00,2.04,6.63,f,AMCB Fund No 4,,25.50,-,-,-,25.50,25.50,-.47,25.50,4.069,,
AMH,327.967,12.345,18.180,.152,.79,.9,4.27,17.0,6.00,.71,8.28,f,AMCIL,,.725,-1.5,.73,.735,.745,.725,-2.49,.76,.605,,
AMM,1602.68,55.910,160.520,.296,.32,3.8,11.76,10.3,5.00,2.35,4.13,f,Amcom Telco,,1.21,+8,1.19,1.21,1.22,1.13,+6.61,1.23,.75,,
AMC,17234.8,798.102,783.238,9.195,.96,7.9,34.00,22.4,37.00,.92,4.86,,Amcor,,7.62,+2,7.62,7.68,7.66,7.46,-.20,7.80,6.57,,
AMP,52027.6,1638.30,2466.71,12.853,1.06,4.2,25.40,17.5,26.50,.96,5.97,p,AMP,,4.44,-1,4.43,4.45,4.52,4.39,-.69,4.55,3.71,,
AGF,1324.22,55.359,48.400,.201,.78,.7,-16.10,-,2.05,-,3.63,,AMP Capital China,,.565,-1.5,.565,.57,.58,.56,-3.05,.74,.55,,
ANQ,24.625,23.632,10.203,.019,-.05,-,-6.20,-,-,-,-,,AnaeCo,,.039,-.1,.039,.04,.04,.039,-2.97,.063,.038,,
ALT,1000.00,218.996,103.790,.011,-,-,-.40,-,-,-,-,,Analytica,,.019,-.1,-,-,.019,.019,-5.47,.034,.016,,
ALTOA,-,28.860,-,-,-,-,-,-,-,-,-,,  opt jun13,,.001,-,-,-,.001,.001,-.47,.005,.001,,
AYG,-,163.831,262.665,.011,-,-,-.40,-,-,-,-,,Anittel Grp,,.005,-,-,-,.005,.005,-.47,.007,.004,,
ANN,2772.30,121.383,117.506,2.033,2.43,6.4,99.10,15.7,35.50,2.79,2.28,,Ansell,,15.55,-5,15.40,15.68,15.79,15.21,-.79,16.00,12.44,,
ANO,974.783,18.791,26.222,.006,.01,1.0,-.40,-,-,-,-,,Antaria,,.01,-.1,.009,.01,.011,.01,-9.56,.019,.008,,
ADO,3057.68,311.053,1685.00,.046,.01,6.0,-.30,-,-,-,-,,Anteo Diagnostics,,.06,-,.059,.06,.064,.06,-.47,.093,.051,,
ANP,79819.3,2473.53,2809.58,.026,-,-,-.18,-,-,-,-,,Antisense Therapeutic,,.018,-.1,.018,.019,.02,.017,-5.73,.039,.008,,
ANZ,43575.0,1364.99,1669.72,67.497,-,-,214.80,11.6,142.00,1.51,5.72,f,ANZ Banking Grp,,24.84,+61,24.80,24.84,24.84,24.18,+2.05,25.12,18.60,,
APE,187.159,4.784,.334,.644,1.74,2.2,29.30,13.1,17.40,1.68,4.52,f,AP Eagers,†,3.85,-15,3.80,3.85,3.95,3.82,-4.22,4.00,2.014,,
APP,-,.131,3.336,-,.01,.8,-.08,-,-,-,-,,APA Fin Services,,.008,-,-,-,.008,.008,-.47,.008,.005,,
APA,17162.5,676.483,226.615,3.102,1.58,3.0,20.40,23.3,35.00,.58,7.35,,APA Grp,,4.76,-2,4.73,4.78,4.81,4.71,-.89,5.34,3.92,,
APN,18155.0,315.391,418.311,.208,-.22,-,-41.10,-,6.50,-,20.31,p,APN News & Media,,.32,-,.32,.325,.365,.305,-.47,.96,.28,,
APD,83.060,5.629,6.536,.026,.18,.9,1.51,10.6,1.25,1.21,7.81,,APN Prop Grp,,.16,-,.065,.165,.165,.16,-.47,.185,.125,,
ARP,560.014,16.814,19.023,.708,1.93,5.1,53.12,18.4,25.00,2.12,2.56,f,ARB Corp,,9.77,-12,9.76,9.87,9.98,9.60,-1.68,10.23,7.66,,
AAD,6456.96,172.076,248.409,.506,.80,1.7,3.87,34.4,11.70,.33,8.80,p,Ardent Leisure Grp,,1.33,+4,1.315,1.34,1.34,1.295,+2.63,1.40,1.005,,
ARG,815.086,31.494,32.686,3.395,5.71,.9,26.80,20.1,26.00,1.03,4.81,f,Argo Invest,,5.40,-1,5.40,5.43,5.43,5.37,-.65,5.50,4.75,,
ARA,4.065,5.593,4.776,.064,.29,1.1,2.55,12.4,1.00,2.55,3.17,,Ariadne Aust,,.315,-,-,-,.315,.315,-.47,.38,.30,,
ALL,16735.6,397.494,486.058,1.508,.33,8.3,14.00,19.6,8.00,1.75,2.92,,Aristocrat Leisure,,2.74,+11,2.72,2.76,2.825,2.59,+3.72,3.25,1.88,,
AIK,20.051,1.049,6.572,.008,.07,.7,-1.47,-,-,-,-,,Armidale Invest,,.05,+.5,-,-,.05,.046,+10.64,.076,.045,,
ARI,113176,2897.25,1771.45,.801,1.20,.5,4.30,13.8,6.00,.72,10.08,,Arrium,,.595,+4.5,.585,.60,.62,.535,+7.72,1.39,.50,,
AEM,966.902,159.132,156.083,.005,-,-,-.11,-,-,-,-,,Artist & Entertain,,.012,-.1,.012,.014,.013,.012,-8.16,.019,.004,,
AIO,18493.7,689.720,2895.60,4.272,.65,6.7,24.70,17.7,7.50,3.29,1.71,f,Asciano,†,4.38,-5,4.37,4.40,4.46,4.33,-1.60,4.97,1.33,,
AFA,40.259,11.595,10.894,.062,.09,2.2,6.88,2.9,-,-,-,,ASF Grp,,.20,+4,-,-,.20,.16,+24.53,.245,.10,,
ASZ,5589.23,85.671,45.662,.104,-,-,8.52,6.9,5.00,1.70,8.55,f,ASG Grp,,.585,-7,.58,.585,.655,.57,-11.15,.955,.57,,
AJJ,61.169,2.084,4.358,.018,.01,9.4,.79,11.9,.30,2.63,3.19,,Asia Liver Trans,,.094,+.4,.091,.10,.094,.087,+3.98,.125,.085,,
AUF,185.900,31.728,8.125,.119,.83,1.1,-.79,-,2.00,-,2.25,,Asian Masters Fund,,.89,+1,.50,.89,.89,.87,+.67,.945,.83,,
AKF,-,11.984,5.254,.010,.20,.7,-.80,-,-,-,-,,ASK Funding,,.15,-,-,-,.15,.15,-.47,.16,.07,,
APZ,5500.99,226.455,162.503,.141,.50,.5,-17.07,-,3.15,-,13.40,,Aspen Grp,,.235,+.5,.23,.245,.255,.23,+1.71,.51,.197,,
ASP,-,2.038,3.466,.024,-.04,-,-.11,-,-,-,-,,Aspermont,,.10,-,-,-,.10,.10,-.47,.14,.08,,
AIR,2.625,1.980,2.089,.006,.46,.6,-2.43,-,4.00,-,14.81,,Astivita Renewables,,.27,-,-,-,.27,.27,-.47,.79,.25,,
AJA,377.220,13.821,28.101,.163,4.37,.6,-75.68,-,15.00,-,5.38,,Astro Japan Prop Grp,,2.79,-8,2.64,2.86,2.88,2.78,-3.25,3.02,1.885,,
ATR,6.693,2.333,3.357,.146,-,-,-.80,-,-,-,-,,Astron Corp,†,1.19,-6,1.19,1.26,1.28,1.19,-5.27,3.05,1.18,,
ASX,2934.48,123.185,157.877,5.329,3.85,7.9,193.70,15.7,177.90,1.09,5.85,f,ASX,,30.43,-21,30.28,30.44,30.77,30.11,-1.15,33.49,27.53,,
ACG,-,5.362,25.400,.009,.01,6.0,-1.50,-,-,-,-,,Atcor Medical,,.06,-,-,-,.06,.06,-.47,.095,.06,,
ATP,-,13.454,7.303,.014,.11,.5,-.74,-,-,-,-,,Atlas Southsea Pearl,,.06,-,.051,.059,.06,.06,-.47,.103,.050,,
AIA,12.370,7.077,9.310,2.804,1.46,1.5,8.43,25.1,7.08,1.19,3.34,,Auckland Airport,,2.12,+5,2.09,2.15,2.12,2.07,+1.95,2.12,1.70,,
AKP,26.671,.868,1.383,.115,.10,49.2,-8.49,-,-,-,-,,Audio Pixels,,4.92,-18,4.92,5.03,5.03,4.89,-4.00,7.09,4.67,,
AUP,6.450,.368,.360,.014,5.24,1.0,-,-,40.20,-,7.61,,Aurora Prop,,5.28,-,5.28,5.36,5.28,5.28,-.47,5.28,4.70,,
ABW,11.202,4.085,1.628,.009,1.09,1.0,4.94,22.2,8.85,.56,8.08,,Aurora Absolute Return,,1.095,+.5,1.095,1.105,1.095,1.095,-.01,1.13,1.08,,
AFV,3.500,.747,.136,.002,.63,.4,-11.31,-,-,-,-,,Aurora Funds,,.25,-,.25,.35,.25,.25,-.47,.85,.20,,
AIB,31.490,1.041,1.882,.011,1.02,1.0,-9.45,-,10.48,-,10.38,,Aurora Global Inc Tr,,1.01,-,1.01,1.02,1.02,1.01,-.47,1.095,.97,,
AOD,60.852,3.376,10.397,.024,.91,1.0,-1.80,-,5.60,-,6.09,,Aurora Sandringham,,.92,+.5,-,-,.92,.92,+.08,.965,.86,,
AQF,48.400,7.165,1.925,.055,1.48,1.0,4.80,32.1,6.00,.80,3.90,,Aust Gov Index Fund,,1.54,-,-,-,1.55,1.54,-.47,1.58,1.38,,
AZF,4.545,1.597,4.002,.053,2.26,.8,8.47,21.8,15.25,.56,8.24,,Aust Social Infra Fd,,1.85,-,-,-,1.85,1.85,-.47,1.90,1.35,,
ASL,10736.2,254.661,241.012,.947,2.33,1.3,37.28,8.3,14.50,2.57,4.66,f,Ausdrill,,3.11,+5,3.05,3.12,3.11,2.96,+1.17,4.34,2.52,,
