ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, June 21, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 4723.8 at 2013-06-21T16:17:05. Report at Friday, June 21, 2013. Processed Saturday at 2013-06-22T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
SIXO,-,20.000,-,-,-,-,-,-,-,-,-,,  opt jun13,,.001,-,-,.001,.001,.001,+1.08,.002,.001,,
SFN,-,.085,.188,.002,-.64,-,-20.32,-,-,-,-,,Stanfield Funds,,.55,-,-,.55,.55,.55,+1.08,1.075,.55,,
SPL,302.342,46.820,62.962,.238,.14,6.00,-3.85,-,-,-,-,,Starpharma Hldgs,,.84,-.2,.825,.845,.81,.79,+.84,1.745,.78,,
SST,.200,.025,.016,.792,.11,232.27,286.70,8.9,119.59,2.40,4.68,,Steamships Trading,,25.55,-,25.55,26.50,26.55,26.55,+1.08,39.00,24.25,,
STP,20.612,.319,.325,.023,.18,6.67,18.50,6.5,7.00,2.64,5.83,,SteriHealth,,1.20,+9,1.25,1.30,1.20,1.11,+9.19,1.50,1.11,,
SBI,-,.366,1.574,.004,-.09,-,5.50,1.1,-,-,-,,Sterling Plantations,,.06,-,-,.15,.06,.06,+1.08,.12,.05,,
SXE,81.025,12.331,17.914,.134,.44,1.89,8.00,10.4,2.25,3.56,2.71,,Sthn Cross Elect Engnr,,.83,-,.765,.84,.84,.815,+1.08,1.40,.815,,
SXL,7864.53,246.112,201.230,.948,-.69,-,6.58,20.4,9.50,.69,7.06,f,Sthn Cross Media,,1.345,-3,1.345,1.355,1.37,1.312,-1.12,1.74,.98,,
SGP,23735.7,1161.30,1298.79,8.232,3.49,1.02,1.30,274.6,24.00,.05,6.72,,Stockland,,3.57,+8,3.56,3.57,3.64,3.475,+3.36,3.98,3.06,,
SKS,70.000,3.968,.002,.007,.06,4.67,-17.41,-,-,-,-,,Stokes (A'asia),,.28,-6,.29,.35,.34,.28,-16.56,.34,.14,,
STE,.714,14.827,4.683,.005,.02,1.30,-.97,-,-,-,-,,Stratatel,,.026,-,.021,.026,.026,.026,+1.08,.03,.012,,
SMN,-,2.020,3.075,.002,-,-,-1.90,-,-,-,-,,Structural Monitor,,.024,-,.025,.035,.024,.024,+1.08,.074,.02,,
SMNOA,-,.665,.350,-,-,-,-,-,-,-,-,,  opt jul13,,.001,-,-,.001,.001,.001,+1.08,.01,.001,,
STS,393.033,8.066,3.037,.020,.92,.35,9.70,3.3,5.00,1.94,15.63,f,Structural Systems,,.32,-2,.32,.335,.35,.32,-4.63,.80,.32,,
SGN,1514.96,119.266,77.202,.559,-.08,-,12.14,11.4,8.30,1.46,5.99,f,STW Comms,,1.385,+1,1.385,1.40,1.49,1.40,+1.77,1.645,.90,,
SYP,-,-,62.168,.007,-.10,-,-16.00,-,-,-,-,,Style,†,.013,-,.011,.013,.20,.20,+1.08,.20,.20,,
SYPO,-,-,-,-,-,-,-,-,-,-,-,,  opt jul14,†,-,-,-,-,.002,.002,+1.08,.002,.002,,
SZG,-,29.233,1.669,.024,-,-,-.31,-,-,-,-,,Subzero Grp,†,.145,-,.145,.165,.16,.16,+1.08,.25,.017,,
SGU,-,1.984,.651,.006,.01,1.30,-.03,-,-,-,-,,Success Res Global,,.013,-,.006,.01,.013,.013,+1.08,.014,.004,,
SUD,876.152,167.549,59.089,.017,-,-,-.64,-,-,-,-,,Suda,,.026,-.3,.024,.026,.028,.025,-9.63,.049,.012,,
SBN,-,4.087,20.666,.001,-,-,-.28,-,-,-,-,,Sun Biomedical,†,.004,-,.004,.005,.004,.004,+1.08,.014,.001,,
SUN,6666.46,478.154,470.538,15.594,6.32,1.92,71.16,17.0,45.00,1.58,3.71,f,Suncorp Grp,,12.12,+11,12.12,12.23,12.275,11.89,+1.99,12.98,7.594,,
SDG,210.952,31.202,14.018,.272,1.86,.77,11.51,12.5,-,-,-,f,Sunland Grp,,1.435,-8.5,1.435,1.44,1.47,1.385,-4.58,1.74,.743,,
SVS,-,.505,.099,.003,.54,.44,2.21,10.9,-,-,-,,Sunvest Corp,,.24,-,.24,-,.24,.24,+1.08,.325,.24,,
SUL,1862.07,58.884,62.619,2.307,.34,34.53,53.80,21.8,36.00,1.49,3.07,f,Super Retail Grp,,11.74,+18,11.73,11.74,11.56,11.02,+2.67,13.85,7.03,,
SNL,58.139,1.257,.710,.044,.50,2.58,12.55,10.3,7.50,1.67,5.81,f,Supply Net,,1.29,+8,1.27,1.30,1.29,1.22,+7.69,1.90,.96,,
SWK,658.953,56.865,39.321,.065,.45,.64,4.51,6.4,1.10,4.10,3.79,f,Swick Min Services,,.29,-,.285,.29,.30,.295,+1.08,.42,.235,,
SWW,-,10.397,14.202,-,-,-,-.13,-,-,-,-,,SWW Energy,,.002,-,.002,.003,.002,.002,+1.08,.02,.002,,
SYD,3362.86,780.636,571.022,6.403,-2.40,-,9.63,35.7,21.00,.46,6.10,,Sydney Airport,,3.44,+1,3.44,3.45,3.47,3.42,+1.37,3.84,2.80,,
TAH,7881.05,408.351,553.317,2.376,-,-,30.70,10.4,22.00,1.40,6.90,f,Tabcorp Hldgs,,3.19,-1,3.19,3.22,3.30,3.21,+.78,3.63,2.61,,
TAG,-,1.453,3.012,.022,.29,.79,-1.46,-,1.00,-,4.35,,Tag Pacific,,.23,-,.125,.225,.23,.23,+1.08,.30,.20,,
TAGO,-,.412,-,-,-,-,-,-,-,-,-,,  opt oct17,,.06,-,.06,.075,.075,.075,+1.08,.11,.07,,
TWD,4.144,1.584,14.917,.063,.38,6.50,31.93,7.7,21.00,1.52,8.50,f,Tamawood,,2.47,-6,2.47,2.55,2.51,2.45,-1.31,2.92,1.91,,
TAN,678.967,15.541,5.538,.059,.53,.78,4.36,9.5,1.00,4.36,2.41,,Tandou,,.415,+2,.41,.425,.425,.41,+6.08,.47,.36,,
TGR,3164.11,24.688,12.993,.342,1.82,1.29,21.16,11.1,8.50,2.49,3.63,,Tassal Grp,,2.34,+19,2.31,2.35,2.34,2.01,+10.22,2.34,1.115,,
TTS,9948.99,473.467,550.896,4.362,-1.31,-,20.50,15.2,20.00,1.02,6.43,f,Tatts Grp,,3.11,+5,3.11,3.12,3.19,3.07,+2.69,3.42,2.56,,
TCN,500.000,12.695,5.172,.008,.01,3.50,.11,31.8,-,-,-,,Techniche,,.035,-,.033,.035,.035,.035,+1.08,.04,.03,,
