ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Wednesday, December 24, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5369.5 at 2014-12-24T15:10:06. Report at Wednesday, December 24, 2014. Processed Saturday at 2014-12-27T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,3.619,2.247,2.520,.145,.35,17.49,21.00,29.1,14.50,1.45,2.37,f,1300 Smiles,,6.12,+6,6.12,6.25,6.30,6.08,-.08,6.98,5.35,,
TIX,212.122,34.062,96.606,.315,2.21,1.16,45.00,5.7,18.75,2.40,7.30,,360 Capital Indust,,2.57,+6,2.51,2.57,2.57,2.45,+1.32,2.57,1.991,,
TGP,736.942,45.335,86.059,.261,.61,1.72,12.05,8.7,5.06,2.38,4.82,,360 Capital Grp,,1.05,+2.5,1.03,1.05,1.05,1.025,+1.37,1.07,.60,,
TOF,154.325,33.545,-,.160,-,-,-,-,-,-,-,,360 Capital Office,,2.06,-3,2.04,2.08,2.10,2.06,-2.50,2.10,1.92,,
3PL,421.367,29.957,-,.282,-,-,-,-,-,-,-,,3P Learning,,2.09,+3,1.65,2.12,2.10,2.00,+.39,2.60,1.94,,
8CO,-,4.204,-,.003,-,-,-,-,-,-,-,,8common,,.20,-,.20,.225,.20,.20,-1.07,.295,.20,,
8IH,413.450,5.011,-,.121,-,-,-,-,-,-,-,,8I Hldgs,,.34,-1,.28,.34,.36,.33,-3.93,.39,.25,,
NNW,159.534,83.704,34.739,.054,.02,18.00,.10,360.0,-,-,-,,99 Wuxian,,.36,-2,.355,.37,.375,.36,-6.33,.73,.30,,
AYI,-,157.209,53.290,.004,-,-,-.20,-,-,-,-,,A1 Invest & Res,,.001,-,-,.001,.001,.001,-1.07,.002,.001,,
ABP,1593.49,177.014,139.012,1.543,2.38,1.26,22.27,13.5,16.75,1.33,5.58,,Abacus Prop,,3.00,+4,2.96,3.05,3.065,2.96,+.28,3.065,2.20,,
ALR,80.366,7.745,8.847,.067,1.16,.94,3.02,36.1,7.25,.42,6.65,f,Aberdeen Leaders,,1.09,-2,1.09,1.115,1.125,1.09,-2.87,1.385,1.04,,
AKG,21.800,7.319,8.693,.070,.05,22.50,9.80,11.5,5.50,1.78,4.89,f,Academies A'asia,,1.125,+7.5,1.055,1.125,1.14,1.10,+6.07,1.40,.835,,
ACX,2072.86,3.417,-,.294,-,-,-,-,-,-,-,,Aconex,,1.79,+2.5,1.62,1.83,1.82,1.77,+.35,1.91,1.65,,
ACQ,100.000,11.299,-,.037,-,-,-,-,-,-,-,,Acorn Capital Invest,,.72,-2,.73,.775,.745,.72,-3.77,.96,.72,,
