ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, May 24, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 4964.3 at 2013-05-24T16:24:37. Report at Friday, May 24, 2013. Processed Saturday at 2013-05-25T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,70.154,1.036,1.275,.140,.65,9.08,28.92,20.4,19.20,1.51,3.25,f,1300 Smiles,,5.90,-3,5.90,6.00,6.10,5.97,+3.29,6.54,5.00,,
TIX,3174.17,58.027,-,.177,-,-,-,-,-,-,-,,360 Cap Indust Fund,,.545,+2,.545,.56,.565,.53,+7.60,.565,.356,,
AYI,6013.30,24.793,19.306,-,-,-,-1.31,-,-,-,-,,A1 Invest & Res,,.002,-.1,.002,.003,.003,.001,-29.54,.015,.001,,
AAY,50.000,3.422,6.340,.001,-.03,-,2.48,.4,-,-,-,,AACL Hldgs,,.01,-1,.001,.018,.02,.01,-46.21,.03,.01,,
ABP,2482.11,49.245,78.030,1.051,2.30,1.01,6.83,34.0,16.50,.41,7.11,,Abacus Prop,,2.32,-10,2.32,2.33,2.47,2.32,-.34,2.51,1.895,,
ALR,344.451,4.511,2.332,.078,1.24,1.04,2.64,48.7,9.50,.28,7.39,f,Aberdeen Leaders,,1.285,+2,1.285,1.34,1.34,1.29,+5.33,1.365,.975,,
AKG,42.776,3.104,.040,.039,.12,6.67,7.01,11.4,5.00,1.40,6.25,f,Academies A'asia,,.80,+4,.80,.835,.80,.795,+9.05,.80,.46,,
ACR,1914.21,74.656,93.932,.634,.11,34.64,2.73,139.6,8.00,.34,2.10,,Acrux,,3.81,-6,3.81,3.82,3.94,3.77,+2.24,4.77,2.64,,
ACW,-,1.195,3.010,.002,-,-,-.15,-,-,-,-,,Actinogen,,.019,-,.012,.019,.019,.019,+3.79,.039,.01,,
ACWOA,-,.107,.347,-,-,-,-,-,-,-,-,,  opt sep15,,.001,-,-,-,.001,.001,+3.79,.003,.001,,
ADA,143.774,.711,.769,.029,.13,2.81,1.80,20.3,-,-,-,,Adacel Tech,,.365,+2,.35,.38,.38,.345,+9.59,.414,.241,,
AAU,83.838,3.196,2.158,.006,.04,2.63,-6.79,-,.75,-,7.14,,Adcorp Aust,,.105,-,.10,.105,.105,.10,+3.79,.22,.10,,
ABN,-,14.497,24.626,.002,-,-,.15,6.7,-,-,-,,AdEffective,,.01,-,.01,.014,.01,.01,+3.79,.016,.007,,
ABNO,-,12.943,9.449,-,-,-,-,-,-,-,-,,  opt jun14,,.002,-,.002,.004,.002,.002,+3.79,.005,.002,,
ABC,10249.1,204.522,158.133,2.113,1.29,2.57,24.20,13.7,16.50,1.47,4.98,f,Adelaide Brighton,,3.31,-7,3.30,3.32,3.50,3.28,+1.72,3.70,2.80,,
ADQ,547.315,25.257,6.113,.006,.05,.44,.67,3.3,-,-,-,,ADG Global Supply,,.022,-1.9,.022,.03,.031,.022,-42.55,.07,.022,,
