ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, July 24, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5556.8 at 2015-07-24T16:34:36. Report at Friday, July 24, 2015. Processed Saturday at 2015-07-25T23:15:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AFT,-,4.872,6.021,.008,-,-,-.02,-,-,-,-,,AFT Corp,,.001,-,-,.001,.001,.001,+1.69,.001,.001,,
AHA,-,28.593,12.464,.003,-,-,-.03,-,-,-,-,,AG Financial,,.01,-,.01,.012,.01,.01,+1.69,.063,.006,,
AGX,53.862,19.264,42.596,.002,.01,1.20,.79,1.5,-,-,-,,Agenix,,.012,-,.011,.014,.012,.012,+1.69,.022,.01,,
AGL,7421.75,244.178,200.511,10.573,8.49,1.85,103.90,15.1,63.00,1.65,4.02,f,AGL Energy,,15.67,-70,15.63,15.75,16.47,15.55,-2.58,16.70,12.55,,
AGJ,-,1.618,1.710,.009,.11,.82,1.76,5.1,.52,3.38,5.78,,Agricultural Land,,.09,-,.09,.105,.09,.09,+1.69,.10,.076,,
APW,550.384,38.602,122.881,.059,-,-,5.82,2.2,.32,18.19,2.46,,AIMS Prop Sec Fund,,.13,-.2,.13,.135,.135,.13,+.18,.15,.11,,
AGI,3460.66,111.202,63.548,.848,.71,3.70,19.00,13.8,10.00,1.90,3.80,f,Ainsworth Game Tech,,2.63,-7,2.61,2.65,2.74,2.53,-.90,3.87,2.03,,
AIZ,112.955,4.554,9.595,2.558,1.45,1.57,21.72,10.5,11.15,1.95,4.89,,Air New Zealand,,2.28,-7,2.32,2.45,2.49,2.28,-1.28,2.90,1.595,,
AXP,678.745,6.234,-,.143,-,-,-,-,-,-,-,,"Airxpanders,",,.695,+14.5,.695,.72,.695,.56,+28.06,.695,.48,,
AJL,122.562,15.684,11.721,.087,.38,.86,-9.60,-,-,-,-,,AJ Lucas Grp,,.325,+.5,.305,.325,.345,.30,+3.26,.875,.215,,
ACL,1263.14,201.252,46.436,.012,.04,.92,-5.30,-,-,-,-,,Alchemia,,.037,+.4,.036,.037,.037,.033,+13.82,.68,.03,,
AAI,-,.395,.023,.189,-,-,-246.13,-,10.47,-,.58,,Alcoa Inc,,18.00,-,8.55,18.00,18.00,18.00,+1.69,26.86,17.00,,
LEP,240.852,14.998,11.113,.722,1.96,1.88,15.98,23.1,16.85,.95,4.57,,ALE Prop Grp,,3.69,-,3.65,3.70,3.69,3.64,+1.69,3.94,2.98,,
AJX,4349.78,236.138,30.901,.192,-.01,-,-2.25,-,-,-,-,,Alexium Int'l,,.735,+5,.725,.735,.76,.655,+8.99,.835,.084,,
