Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Thursday, March 28, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 4979.9 at 2013-03-28T16:46:35. Report at Thursday, March 28, 2013. Processed Saturday at 2013-03-30T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,CBA,C'wlth Bank  of Aust,109.440,68.01,-62,70.95,48.55,361.00,f,5.31,7.58,4.4,446.70,15.2,-1.2,2.657,-,45.4,13.5,,
2,2,BHP,BHP Billiton,105.215,32.76,-67,39.34,30.09,110.65,f,3.38,4.83,14.1,176.90,18.5,-13.6,1.631,11.33,-.2,-5.9,,
3,3,WBC,Westpac Banking,95.471,30.76,+26,31.99,20.00,166.00,f,5.40,7.71,6.4,195.80,15.7,4.5,2.048,10.47,49.8,10.4,,
4,4,ANZ,ANZ Banking Grp,78.279,28.53,-2,29.46,20.26,145.00,f,5.08,7.26,3.6,213.40,13.4,4.0,1.900,12.22,30.7,10.6,,
5,5,NAB,National Aust Bank,72.240,30.84,+21,32.24,21.95,180.00,f,5.84,8.34,4.7,175.30,17.6,-2.9,1.638,13.82,34.3,11.1,,
6,6,NWS,News Corp,67.183,29.06,+15,30.34,18.52,14.22,,.49,.49,3.0,165.95,17.5,51.7,.934,2.47,52.6,16.9,,
7,7,TLS,Telstra Corp,56.118,4.51,-2,4.69,3.27,28.00,f,6.21,8.87,-,28.60,15.8,20.8,4.822,.34,47.0,24.9,,
8,8,WES,Wesfarmers,46.610,40.20,-43,43.50,28.43,172.00,f,4.28,6.11,10.0,193.60,20.8,10.6,1.596,4.63,41.7,13.6,,
9,9,WOW,Woolworths,41.995,33.79,-24,36.10,25.682,129.00,f,3.82,5.45,3.3,162.88,20.7,8.8,5.007,2.17,36.5,11.5,,
10,10,WPL,Woodside Petroleum,29.512,35.82,-112,39.21,30.09,126.62,f,3.53,5.05,19.9,352.47,10.2,18.4,1.997,17.71,9.9,-4.9,,
11,11,CSL,CSL,29.459,59.23,+74,61.86,35.07,95.66,,1.62,1.62,3.8,217.08,27.3,8.8,8.486,5.08,66.0,19.7,,
12,12,RIO,Rio Tinto,24.925,57.20,-72,72.30,48.37,160.18,f,2.80,4.00,15.9,-155.72,-,-38.8,.452,19.53,-8.8,-7.7,,
13,13,WDC,Westfield Grp,23.968,10.85,+9,11.40,8.69,49.50,,4.56,4.56,2.3,75.79,14.3,-2.2,1.521,6.90,27.7,10.3,,
14,15,QBE,QBE Insurance Grp,16.168,13.51,+44,14.71,10.02,50.00,f,3.70,4.21,-42.5,62.69,21.6,-1.7,1.423,4.30,-4.2,-9.3,,
15,14,NCM,Newcrest Min,15.356,20.05,-225,30.22,20.05,35.00,,1.75,1.82,16.7,101.70,19.7,-3.8,1.132,14.92,-23.9,-11.0,,
16,16,AMP,AMP,15.268,5.21,+16,5.59,3.71,25.00,p,4.80,6.03,-13.8,24.70,21.1,-2.7,1.965,1.13,23.3,-1.1,,
17,17,SUN,Suncorp Grp,15.208,11.82,+44,11.98,7.329,45.00,f,3.81,5.44,14.3,71.16,16.6,26.3,1.036,6.32,43.7,15.6,,
18,18,ORG,Origin Energy,14.529,13.28,+22,13.96,9.84,50.00,f,3.77,5.38,-,64.80,20.5,16.0,.988,6.72,1.9,-3.3,,
19,19,BXB,Brambles,13.185,8.47,+23,8.87,6.04,26.50,p,3.13,3.53,.5,41.07,20.6,23.3,4.770,.55,20.8,7.9,,
20,20,MQG,Macquarie Grp,12.613,37.15,+170,39.80,23.56,150.00,,4.04,4.04,-24.7,230.78,16.1,-26.7,1.026,28.47,28.2,-4.4,,
21,22,FMG,Fortescue Metals Grp,12.268,3.94,+13,6.05,2.81,4.00,,1.02,1.45,14.3,38.59,10.2,-19.4,3.214,1.26,-33.7,-7.1,,
22,21,STO,Santos,11.920,12.43,-3,14.52,10.04,30.00,f,2.41,3.45,-,54.40,22.8,-11.4,1.276,-,-10.3,-2.9,,
