Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, December 7, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4555.9 at 2012-12-07T16:45:05. Report at Friday, December 7, 2012. Processed Saturday at 2012-12-08T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
256,254,MBN,Mirabela Nickel,.386,.44,-1,1.49,.215,-,,-,-,-,-13.89,-,-14.5,.745,.58,-58.9,-43.1,,
257,261,DCG,Decmil Grp,.385,2.29,+3,3.21,1.895,10.00,f,4.37,6.24,68.4,26.51,8.6,43.3,1.708,1.06,15.8,22.7,,
258,279,PPC,Peet,.377,1.175,+13,1.20,.625,4.50,,3.83,5.46,-100.0,1.70,69.1,-76.5,1.422,1.24,46.9,-14.5,,
259,260,SYR,Syrah Res,.371,2.77,-7,3.10,.16,-,,-,-,-,-2.51,-,-9.1,20.035,-,1529.3,142.2,,
260,252,AAC,Aust Agriculture,.371,1.185,-8.5,1.44,1.02,-,,-,-,-,6.29,18.8,-,.552,2.13,-10.9,-7.5,,
261,264,NWH,NRW Hldgs,.370,1.325,-,4.36,1.252,18.00,f,13.58,19.40,100.0,34.80,3.8,115.9,1.123,1.09,-45.1,-8.6,,
262,257,PXS,Pharmaxis,.369,1.195,-5.5,1.42,.93,-,,-,-,-,-14.20,-,-26.0,3.358,.31,14.9,-22.7,,
263,265,SFW,SFG Australia,.368,.505,-,.51,.31,2.00,f,3.96,5.64,-20.0,1.56,32.4,-24.5,2.423,.01,66.0,14.3,,
264,262,TRY,Troy Resources,.366,4.01,-15,5.05,3.70,10.00,f,2.49,3.56,-,35.50,11.3,118.4,2.768,1.48,-4.0,20.6,,
265,259,RFG,Retail Food Grp,.365,2.86,-12,3.30,2.34,17.50,f,6.12,8.74,20.7,26.40,10.8,1.0,2.152,-.73,22.6,8.3,,
266,267,SGT,Singapore Tel,.365,2.63,+2,2.76,2.25,12.10,,4.60,4.60,5.9,19.14,13.7,11.5,.020,.59,13.9,9.8,,
267,270,CCP,Credit Corp Grp,.364,7.93,+33,8.28,4.20,29.00,f,3.66,5.22,45.0,58.40,13.6,24.7,2.986,2.66,85.5,46.6,,
268,268,GEM,G8 Education,.357,1.45,-,1.495,.56,6.00,f,4.14,5.91,100.0,10.61,13.7,80.2,3.098,-.08,166.6,93.0,,
269,277,RIC,Ridley Corp,.356,1.155,+6,1.24,.915,7.50,f,6.49,9.27,-,6.30,18.3,-27.8,1.224,.80,17.2,8.2,,
270,266,CGH,Calibre Grp,.355,1.155,-3.5,1.625,.96,-,,-,-,-,-,-,-,2.871,-,-,-,,
271,263,TGZ,Teranga Gold,.351,2.15,-12,2.50,1.445,-,,-,-,-,-.35,-,-46.5,1.133,1.14,11.4,-,,
272,289,AAX,Ausenco,.347,2.80,+27,4.72,2.43,19.80,p,7.07,7.96,-,31.70,8.8,-,1.372,.62,20.3,-12.6,,
273,284,AMM,Amcom Telco,.346,1.415,+8.5,1.45,.78,5.00,f,3.53,5.05,46.1,11.76,12.0,7.9,3.094,.32,82.5,39.6,,
274,273,CTY,Country Road,.344,3.32,-,3.32,2.877,7.58,,2.28,3.26,-59.2,23.32,14.2,-7.8,3.634,1.21,13.4,6.6,,
275,276,EPW,ERM Power,.341,1.96,+2,2.24,1.37,8.50,f,4.34,6.19,142.9,20.74,9.5,-41.2,1.878,1.07,33.0,-,,
276,278,SMM,Summit Res,.336,1.54,-,2.08,1.30,-,,-,-,-,-.43,-,43.3,6.606,-,-6.1,-11.7,,
277,275,SGH,Slater & Gordon,.335,1.965,-3.5,2.04,1.46,6.00,f,3.05,4.36,-,16.20,12.1,-,-,.81,-,-,,
278,271,AQP,Aquarius Platinum,.333,.685,-3,2.88,.475,3.76,,5.49,5.49,-,-33.14,-,-,-,-,-,-,,
279,281,MFF,Magellan Flagship,.333,.965,-,.97,.645,1.00,p,1.04,1.15,-,13.23,7.3,-,-,.97,-,-,,
280,290,FAN,Fantastic Hldgs,.332,3.23,+18,3.23,2.00,13.00,f,4.02,5.75,-,20.43,15.8,-,-,.97,-,-,,
281,280,SRV,Servcorp,.330,3.35,-5,3.48,2.55,15.00,p,4.48,5.77,-,15.00,22.3,-,-,1.87,-,-,,
282,274,SMX,SMS Management,.328,4.73,-21,6.73,4.32,30.50,f,6.45,9.21,-,44.80,10.6,-,-,.83,-,-,,
283,288,CWP,Cedar Woods Prop,.327,4.47,+17,4.50,3.10,25.00,f,5.59,7.99,-,53.20,8.4,-,-,2.56,-,-,,
284,287,FGE,Forge Grp,.324,3.76,+10,6.86,3.22,14.00,f,3.72,5.32,-,58.92,6.4,-,-,1.32,-,-,,
285,286,ROC,Roc Oil Co,.321,.47,+.5,.485,.25,-,,-,-,-,8.80,5.3,-,-,.27,-,-,,
286,283,TOX,Tox Free Solutions,.320,2.76,-7,3.04,2.04,4.00,f,1.45,2.07,-,14.90,18.5,-,-,.58,-,-,,
287,297,UXC,UXC,.319,1.035,+4.5,1.075,.385,3.50,f,3.38,4.83,-,6.44,16.1,-,-,.10,-,-,,
288,285,MLD,MACA,.318,2.12,-3,2.67,1.78,8.00,f,3.77,5.39,-,25.12,8.4,-,-,.78,-,-,,
289,269,BCK,Brockman Min,.318,.044,-.5,.075,.04,-,,-,-,-,1.31,3.4,-,-,-,-,-,,
290,247,GBG,Gindalbie Metals,.316,.225,-7,.725,.215,-,,-,-,-,-2.32,-,-,-,-,-,-,,
291,292,MYS,MyState,.315,3.62,+5,3.80,2.80,28.00,f,7.73,11.05,-,29.91,12.1,-,-,2.33,-,-,,
292,295,ANG,Austin Engineer,.315,4.35,+8,5.21,3.67,14.00,f,3.22,4.60,-,41.00,10.6,-,-,.55,-,-,,
293,293,RKN,Reckon,.307,2.37,-2,2.60,1.99,8.25,p,3.48,4.82,-,13.10,18.1,-,-,-,-,-,,
294,299,BCI,BC Iron,.304,2.93,+6,3.50,2.24,15.00,f,5.12,7.31,-,51.09,5.7,-,-,-,-,-,,
295,298,MIR,Mirrabooka Invest,.297,2.16,-3,2.25,1.61,10.00,f,4.63,6.61,-,9.38,23.0,-,-,1.94,-,-,,
296,294,EHL,Emeco Hldgs,.297,.495,-2,1.197,.447,6.00,f,12.12,17.31,-,11.45,4.3,-,-,.74,-,-,,
297,301,BGA,Bega Cheese,.296,1.95,+3,1.99,1.48,6.50,f,3.33,4.76,-,12.81,15.2,-,-,1.62,-,-,,
298,282,SPL,Starpharma Hldgs,.294,1.035,-12.5,1.88,.95,-,,-,-,-,-5.00,-,-,-,.14,-,-,,
299,302,KMD,Kathmandu Hldgs,.293,1.465,+1,1.90,.965,7.82,f,5.34,7.62,-,13.39,10.9,-,-,.12,-,-,,
300,300,PRT,Prime Media Grp,.293,.80,-1,.84,.595,6.60,f,8.25,11.77,-,7.60,10.5,-,-,-.18,-,-,,
,
