Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
 XAO 4842.6 at 16:47 16/10/2009  Report at 15:29 Saturday 17/10/2009. Processed 17:06 Sunday 18/10/2009.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton Ltd,131.558,39.20,135,39.85,20.00,113.63,f,2.90,4.14,45.3,130.15,30.1,-13.5,2.62,8.84,45.1,15.7
2,2,CBA,C'wlth Bank  of Aust ,84.812,55.28,212,56.00,24.03,228,f,4.12,5.89,-14.3,328.5,16.8,-15.0,2.70,13.65,45.9,11.2
3,3,WBC,Westpac Banking,79.291,26.96,84,27.38,14.40,128,f,4.75,6.78,8.4,172.3,15.6,6.2,4.01,7.92,42.4,10.1
4,4,NAB,National Aust Bank,66.179,31.58,-2,32.37,15.85,170,f,5.38,7.69,6.6,262.7,12.0,-2.8,2.02,12.66,42.5,-0.4
5,5,ANZ,ANZ Banking Grp,61.512,24.56,-6,25.25,11.83,120,,4.89,6.98,-,170.4,14.4,-27.8,2.32,10.72,52.8,0.3
6,7,RIO,Rio Tinto Ltd,39.395,64.92,342,68.301,23.59,101.48,,1.56,2.23,7.8,87.06,74.6,74.3,1.22,-,8.4,3.5
7,6,TLS,Telstra Corp,38.698,3.11,-5,4.46,2.93,28,f,9.00,12.86,-,32.9,9.5,10.5,3.05,0.32,-17.8,-1.0
8,8,NWS,News Corp b voting,38.21,16.11,59,16.64,8.93,5.14,,0.32,0.40,12.4,74.58,21.6,38.4,0.44,-0.04,9.6,-16.6
9,9,WPL,Woodside Pet,37.821,52.72,215,54.32,26.81,110,f,2.09,2.98,29.8,240,22.0,77.9,5.46,11.33,29.2,15.1
10,10,WOW,Woolworths Ltd,36.767,29.75,90,30.20,23.68,104,f,3.50,4.99,13.0,150.71,19.7,12.1,5.21,1.54,11.2,16.6
11,11,WDC,Westfield Grp stpld,30.716,13.31,1,17.75,8.68,100.25,,7.53,7.53,-,-211.56,-,25.8,1.23,11.02,-11.6,-4.6
12,12,WES,Wesfarmers Ltd,30.161,26.05,-25,27.45,14.244,110,f,4.22,6.03,-42.1,160,16.3,-,1.08,3.14,34.5,-1.3
13,13,QBE,QBE Insurance Grp,23.468,22.91,11,28.65,15.01,127,p,5.54,6.02,3.3,213.9,10.7,-5.3,2.09,5.17,-4.6,2.4
14,15,CSL,CSL Ltd,19.198,32.10,28,39.00,26.85,70,,2.18,2.18,52.2,192.51,16.7,34.5,3.51,7.49,-10.0,21.9
15,14,MQG,Macq Grp Ltd,18.328,55.09,-231,58.80,15.00,185,p,3.36,4.45,-46.4,309.6,17.8,-52.8,1.92,23.72,99.0,-4.7
16,16,NCM,Newcrest Min,17.26,35.71,-1,37.24,16.55,15,,0.42,0.42,50.0,53,67.4,-9.5,3.96,8.95,72.5,17.9
17,17,ORG,Origin Energy,14.371,16.37,19,17.70,12.34,50,f,3.05,4.36,100.0,791,2.1,-20.8,1.29,8.31,9.4,35.7
18,18,AMP,AMP Ltd,13.497,6.65,-14,6.97,3.52,30,p,4.51,5.84,-13.0,29.6,22.5,-48.3,6.38,0.67,29.8,-5.1
19,19,STO,Santos Ltd,12.979,15.62,50,16.582,9.769,42,f,2.69,3.84,5.0,236.7,6.6,30.9,2.90,-,28.8,20.4
20,20,FMG,Fortescue Metals Grp,12.896,4.17,40,4.75,1.16,-,,-,-,-,21.9,19.0,-,12.30,0.35,41.4,64.1
21,21,SUN,Suncorp-Metway,11.629,9.15,7,9.37,4.36,40,f,4.37,6.24,-60.4,31.62,28.9,-44.8,0.88,5.11,28.9,-17.1
22,22,LEI,Leighton Hldgs,11.304,37.91,91,38.83,16.15,115,f,3.03,4.33,-19.9,149.5,25.4,8.3,4.83,7.43,60.0,25.9
23,23,FGL,Foster's Grp,10.613,5.50,-11,6.17,4.80,27.25,f,4.95,7.08,3.8,22.8,24.1,1.8,2.82,0.46,0.9,-0.9
24,24,BXB,Brambles Ltd,9.973,7.11,1,8.85,4.08,30,p,4.22,4.48,-13.0,40.18,17.7,6.4,5.66,0.58,-5.8,-14.2
25,25,AXA,AXA Asia Pacific,9.798,4.74,2,5.19,2.52,18.5,p,3.90,4.49,-16.9,-7.39,-,-,3.00,0.96,13.1,-7.2
26,26,SGP,Stockland stpld,9.675,4.06,4,4.846,1.955,34,p,8.37,8.41,-22.6,-104.1,-,-16.2,1.11,3.61,18.8,-11.1
27,27,ORI,Orica Ltd,8.729,24.25,65,24.87,10.75,95,p,3.92,4.51,7.8,143.3,16.9,5.8,2.02,1.38,32.1,4.5
28,28,IAG,Insurance Aust Grp,8.025,3.86,-2,4.16,2.94,10,f,2.59,3.70,-55.6,9.32,41.4,20.1,1.66,1.16,4.5,-7.2
29,30,CCL,Coca-Cola Amatil,7.759,10.37,29,12.00,7.62,40.5,f,3.91,5.58,9.9,54.8,18.9,12.9,5.66,1.14,34.4,18.9
30,29,OSH,Oil Search Ltd,7.702,6.75,-2,6.93,2.95,7.85,,1.16,1.16,7.3,19.77,34.1,113.4,3.35,-,52.2,27.8
31,31,LGL,Lihir Gold Ltd,7.438,3.14,1,3.64,1.52,-,,-,-,-,-9.97,-,54.7,1.76,1.29,61.0,4.5
32,33,WOR,WorleyParsons Ltd,7.051,29.90,63,31.79,10.62,93,f,3.11,4.31,8.8,161.1,18.6,13.2,4.26,-0.03,108.2,21.5
33,32,CNA,Coal & Allied Ind  ,6.867,79.31,-68,108.50,67.50,710,f,8.95,12.79,2740.0,1076.6,7.4,632.1,4.62,15.40,-8.9,2.1
34,34,QAN,Qantas Airways,6.841,3.02,5,3.06,1.38,6,,1.99,2.84,-82.9,5.6,53.9,-82.1,1.19,2.25,29.1,-5.2
35,35,AMC,Amcor Ltd,6.824,5.59,23,6.082,3.50,34,,6.08,6.08,-,25.3,22.1,0.2,2.22,1.61,10.1,0.7
36,36,CWN,Crown Ltd,6.556,8.70,21,9.39,4.18,37,p,4.25,5.35,-31.5,-166.89,-,-37.2,1.91,3.42,36.0,-
37,37,AGK,AGL Energy Ltd,6.441,14.35,23,15.82,12.83,54,f,3.76,5.38,1.9,358,4.0,9.0,1.10,6.00,6.6,1.1
38,38,CPU,Computershare Ltd,6.229,11.21,11,11.32,6.11,22,p,1.96,2.34,4.8,56.75,19.8,19.7,5.61,-1.95,37.0,15.9
39,40,ASX,ASX Ltd,6.139,35.65,19,37.90,23.52,164.9,f,4.63,6.61,-14.3,183.2,19.5,-14.3,2.21,2.66,26.1,5.1
40,39,LNN,Lion Nathan Ltd,6.122,11.46,,11.47,7.052,44,f,3.84,5.48,5.0,51.2,22.4,4.2,6.97,-0.94,42.4,18.2
41,41,GPT,GPT Grp stpld,6.077,0.655,,1.25,0.191,8.8,,13.44,13.44,-19.5,-107.6,-,-31.1,0.89,0.71,10.9,-34.9
42,43,BSL,BlueScope Steel,5.999,3.29,29,4.16,1.675,5,,1.52,2.17,-87.3,-7.1,-,-90.7,1.06,2.46,-4.9,-13.8
