Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, November 1, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 5406.5 at 2013-11-01T16:49:36. Report at Friday, November 1, 2013. Processed Saturday at 2013-11-02T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,CBA,C'wlth Bank  of Aust,122.184,75.80,-48,77.50,56.91,364.00,f,4.80,6.86,9.0,477.90,15.9,8.9,2.686,20.84,33.7,23.3,,
2,2,BHP,BHP Billiton,120.535,37.53,+25,39.34,30.43,119.94,f,3.20,4.57,7.6,220.38,17.0,-24.4,1.552,13.47,13.0,-1.3,,
3,3,WBC,Westpac Banking,107.511,34.58,+22,34.98,24.157,170.00,f,4.92,7.02,6.4,205.00,16.9,4.5,2.326,10.71,40.2,24.6,,
4,4,ANZ,ANZ Banking Grp,92.516,33.72,+118,34.06,23.42,91.00,f,2.70,3.86,13.1,231.30,14.6,-.9,2.028,13.48,45.9,21.3,,
5,5,NAB,National Aust Bank,83.691,35.63,-45,37.07,22.97,190.00,f,5.33,7.62,5.6,229.50,15.5,5.4,1.795,14.64,55.5,23.0,,
6,6,TLS,Telstra Corp,64.206,5.16,+11,5.23,4.07,28.00,f,5.43,7.75,-,30.70,16.8,-2.9,4.987,.35,26.9,32.2,,
7,7,WES,Wesfarmers,49.732,42.95,+93,44.25,33.70,180.00,f,4.19,5.99,9.1,195.90,21.9,6.4,1.662,4.69,26.2,16.3,,
8,8,WOW,Woolworths,43.738,34.87,+41,36.84,28.333,133.00,f,3.81,5.45,5.6,182.59,19.1,-15.5,4.703,2.60,23.7,14.0,,
9,9,CSL,CSL,33.481,68.74,+303,69.755,46.68,105.64,,1.54,1.54,25.6,263.01,26.1,38.8,10.328,4.75,35.3,28.0,,
10,10,WPL,Woodside Petroleum,32.009,38.85,+37,39.49,32.525,156.29,f,4.02,5.75,19.9,368.63,10.5,18.4,2.100,19.62,21.7,1.3,,
11,11,RIO,Rio Tinto,27.688,63.54,+22,72.30,49.81,184.67,f,2.91,4.15,15.9,-367.18,-,-38.8,.496,21.06,11.7,-6.0,,
12,12,WDC,Westfield Grp,22.826,10.80,-14,12.55,10.31,50.25,,4.65,4.65,2.3,64.24,16.8,-2.2,1.448,6.99,8.4,10.1,,
13,14,MQG,Macquarie Grp,18.048,53.10,+190,53.44,29.86,225.00,p,4.24,4.96,42.9,270.57,19.6,21.6,1.511,29.92,66.8,19.7,,
14,13,QBE,QBE Insurance Grp,17.851,14.55,+23,17.53,10.02,30.00,f,2.06,2.95,-42.5,37.23,39.1,-1.7,1.624,4.94,35.8,-,,
15,15,SUN,Suncorp Grp,17.125,13.31,+25,13.50,8.919,55.00,f,4.13,5.90,37.5,38.42,34.6,-31.1,1.225,6.11,46.1,20.2,,
16,17,FMG,Fortescue Metals Grp,16.067,5.16,+9,5.615,2.90,10.00,f,1.94,2.77,25.0,60.45,8.5,20.6,2.818,1.29,34.8,-4.9,,
17,16,ORG,Origin Energy,16.012,14.54,-11,14.90,9.84,50.00,,3.44,4.18,-,34.60,42.0,-16.0,1.082,6.53,37.7,2.1,,
18,19,STO,Santos,14.757,15.21,+41,15.80,10.365,30.00,f,1.97,2.82,-,54.90,27.7,-11.4,1.576,-,39.6,9.4,,
19,18,BXB,Brambles,14.325,9.19,-22,9.73,6.83,27.00,p,2.94,3.32,3.9,44.42,20.7,13.6,4.392,.66,30.9,14.6,,
20,20,AMP,AMP,13.842,4.68,-6,5.79,4.155,24.00,p,5.13,6.61,-13.8,24.80,18.9,-2.7,1.838,1.18,6.8,3.4,,
21,21,AMC,Amcor,12.948,10.73,+17,11.17,7.65,40.00,,3.73,3.73,8.1,49.80,21.5,9.1,3.499,.94,41.4,24.2,,
22,23,IAG,Insurance Aust Grp,12.744,6.13,+36,6.25,4.40,36.00,f,5.87,8.39,111.8,37.57,16.3,180.4,2.555,1.38,40.7,23.7,,
23,22,CWN,Crown,12.441,17.08,+8,17.215,9.65,37.00,p,2.17,2.63,-,54.34,31.4,-3.4,3.406,3.84,71.1,32.6,,
24,24,OSH,Oil Search,11.459,8.53,+10,8.975,6.81,4.08,,.48,.48,1.5,13.94,61.2,-36.9,3.709,2.52,20.8,8.3,,
25,25,TCL,Transurban Grp,10.354,6.97,-17,7.31,5.95,31.00,p,4.45,4.89,5.1,11.70,59.6,209.0,3.077,2.10,17.7,15.9,,
26,26,AZJ,Aurizon Hldgs,10.216,4.78,+2,4.82,3.46,12.30,p,2.57,3.49,48.2,19.80,24.1,32.8,1.573,-,36.1,22.0,,
27,27,CCL,Coca-Cola Amatil,9.843,12.89,-,15.399,11.707,56.00,p,4.34,5.61,6.7,56.20,22.9,4.5,4.735,1.91,-1.8,9.6,,
