Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
 XAO 4929.5 at 16:35 15/1/2010  Report at 21:00 Friday 15/1/2010. Processed 21:34 Friday 15/1/2010.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton Ltd,146.493,43.65,3,44.49,26.64,113.63,f,2.60,3.72,45.3,130.15,33.5,-13.5,2.92,8.84,48.3,21.8
2,2,CBA,C'wlth Bank  of Aust ,89.14,58.10,194,58.10,24.03,228,f,3.92,5.61,-14.3,328.5,17.7,-15.0,2.84,13.65,129.8,11.3
3,3,WBC,Westpac Banking,75.833,25.50,35,27.57,14.40,116,f,4.55,6.50,-18.3,125.3,20.4,-37.4,2.07,7.89,72.1,6.5
4,4,NAB,National Aust Bank,57.863,27.30,40,32.37,15.85,146,f,5.35,7.64,-24.7,262.7,10.4,-53.0,1.53,12.66,52.7,-6.8
5,5,ANZ,ANZ Banking Grp,56.813,22.43,18,25.25,11.83,102,f,4.55,6.50,-25.0,170.4,13.2,12.6,1.75,10.72,78.3,-2.7
6,6,RIO,Rio Tinto Ltd,47.709,78.62,-39,80.14,28.401,101.48,,1.29,1.84,7.8,46.14,170.4,74.3,1.47,-,141.6,11.2
7,7,TLS,Telstra Corp,41.435,3.33,-5,3.84,2.93,28,f,8.41,12.01,-,32.9,10.1,10.5,3.27,0.32,-4.4,-1.0
8,8,NWS,News Corp b voting,40.248,17.20,-63,18.41,8.93,5.14,,0.30,0.37,23.1,74.58,23.1,38.4,0.47,-0.04,44.7,-17.6
9,10,WES,Wesfarmers Ltd,35.927,31.05,-41,32.16,14.81,110,f,3.54,5.06,-42.1,160,19.4,-,1.29,3.14,110.3,1.2
10,9,WPL,Woodside Pet,35.671,47.65,-105,53.869,31.189,110,f,2.31,3.30,29.8,240,19.9,77.9,5.15,11.33,39.4,11.8
11,11,WOW,Woolworths Ltd,34.646,27.94,-15,30.57,24.36,104,f,3.72,5.32,13.0,150.71,18.5,12.1,4.91,1.54,4.8,9.0
12,12,WDC,Westfield Grp stpld,29.078,12.60,-11,14.33,8.68,100.25,,7.96,7.96,-,-211.56,-,25.8,1.17,11.02,14.0,-11.8
13,13,QBE,QBE Insurance Grp,24.642,24.04,-73,25.70,15.01,127,p,5.28,5.74,3.3,213.9,11.2,-5.3,2.19,5.17,6.4,-3.3
14,14,CSL,CSL Ltd,18.404,31.52,-59,38.52,28.43,70,,2.22,2.22,52.2,192.51,16.4,34.5,3.37,7.49,-14.2,12.9
15,15,NCM,Newcrest Min,17.496,36.17,-3,39.75,27.64,15,,0.41,0.41,50.0,53,68.2,-9.5,4.01,8.95,17.2,23.7
16,16,MQG,Macq Grp Ltd,16.943,50.61,171,58.80,15.00,126,,2.49,2.69,-46.4,243.2,20.8,-52.8,1.77,23.72,100.7,-9.9
17,17,FMG,Fortescue Metals Grp,16.693,5.38,32,5.57,1.655,-,,-,-,-,21.9,24.6,-,15.92,0.35,204.0,51.9
18,18,ORG,Origin Energy,15.201,17.31,-35,17.94,12.34,50,f,2.89,4.13,100.0,791,2.2,-20.8,1.36,8.31,27.8,27.9
19,19,AXA,AXA Asia Pacific,13.788,6.67,-2,6.72,2.52,18.5,p,2.77,3.19,-16.9,-7.39,-,-,4.22,0.96,48.0,1.3
20,20,AMP,AMP Ltd,13.337,6.51,8,6.97,3.52,30,p,4.61,5.96,-13.0,29.6,22.0,-48.3,6.30,0.67,30.5,-8.8
21,21,LEI,Leighton Hldgs,11.976,40.08,30,41.70,16.15,115,f,2.87,4.10,-19.9,149.5,26.8,-3.5,5.12,7.43,150.3,26.9
22,22,STO,Santos Ltd,11.44,13.76,-53,16.582,12.317,42,f,3.05,4.36,5.0,236.7,5.8,30.9,2.56,-,6.5,20.5
23,23,SUN,Suncorp-Metway,11.133,8.76,-1,9.59,4.36,40,f,4.57,6.52,-60.4,31.62,27.7,-44.8,0.84,5.11,31.8,-19.3
24,24,FGL,Foster's Grp,10.598,5.49,10,5.89,4.80,27.25,f,4.96,7.09,3.8,22.8,24.1,1.8,2.82,0.46,5.4,-2.5
25,25,BXB,Brambles Ltd,9.73,6.89,-15,8.37,4.08,30,p,4.35,4.62,-13.0,40.18,17.1,6.4,5.52,0.58,6.6,-18.1
26,26,SGP,Stockland stpld,9.27,3.89,-17,4.19,1.955,34,,8.74,8.78,-22.6,-104.1,-,-16.2,1.06,3.61,19.1,-16.3
27,27,ORI,Orica Ltd,9.081,25.15,-95,26.77,10.75,97,p,3.86,4.44,3.2,145.2,17.3,0.7,2.29,1.71,93.5,6.3
28,29,CCL,Coca-Cola Amatil,8.447,11.29,,11.72,8.02,40.5,f,3.59,5.12,9.9,54.8,20.6,12.9,6.16,1.14,28.7,17.6
29,28,IAG,Insurance Aust Grp,8.17,3.93,-18,4.21,2.94,10,f,2.54,3.63,-55.6,9.32,42.2,20.1,1.69,1.16,3.4,-11.3
30,30,OSH,Oil Search Ltd,7.836,6.03,-13,6.93,4.11,7.85,,1.30,1.30,7.3,19.77,30.5,113.4,3.41,-,40.9,21.9
31,31,LGL,Lihir Gold Ltd,7.793,3.29,-7,3.77,2.41,1.62,,0.49,0.49,-,-9.97,-,54.7,1.84,1.29,5.6,2.3
32,32,AMC,Amcor Ltd,7.691,6.30,14,6.35,3.50,34,,5.40,5.40,-,25.3,24.9,0.2,2.50,1.61,33.6,2.9
33,33,CNA,Coal & Allied Ind  ,7.645,88.30,300,108.50,67.50,710,f,8.04,11.49,2740.0,1076.6,8.2,632.1,5.14,15.40,20.4,9.4
34,35,TCL,Transurban stpld,7.147,5.54,-1,5.64,3.51,23,,4.15,4.15,-61.4,-1.9,-,-85.2,1.86,2.79,13.2,-4.1
35,36,QAN,Qantas Airways,6.659,2.94,-2,3.06,1.38,6,,2.04,2.91,-82.9,5.6,52.5,-82.1,1.16,2.25,24.1,-13.2
36,37,CPU,Computershare Ltd,6.496,11.69,18,11.88,6.41,22,p,1.88,2.24,4.8,56.75,20.6,19.7,5.85,-1.95,65.5,10.9
37,38,AGK,AGL Energy Ltd,6.325,14.09,-5,15.46,12.83,54,f,3.83,5.47,1.9,358,3.9,4.0,1.08,6.00,-0.1,-3.4
38,39,TOL,Toll Hldgs Ltd,6.238,8.92,-8,9.20,4.38,25,f,2.80,4.00,11.5,39.95,22.3,-17.1,2.40,1.58,68.7,-3.2
39,34,WOR,WorleyParsons Ltd,6.045,25.35,-511,31.79,11.60,93,f,3.67,5.09,8.8,161.1,15.7,13.2,3.65,-0.03,74.9,8.6
40,40,ASX,ASX Ltd,5.976,34.68,-63,37.90,23.52,164.9,f,4.75,6.79,-14.3,183.2,18.9,-14.3,2.16,2.66,35.1,1.8
41,41,IPL,Incitec Pivot,5.947,3.66,-5,3.83,1.63,4.4,,1.20,1.45,-97.8,-11.7,-,-58.7,1.76,0.14,39.3,37.0
42,43,CWN,Crown Ltd,5.908,7.84,14,9.39,4.56,37,p,4.72,5.93,-31.5,-166.89,-,-27.2,1.72,3.42,48.3,-
43,44,SHL,Sonic Healthcare,5.819,14.98,21,15.64,9.96,57,p,3.81,4.53,9.6,46.9,31.9,15.9,2.30,-1.72,12.6,5.0
44,45,MAP,MAP Grp forus,5.584,3.00,-8,3.19,1.291,21,,7.00,7.00,3.9,118.92,2.5,-37.1,0.85,-,43.6,4.4
45,47,AIO,Asciano Grp stpld,5.56,1.90,0.5,1.94,0.32,-,,-,-,-100.0,-32.5,-,-70.5,2.52,-1.41,113.0,-
46,42,BSL,BlueScope Steel,5.525,3.03,-21,3.48,1.675,5,,1.65,2.36,-87.3,-7.1,-,-90.7,0.98,2.46,9.5,-20.9
