Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
 XAO 4480.9 at 16:36 13/8/2010  Report at 22:00 Friday 13/8/2010. Processed 19:53 Saturday 14/8/2010.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton Ltd,135.586,40.40,-73,44.93,35.58,95.15,f,2.36,3.36,45.3,185.29,21.8,-13.5,2.70,8.76,11.0,4.3
2,2,CBA,C'wlth Bank  of Aust ,79.731,51.48,-111,60.00,43.44,290,f,5.63,8.05,27.2,344.5,14.9,22.0,2.24,15.94,18.2,3.7
3,3,WBC,Westpac Banking,67.315,22.52,-110,28.43,20.56,125,f,5.55,7.93,-18.3,138.5,16.3,-37.4,1.84,8.42,-2.6,-0.5
4,4,ANZ,ANZ Banking Grp,56.765,22.18,-87,26.23,18.73,108,f,4.87,6.96,-25.0,144.8,15.3,12.6,1.75,9.99,9.3,-2.9
5,5,NAB,National Aust Bank,50.921,23.87,-116,32.37,22.23,147,f,6.16,8.80,-24.7,199.3,12.0,-53.0,1.35,12.41,-11.3,-10.2
6,6,RIO,Rio Tinto Ltd,43.346,71.43,-177,81.25,55.20,100.83,f,1.41,2.02,-62.3,465.33,15.4,-56.1,0.85,15.37,29.1,0.6
7,7,NWS,News Corp b voting,40.442,16.58,-89,20.18,14.66,5.14,,0.31,0.39,6.9,74.58,22.2,-63.3,0.44,1.56,9.9,-14.0
8,8,TLS,Telstra Corp,36.334,2.92,-39,3.71,2.82,28,f,9.59,13.70,-,32.4,9.0,-5.0,2.79,0.36,-1.7,-5.3
9,9,WES,Wesfarmers Ltd,35.843,30.96,-57,33.21,23.60,115,f,3.71,5.31,-42.1,129.9,23.8,-,1.28,3.47,25.4,0.6
10,11,WOW,Woolworths Ltd,32.923,26.74,30,30.57,25.19,109,f,4.08,5.82,13.0,158.91,16.8,12.1,4.67,1.99,-0.9,-0.8
11,10,WPL,Woodside Pet,32.383,41.51,-80,53.869,39.63,110,f,2.65,3.79,-17.8,259,16.0,-36.1,3.12,-,-13.6,-0.5
12,12,WDC,Westfield Grp stp,28.409,12.31,-25,14.33,11.27,94,,7.64,7.64,-11.7,-20.41,-,-19.4,1.17,10.47,1.0,-10.9
13,13,CSL,CSL Ltd,18.024,32.79,-89,37.56,30.03,75,,2.29,2.29,52.2,213.41,15.4,34.5,3.30,6.11,4.0,2.0
14,14,QBE,QBE Insurance Grp,17.648,17.05,-18,25.70,16.25,128,p,7.51,8.15,1.6,196.5,8.7,-6.2,1.71,5.16,-23.1,-16.9
15,15,NCM,Newcrest Min,16.777,34.70,20,39.75,28.47,20,,0.58,0.58,50.0,55.4,62.6,-9.5,3.85,9.20,16.4,15.7
16,17,ORG,Origin Energy,13.818,15.69,-13,17.94,13.85,50,f,3.19,4.55,100.0,72.3,21.7,-20.8,1.24,8.48,4.0,20.1
17,16,FMG,Fortescue Metals Grp,13.797,4.44,-5,5.57,3.28,-,,-,-,-,-16.13,-,-,13.16,-,0.7,9.3
