Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
 XAO 4685.1 at 16:41 17/9/2010  Report at 22:00 Friday 17/9/2010. Processed 18:28 Sunday 19/9/2010.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton Ltd,130.552,38.90,94,44.93,35.58,95.12,f,2.45,3.49,-9.2,268.22,14.5,6.1,2.26,10.21,5.5,-1.8
2,2,CBA,C'wlth Bank  of Aust ,81.641,52.71,4,60.00,47.05,290,f,5.50,7.86,27.2,344.5,15.3,22.0,2.30,15.94,7.6,3.8
3,3,WBC,Westpac Banking,69.977,23.41,47,28.43,20.56,125,f,5.34,7.63,-18.3,138.5,16.9,-37.4,1.91,8.42,-6.0,-0.7
4,4,ANZ,ANZ Banking Grp,60.991,23.83,12,26.23,19.95,108,f,4.53,6.47,-25.0,144.8,16.5,12.6,1.88,9.99,2.5,-1.4
5,5,NAB,National Aust Bank,55.401,25.97,130,32.37,22.23,147,f,5.66,8.09,-24.7,199.3,13.0,-27.7,1.46,12.41,-10.7,-7.5
6,6,RIO,Rio Tinto Ltd,45.834,75.53,128,81.25,56.69,100.83,f,1.33,1.91,-62.3,465.33,16.2,-56.1,0.90,15.37,29.3,-2.3
7,7,NWS,News Corp b voting,39.62,16.42,22,20.18,14.81,13.9,,0.85,0.85,6.9,113.81,14.4,-63.3,0.44,1.56,2.9,-14.2
8,8,WES,Wesfarmers Ltd,38.746,33.46,-11,34.25,25.35,125,f,3.74,5.34,13.6,135.7,24.7,-20.6,1.36,3.61,31.4,1.1
9,9,WOW,Woolworths Ltd,35.543,28.76,-14,30.57,25.19,115,f,4.00,5.71,10.6,164.01,17.5,9.0,4.55,2.03,2.3,2.6
10,10,TLS,Telstra Corp,34.218,2.75,-6,3.55,2.74,28,f,10.18,14.55,-,31.4,8.8,-5.0,2.63,0.38,-7.4,-7.0
11,11,WPL,Woodside Pet,34.147,43.77,124,53.869,39.63,111.34,f,2.54,3.63,-17.8,268.28,16.3,-36.1,3.29,16.79,-13.2,-1.7
12,12,NCM,Newcrest Min,31.715,41.50,266,41.62,29.73,25,,0.60,0.60,66.7,115.2,36.0,53.0,4.01,10.19,30.9,14.6
13,13,WDC,Westfield Grp stp,28.732,12.45,-21,14.33,11.50,79,,6.35,6.35,-11.7,53.6,23.2,-19.4,1.18,10.49,-4.6,-10.9
14,14,QBE,QBE Insurance Grp,18.59,17.96,32,25.70,16.25,128,p,7.13,7.66,1.6,144.33,12.4,-6.2,1.81,0.49,-20.1,-14.0
15,15,CSL,CSL Ltd,17.50,31.82,-68,37.56,30.03,80,p,2.51,2.59,14.3,185.77,17.1,-4.1,4.15,5.93,-2.6,-1.7
16,16,FMG,Fortescue Metals Grp,15.042,4.84,3,5.57,3.28,-,,-,-,-,22.12,21.9,439.8,8.69,0.51,26.7,0.5
17,17,ORG,Origin Energy,14.027,15.90,51,17.94,13.85,50,f,3.14,4.49,50.0,69.7,22.8,15.7,1.23,8.46,0.5,19.5
18,19,MQG,Macq Grp Ltd,12.673,36.67,223,58.80,33.75,186,,5.07,5.07,0.5,320.2,11.5,2.9,1.08,25.82,-35.0,-20.1
