Australian Sharemarket: Top 300 Stocks
"Based on Market Capitalisation at close of trade Friday, October 30, 2015"
"XAO 5288.6 at 2015-10-30T16:38:35. Report at Friday, October 30, 2015. Processed Monday at 2/11/2015 5:03:53 PM."



This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
52,53,AFI,Aust Foundation,6.397,5.83,-,6.45,5.61,23.00,f,3.95,5.63,4.5,27.23,21.4,11.5,1.175,5.31,1.6,11.5,
53,55,REA,REA Grp,6.326,48.03,+168,51.38,37.33,70.00,f,1.46,2.08,22.8,159.40,30.1,33.7,10.939,-,4.2,40.9,
54,54,ORI,Orica,6.099,16.48,-25,22.73,14.75,96.00,p,5.83,6.71,2.1,157.60,10.5,-2.1,1.408,5.50,-17.3,-9.7,
55,50,STO,Santos,6.060,5.84,-62,12.97,3.95,30.00,f,5.14,7.34,16.7,-113.00,-,5.1,.712,-,-47.5,-14.9,
56,56,CPU,Computershare,5.994,10.81,-12,13.56,9.05,31.00,p,2.87,3.15,6.9,35.95,30.1,-.2,3.952,-,-8.4,10.9,
57,59,ALL,Aristocrat Leisure,5.938,9.32,+15,9.37,6.17,16.00,,1.72,1.72,-3.0,-1.01,-,48.8,8.274,1.62,46.3,51.9,
58,57,AIA,Auckland Airport,5.917,4.97,-6,5.28,3.42,13.74,,2.76,2.76,118.6,16.63,29.9,7.5,2.223,2.27,50.3,37.5,
59,60,SPK,Spark New Zealand,5.840,3.19,+6,3.35,2.35,18.76,,5.88,5.88,18.0,17.71,18.0,10.1,3.640,.32,19.3,25.8,
60,58,TTS,Tatts Grp,5.797,3.96,-4,4.20,3.335,16.50,f,4.17,5.95,22.2,17.42,22.7,10.6,1.971,-,20.2,17.8,
61,61,DUE,DUET Grp,5.478,2.36,-1,2.589,2.02,17.50,,7.42,7.42,3.7,3.39,69.6,-45.5,2.757,1.34,8.9,14.4,
62,62,ARG,Argo Invest,5.240,7.74,+4,8.50,7.50,29.50,f,3.81,5.44,5.4,34.30,22.6,13.8,1.182,6.89,2.0,14.6,
63,67,COH,Cochlear,5.087,88.95,+475,93.97,69.10,190.00,f,2.14,2.77,-25.2,256.10,34.7,55.2,13.548,2.22,17.2,9.4,
64,63,TWE,Treasury Wine,5.075,7.08,-12,7.52,4.206,14.00,,1.98,1.98,7.7,11.90,59.5,-53.4,1.537,3.47,61.4,17.2,
65,64,AST,AusNet Services,5.070,1.445,-1,1.545,1.222,4.18,p,2.89,3.54,-,.66,218.9,-65.2,1.571,.82,9.2,17.5,
66,66,BEN,Bendigo&Adelaide Bk,4.887,10.70,-,14.45,9.72,66.00,f,6.17,8.81,3.1,92.50,11.6,3.5,.989,7.36,-9.0,16.2,
