Australian Sharemarket: Top 300 Stocks
"Based on Market Capitalisation at close of trade Friday, October 30, 2015"
"XAO 5288.6 at 2015-10-30T16:38:35. Report at Friday, October 30, 2015. Processed Monday at 2/11/2015 5:03:53 PM."



This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
156,157,TME,Trade Me Grp,1.377,3.47,+1,3.83,2.68,14.99,,4.32,4.32,.8,17.89,19.4,-11.4,2.245,-,2.6,4.3,
157,156,NEC,Nine Entertainment,1.370,1.55,-1,2.36,1.36,9.20,f,5.94,7.32,119.0,-63.30,-,42.2,1.274,.08,-20.3,-,
158,161,EHE,Estia Health,1.348,7.44,+52,7.45,4.25,13.60,f,1.83,2.61,-,-16.00,-,-,2.220,-.54,-,-,
159,159,OZL,OZ Minerals,1.323,4.36,+19,5.01,2.93,16.00,,3.67,3.67,-50.0,35.50,12.3,-,.563,6.68,9.7,-16.8,
160,158,AHG,Automotive Hldgs,1.302,4.25,+11,4.68,3.55,22.00,f,5.18,7.39,4.8,28.70,14.8,6.0,1.824,.99,14.6,15.0,
161,160,HTA,Hutchison,1.276,.094,+.1,.115,.054,-,,-,-,-,-2.17,-,24.3,3.387,.02,46.9,41.2,
162,164,IPH,IPH,1.255,7.35,+15,7.46,2.96,13.50,p,1.84,2.27,-,19.51,37.7,-,34.936,-,-,-,
163,165,AAD,Ardent Leisure Grp,1.251,2.79,+5,3.19,1.75,12.50,,4.48,4.94,-3.9,7.38,37.8,-41.8,2.119,.76,-8.1,32.4,
164,162,IVC,InvoCare,1.222,11.11,-26,14.17,10.69,36.50,f,3.29,4.69,5.8,35.90,30.9,14.1,6.656,.57,-3.3,12.3,
165,166,VRL,Village Roadshow,1.207,7.53,+15,7.59,5.08,28.00,f,3.72,5.31,3.7,27.50,27.4,-2.9,2.250,1.08,9.9,33.4,
166,167,TNE,Technology One,1.196,3.85,+6,4.31,2.80,6.36,f,1.65,2.36,10.0,9.73,39.6,13.5,11.266,.24,15.7,43.4,
167,173,ARB,ARB Corp,1.171,14.79,+83,14.83,10.49,29.00,f,1.96,2.80,-,57.80,25.6,-1.6,4.882,2.61,18.3,16.5,
168,168,MSB,Mesoblast,1.150,3.41,-7,4.60,2.91,-,,-,-,-,-37.20,-,42.4,1.926,.23,-17.1,-15.5,
169,169,SDF,Steadfast Group,1.125,1.50,-4.5,1.685,1.327,5.00,f,3.33,4.76,15.6,7.26,20.7,18.1,1.376,.06,12.7,-,
170,170,GEM,G8 Education,1.119,3.00,-3,5.06,2.86,24.00,f,8.00,11.43,58.3,18.78,16.0,58.1,2.084,-.01,-34.8,36.6,
171,172,MTR,Mantra Grp,1.106,4.13,-,4.39,2.35,10.00,f,2.42,3.46,-,14.20,29.1,-,3.277,.10,82.2,-,
172,163,MTS,Metcash,1.105,1.19,-14,2.94,.96,15.50,f,13.03,18.61,-64.9,-42.40,-,-24.9,1.068,-.14,-51.4,-24.3,
173,174,CTD,Corporate Travel,1.095,11.27,+10,13.09,9.01,16.00,f,1.42,2.03,34.4,28.10,40.1,44.1,4.598,2.09,26.6,56.9,
174,175,CNU,Chorus,1.094,2.76,+3,3.06,1.80,-,,-,-,-,20.36,13.6,-1.0,1.492,1.43,45.6,3.8,
175,180,NWS,News Corp,1.078,21.40,+60,21.96,16.84,9.64,,.45,.45,-,-33.85,-,-69.4,.064,15.25,22.1,-,
176,178,TPI,Transpacific Indust,1.077,.68,+.5,.945,.57,.80,f,1.18,1.18,-,-1.50,-,-,.609,.12,-23.4,-2.9,
177,177,AHY,Asaleo Care,1.062,1.76,-1.5,2.06,1.45,9.40,,5.34,5.34,-,5.40,32.6,-,2.762,.31,-8.0,-,
178,171,WHC,Whitehaven Coal,1.047,1.02,-7,1.72,.882,-,,-,-,-,-33.30,-,-,.390,2.77,-28.0,-29.0,
179,181,MMS,McMillan Shakespr,1.046,12.57,-1,14.84,9.55,52.00,f,4.14,5.91,-,87.00,14.4,33.7,3.287,1.53,23.0,3.3,
180,179,RRL,Regis Res,1.040,2.08,-3,2.23,1.07,6.00,f,2.88,4.12,-,17.39,12.0,-,2.572,-,58.1,-24.9,
181,184,AGI,Ainsworth Game Tech,1.025,3.18,+20,3.29,2.03,10.00,f,3.14,4.49,-,22.00,14.5,14.2,3.425,.78,1.8,10.9,
182,176,SWM,Seven West Media,1.020,.675,-3.5,1.766,.66,10.00,f,14.81,21.16,-13.7,-181.10,-,3.4,.898,-,-52.8,-9.1,
183,183,SFR,Sandfire Res,.994,6.34,-16,6.80,3.74,13.00,f,2.05,2.73,30.0,44.18,14.4,-5.6,2.932,2.22,18.8,-7.0,
184,182,SGH,Slater & Gordon,.976,2.77,-15,8.07,2.55,9.00,p,3.25,3.81,20.0,35.10,7.9,53.6,.708,630.00,-47.8,18.6,
185,192,API,Aust Pharmaceutical,.966,1.98,+17.5,2.00,.755,4.50,f,2.27,3.24,333.3,8.80,22.5,-,1.743,.64,132.1,65.0,
186,185,BKI,BKI Invest,.947,1.665,-1.5,1.79,1.54,7.20,f,4.32,6.17,3.6,7.78,21.4,4.4,1.120,1.65,10.2,14.3,
187,215,FXL,FlexiGroup,.931,3.06,+55.5,3.675,2.223,17.75,f,5.80,8.28,7.6,27.20,11.3,5.7,1.904,.71,-23.6,-9.2,
188,186,SAI,SAI Global,.930,4.39,+9,4.67,3.59,16.50,p,3.76,4.90,6.5,18.60,23.6,23.1,2.294,-.88,10.0,5.8,
189,194,SIP,Sigma Pharmaceut,.908,.84,+5,1.01,.715,4.00,f,4.76,6.80,-50.0,4.90,17.1,5.5,1.492,.42,8.2,10.7,
190,187,DJW,Djerriwarrh Invest,.907,4.15,+2,4.92,4.00,26.00,f,6.27,8.95,160.0,21.47,19.3,9.4,1.180,3.06,-3.0,7.1,
191,214,BGA,Bega Cheese,.885,5.80,+80,6.02,3.94,8.50,f,1.47,2.09,-,8.10,71.6,-58.6,2.440,2.04,-1.8,43.1,
192,191,WAM,WAM Capital,.884,1.96,-,2.10,1.885,14.00,f,7.14,10.20,7.7,14.30,13.7,-30.6,1.096,1.88,7.9,14.2,
193,190,CEN,Contact Energy,.880,4.80,-3,4.83,4.44,-,,-,-,-,-,-,-,-,-,-,-,
194,193,MFF,Magellan Flagship,.877,1.895,+.5,1.99,1.474,2.00,f,1.06,1.28,3.4,48.79,3.9,255.9,1.098,2.06,28.4,29.8,
195,189,BAP,Burson Grp,.876,3.58,-5,3.85,2.134,8.70,f,2.43,3.47,-,11.92,30.0,1529.7,3.327,.01,58.9,-,
196,196,BRG,Breville Grp,.855,6.57,+4,8.10,5.63,27.00,f,4.11,5.87,-,35.88,18.3,-4.3,3.671,1.11,-.2,6.8,
197,206,ECX,Eclipx Grp,.850,3.54,+24,3.75,2.60,-,,-,-,-,-,-,-,1.533,-,-,-,
198,200,CIN,Carlton Invest,.841,31.75,+65,32.37,26.64,108.00,f,3.40,4.86,8.0,141.30,22.5,6.1,1.085,33.05,13.4,22.7,
199,188,BPT,Beach Energy,.834,.64,-4.5,1.25,.455,.50,f,.78,1.11,-50.0,-39.64,-,-,.659,1.04,-40.0,-19.0,
200,197,ISD,Isentia Grp,.826,4.13,-8,4.27,2.60,6.90,,1.67,1.67,-,9.81,42.1,-,7.261,-.08,45.3,-,
201,199,MYX,Mayne Pharma,.823,1.025,-.5,1.27,.546,-,,-,-,-,1.18,86.9,-39.0,2.567,.03,35.5,59.3,
202,202,AUI,Aust United Invest,.817,7.46,+1,8.654,7.326,34.00,f,4.56,6.51,6.3,43.70,17.1,17.4,1.025,7.49,-6.9,10.9,
203,198,JHC,Japara Healthcare,.815,3.10,-9,3.21,1.825,11.00,f,3.55,4.31,-,10.97,28.3,-,1.583,.44,29.3,-,
204,210,AAC,Aust Agriculture,.805,1.51,+5.5,1.69,1.20,-,,-,-,-,1.80,83.9,-,1.017,1.43,3.9,6.0,
205,195,MIN,Mineral Resources,.804,4.28,-26,8.61,3.92,22.50,f,5.26,7.51,-63.7,6.85,62.5,-93.8,.788,5.37,-44.0,-15.2,
206,230,APO,APN Outdoor Grp,.798,4.79,+60,4.95,2.42,4.50,f,.94,1.34,-,7.73,62.0,-,3.228,.09,-,-,
207,217,ASB,Austal,.793,2.28,+16,2.32,1.185,4.00,f,1.75,2.50,-,16.00,14.2,33.5,1.437,1.47,67.5,20.8,
208,204,FLN,Freelancer,.790,1.75,-3.5,1.93,.515,-,,-,-,-,-.55,-,-,47.931,.02,153.2,-,
209,203,MYR,Myer Hldgs,.788,.96,-2.5,1.812,.825,12.50,f,13.02,18.59,-51.7,5.10,18.8,-20.3,.937,-.12,-43.0,-13.6,
210,212,BAL,Bellamys Aust,.775,8.02,+2,8.79,1.36,2.86,f,.36,.51,-,9.80,81.8,460.3,15.806,.51,468.3,-,
211,205,CDD,Cardno,.775,3.06,-12,5.62,2.18,20.00,f,6.54,9.34,-44.4,-88.32,-,-5.2,.804,.01,-39.0,-22.3,
212,213,LEP,ALE Prop Grp,.763,3.90,-,4.005,3.11,16.85,,4.32,4.32,2.4,50.77,7.7,41.5,1.721,2.27,32.8,26.9,
213,208,ACX,Aconex,.762,4.55,-13,4.95,1.65,-,,-,-,-,11.00,41.4,-,-,-,-,-,
214,209,RFG,Retail Food Grp,.761,4.63,-13,8.00,3.98,23.25,f,5.02,7.17,5.7,22.10,21.0,32.4,1.937,-.07,-10.7,19.9,
215,211,NPX,Nuplex Industries,.754,4.00,-10,4.25,2.71,21.15,,5.29,5.29,26.8,31.52,12.7,-8.3,1.515,1.98,55.3,24.8,
216,201,LNG,Liquefied Natural,.752,1.495,-13,5.00,1.23,-,,-,-,-,-18.82,-,151.4,4.502,.36,-56.3,74.7,
217,218,CGC,Costa Hldgs,.743,2.33,+3,2.40,1.77,-,,-,-,-,-,-,-,2.414,-,-,-,
218,221,SXL,Sthn Cross Media,.739,.98,+2.5,1.205,.82,6.00,f,6.12,8.74,-20.0,-39.27,-,-20.9,.768,-.47,3.5,3.1,
219,207,SHV,Select Harvests,.738,10.16,-74,13.64,5.56,50.00,,4.92,4.92,150.0,82.90,12.3,77.1,2.755,3.35,81.9,118.4,
220,228,BBG,Billabong Int'l,.728,.735,+2.5,.74,.51,-,,-,-,-,.42,175.0,-,2.497,.12,6.8,-1.1,
221,219,SYR,Syrah Res,.726,3.15,+1,4.703,2.39,-,,-,-,-,-7.08,-,62.0,12.830,-,-13.1,7.7,
222,235,PRG,Programmed Maint,.725,2.91,+25,3.15,2.075,18.00,f,6.19,8.84,5.9,21.70,13.4,1.2,1.585,1.31,11.3,16.2,
223,216,CVO,Cover-More Grp,.724,2.28,-5,2.55,1.71,7.30,f,3.20,4.57,82.5,8.10,28.1,21.2,3.678,-,10.4,-,
224,226,GXL,Greencross,.715,6.26,+2,9.90,4.95,17.00,f,2.72,3.88,36.0,17.16,36.5,6.4,1.700,-.97,-25.6,27.1,
225,225,SNZ,Summerset Grp,.713,3.25,-,3.61,2.20,3.12,,.96,.96,10.7,32.08,10.1,13.9,2.244,1.48,31.2,-,
226,223,DUI,Diversified United Inv,.708,3.42,-3,3.80,3.16,14.00,f,4.09,5.85,2.9,15.50,22.1,12.7,1.067,3.40,1.4,13.2,
227,233,GTY,Gateway Lifestyle,.703,2.82,+11,2.82,2.00,-,,-,-,-,-,-,-,1.556,-,-,-,
228,231,AVN,Aventus Retail Prop,.693,2.02,+2,2.05,2.00,-,,-,-,-,-,-,-,1.095,-,-,-,
229,227,GWA,GWA Grp,.692,2.48,-7,3.005,2.11,5.50,f,2.22,3.17,-100.0,6.07,40.9,-5.3,2.325,.19,-6.5,16.0,
230,220,GUD,GUD Hldgs,.686,8.04,-42,10.18,6.63,42.00,f,5.22,7.46,16.7,46.00,17.5,10.7,2.027,2.21,24.2,7.5,
231,222,SGF,SG Fleet Grp,.682,2.81,-14,3.17,1.665,10.84,f,3.86,5.51,171.0,16.67,16.9,82.9,4.793,.03,66.9,-,
232,234,OFX,OzForex Grp,.682,2.84,+6,2.98,2.00,7.08,f,2.49,3.56,198.3,10.11,28.1,12.7,14.008,.20,14.4,-,
233,229,DNA,Donaco Intl,.682,.82,-2,.985,.535,-,,-,-,-,-.54,-,-,2.517,.40,-7.8,28.0,
234,236,RCG,RCG Corp,.675,1.435,+3.5,1.475,.615,4.50,f,3.14,4.47,-,3.72,38.6,4.4,2.693,-.01,134.7,59.2,
235,239,SRV,Servcorp,.669,6.80,+19,7.20,4.87,22.00,p,3.24,3.65,10.0,34.00,20.0,25.9,2.690,2.31,31.3,33.4,
236,224,SBM,St Barbara,.663,1.34,-10,1.47,.07,-,,-,-,-,8.05,16.6,-,5.077,.28,1210.3,-8.7,
237,241,PBG,Pacific Brands,.660,.72,+2,.76,.315,-,f,-,-,-100.0,-24.60,-,-29.5,1.712,.11,48.9,7.7,
238,237,IPP,iProperty Grp,.659,3.51,+1,3.64,2.10,-,,-,-,-,-1.79,-,-,19.987,-.05,44.6,56.1,
239,238,PEP,Pepper Grp,.656,3.62,-,3.84,3.05,-,,-,-,-,-,-,-,1.801,-,-,-,
240,232,MND,Monadelphous Grp,.647,6.92,-39,13.01,6.00,46.00,f,6.65,9.50,-25.2,113.91,6.1,-24.2,1.856,3.92,-34.4,-23.3,
241,240,URF,US Masters Res Prop,.642,2.25,-,2.35,1.96,10.00,,4.44,4.44,2.1,3.91,57.5,-,1.391,2.03,18.9,20.0,
242,245,MLX,Metals X,.630,1.375,+6.5,1.59,.62,2.95,p,2.15,2.38,-72.8,9.87,13.9,4.4,1.733,.83,65.5,40.6,
243,244,TGR,Tassal Grp,.623,4.23,+5,4.41,3.11,14.00,p,3.31,4.02,21.7,34.05,12.4,21.6,1.648,2.28,17.2,47.4,
244,242,TFC,TFS Corp,.599,1.755,-8,2.03,1.165,3.00,f,1.71,2.44,-,34.66,5.1,40.2,1.090,1.33,19.1,71.6,
245,247,ALU,Altium,.586,4.50,+12,5.31,2.62,16.00,,3.56,3.56,33.3,97.45,4.6,782.6,3.602,.40,46.3,73.9,
246,248,AUB,Austbrokers Hldgs,.585,9.39,+29,10.50,7.50,39.70,f,4.23,6.04,3.1,56.90,16.5,-4.4,1.820,1.82,-7.7,9.3,
247,246,SDA,SpeedCast Intl,.576,4.77,-1,5.19,1.69,6.36,f,1.33,1.90,-,2.22,214.9,-,16.553,-.42,147.5,-,
248,251,CVW,Clearview Wealth,.563,.94,+2,1.08,.835,4.10,f,4.36,6.22,5.0,2.43,38.7,-58.3,1.635,.54,-11.2,21.9,
249,249,OHE,Orion Health Grp,.562,3.50,-,6.05,3.00,-,,-,-,-,-,-,-,5.082,-,-,-,
250,250,SST,Steamships Trading,.558,18.00,+10,33.50,16.00,63.53,,3.53,3.53,-27.3,155.79,11.6,-35.8,1.540,11.46,-46.1,-10.0,
251,243,WSA,Western Areas,.558,2.39,-27,4.65,2.06,7.00,f,2.93,4.18,40.0,15.10,15.8,-7.8,1.548,1.80,-37.0,-14.0,
252,255,FET,Folkestone Edu,.548,2.22,+6,2.32,1.80,12.97,,5.84,5.84,6.7,39.50,5.6,-50.8,1.197,1.82,23.3,29.6,
253,256,HSN,Hansen Tech,.542,3.06,+9,3.23,1.54,6.00,p,1.96,2.66,-,10.30,29.7,11.1,4.635,.06,94.7,56.6,
254,258,WCB,Warrnambool Cheese,.539,9.60,+25,10.00,7.75,-,f,-,-,-,26.64,36.0,19.6,2.403,3.70,16.0,36.5,
255,257,AGF,AMP Capital China,.531,1.375,+1.5,1.875,.79,2.92,,2.12,2.12,102.0,112.82,1.2,7650.8,.954,1.76,76.9,34.4,
256,252,APN,APN News & Media,.530,.515,-2,1.08,.47,-,,-,-,-,-.53,-,-21.6,1.166,-.29,-28.7,15.6,
257,261,NSR,Natl Storage REIT,.527,1.575,+6,1.75,1.325,8.20,,5.21,5.21,115.8,-.45,-,-15.6,1.314,1.11,15.6,-,
258,253,TSE,Transfield Services,.515,1.005,-5.5,1.93,.91,-,,-,-,-,9.50,10.6,-18.7,.671,.52,-44.2,-12.2,
259,271,DFM,Dongfang Modern Ag,.507,1.30,+8,1.40,1.06,-,,-,-,-,-,-,-,371.421,-,-,-,
260,259,CSV,CSG,.504,1.61,-3,1.80,1.12,9.00,,5.59,5.59,80.0,3.99,40.4,9.3,2.025,.26,41.4,63.7,
261,263,VRT,Virtus Health,.504,6.31,+17,8.39,4.55,27.00,f,4.28,6.11,3.9,36.86,17.1,3.1,1.993,-1.81,-14.0,-,
262,275,OML,oOh! Media,.504,3.36,+23,3.52,1.80,2.80,f,.83,1.19,-,3.00,112.0,-,1.941,-,-,-,
263,260,PPC,Peet,.500,1.02,-2,1.317,.99,4.50,f,4.41,6.29,28.6,8.26,12.3,13.6,1.053,1.04,-8.7,6.2,
264,264,NXT,NEXTDC,.500,2.58,+5,2.69,1.705,-,,-,-,-,-5.21,-,-55.9,2.280,1.09,27.1,7.4,
265,265,A2M,The A2 Milk Company,.496,.715,+1,.785,.455,-,,-,-,-,-,-,-,9.414,-,-,-,
266,270,MGC,MG Unit Tr,.493,2.36,+7,2.50,1.76,-,,-,-,-,-,-,-,.410,-,-,-,
267,268,TIX,360 Capital Indust,.487,2.36,+3,2.79,2.28,21.57,,9.14,9.14,13.4,35.50,6.6,-12.2,1.293,2.34,11.5,-,
268,269,GDI,GDI Prop Grp,.485,.90,+1,.97,.83,7.50,,8.33,8.33,114.3,13.45,6.7,-,.862,.99,12.0,-,
269,280,HFR,Highfield Res,.481,1.55,+8.5,2.08,.505,-,,-,-,-,-4.38,-,6.3,2.733,-,136.3,80.3,
270,272,FSF,Fonterra S/H Fund,.480,5.11,+5,5.975,4.05,21.74,,4.25,4.25,51.7,15.40,33.2,-15.8,1.065,4.23,-5.9,-,
271,266,CDP,Carindale Prop,.470,6.71,-24,7.19,5.90,17.98,,2.68,2.68,12.8,79.49,8.4,8.5,.913,7.61,18.9,14.6,
272,274,WBA,Webster,.466,1.34,-1.5,2.00,1.00,1.00,f,.75,1.06,-71.4,3.70,36.2,25.9,.940,-,19.8,34.1,
273,277,HFA,HFA Hldgs,.462,2.85,-,3.01,1.385,7.86,,2.76,2.76,61.1,108.88,2.6,1423.7,1.379,.24,115.1,65.0,
274,281,SAR,Saracen Min,.460,.58,+2,.61,.20,-,,-,-,-,1.41,41.1,-,-,.29,-,-,
275,279,FNP,Freedom Foods Grp,.460,2.97,+2,3.51,2.69,3.00,f,1.01,1.44,-,37.11,8.0,373.6,2.454,1.06,-.7,58.9,
276,273,EQT,Equity Trustees,.459,23.10,-65,24.96,18.75,94.00,f,4.07,5.81,-,87.80,26.3,-.4,1.956,2.44,29.0,29.6,
277,278,ZIM,Zimplats Hldgs,.457,4.25,-,9.00,4.25,16.95,,3.99,3.99,-,-89.84,-,-,.369,-,-49.8,-19.4,
278,290,NAN,Nanosonics,.454,1.60,+14.5,2.02,.94,-,,-,-,-,-2.00,-,-,-,.16,-,-,
279,288,1PG,1-Page,.446,4.75,+25,5.69,.375,-,,-,-,-,-15.05,-,-,-,.08,-,-,
280,283,AYS,Amaysim Au,.446,2.53,+5,2.59,1.75,-,,-,-,-,-,-,-,-,-,-,-,
281,262,KAR,Karoon Gas Aust,.438,1.775,-26.5,3.40,1.62,-,,-,-,-,92.85,1.9,-,.525,-,-30.9,-28.5,
282,267,TEN,Ten Network Hldgs,.434,.165,-1.9,.28,.159,-,,-,-,-,-12.07,-,1839.1,.695,-.03,-13.6,-6.5,
283,282,PMC,Platinum Capital,.434,1.85,-4,1.98,1.66,11.00,f,5.95,8.49,-,19.29,9.6,-,-,1.54,-,-,
284,310,EWC,Energy World Corp,.434,.25,+3.5,.45,.175,-,,-,-,-,1.88,13.3,-,-,.38,-,-,
285,298,VIT,Vitaco Hldgs,.433,3.11,+31,3.20,2.31,-,,-,-,-,-,-,-,-,-,-,-,
286,286,GOLD,ETFS Physical Gold,.431,155.00,+120,159.42,126.89,-,,-,-,-,63.17,245.4,-,2459.916,-,18.2,-1.4,
287,289,SRF,Surfstitch Grp,.429,1.77,+6,2.09,.90,-,,-,-,-,-28.45,-,-,-,.40,-,-,
288,291,IRI,Integrated Research,.426,2.50,+10,2.80,.92,7.50,p,3.00,3.45,-,8.41,29.7,-,-,.11,-,-,
289,287,AMA,AMA Grp,.424,1.035,-.5,1.09,.28,1.70,f,1.64,2.34,-,2.72,38.1,-,-,-,-,-,
290,285,ADH,Adairs,.421,2.54,-5,2.95,2.44,-,,-,-,-,-,-,-,-,-,-,-,
291,296,PDN,Paladin Energy,.419,.245,+1.5,.435,.155,-,,-,-,-,-24.61,-,-,-,.14,-,-,
292,297,INA,Ingenia Grp,.410,.455,+2,.49,.375,1.35,,2.97,2.97,-,3.10,14.7,-,-,.39,-,-,
293,284,CCP,Credit Corp Grp,.408,8.77,-60,13.61,8.56,44.00,f,5.02,7.17,-,83.00,10.6,-,-,3.87,-,-,
294,300,WEB,Webjet,.405,5.01,+22,5.01,2.56,13.50,f,2.69,3.85,-,21.95,22.8,-,-,-,-,-,
295,292,RIC,Ridley Corp,.403,1.31,-1,1.395,.845,3.50,f,2.67,3.82,-,6.90,19.0,-,-,.49,-,-,
296,294,UXC,UXC,.402,1.20,+2,1.33,.71,5.30,f,4.42,6.31,-,6.84,17.5,-,-,-.02,-,-,
297,254,EPW,ERM Power,.401,1.64,-56,2.61,1.64,12.00,p,7.32,9.40,-,27.35,6.0,261.9,1.683,1.14,27.6,8.7,
298,295,CDM,Cadence Capital,.397,1.48,+1,1.515,1.34,10.00,f,6.76,9.65,-,9.50,15.6,-,-,1.40,-,-,
299,306,VGL,Vista Grp Int,.393,4.92,+17,5.50,2.82,-,,-,-,-,1.77,278.0,-,-,.59,-,-,
300,299,ARF,Arena REIT,.393,1.715,+1.5,1.90,1.39,10.23,,5.97,5.97,-,28.14,6.1,-,-,1.33,-,-,

