Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, May 13, 2011,,,,,,,,,,,,,,,,,,,,
"XAO 4787.3 at 2011-05-13T16:39:16. Report at Friday, May 13, 2011. Processed Saturday at 2011-05-14T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton,142.231,44.32,-26,49.81,35.58,94.58,f,2.13,3.05,-9.2,331.41,13.4,6.1,2.472,9.91,19.2,3.6,,
2,2,CBA,C'wlth Bank  of Aust,80.659,51.75,-88,55.77,47.05,302.00,f,5.84,8.34,27.2,350.70,14.8,26.4,2.306,-,8.6,14.1,,
3,3,WBC,Westpac Banking,71.418,23.73,-19,25.60,20.56,150.00,f,6.32,9.03,19.8,249.20,9.5,55.7,1.794,9.55,11.3,7.4,,
4,5,NAB,National Aust Bank,58.342,26.89,-89,28.18,22.23,162.00,f,6.02,8.61,4.1,205.10,13.1,10.1,1.547,12.80,20.3,1.7,,
5,4,ANZ,ANZ Banking Grp,58.325,22.46,-78,25.96,19.95,138.00,f,6.14,8.78,23.5,206.30,10.9,17.1,1.767,10.61,10.5,8.8,,
6,6,NWS,News Corp,43.613,17.06,-3,19.09,15.40,13.42,,.79,.79,6.9,131.81,12.9,-63.3,.455,-,-5.5,-3.9,,
7,7,WES,Wesfarmers,38.339,33.10,+10,35.26,27.12,135.00,f,4.08,5.83,13.6,161.10,20.5,-20.6,1.343,-,18.2,2.2,,
8,8,TLS,Telstra Corp,37.080,2.98,+1,3.46,2.55,28.00,f,9.40,13.42,-,26.00,11.5,-5.0,2.841,.36,11.5,-6.7,,
9,9,WPL,Woodside Petroleum,35.751,45.07,-24,50.85,39.63,110.84,f,2.46,3.51,2.5,200.73,22.5,-5.9,3.076,13.93,8.2,-8.7,,
10,10,RIO,Rio Tinto,34.926,80.15,+58,89.04,58.86,111.21,f,1.39,1.98,128.8,718.78,11.2,75.2,.540,18.72,20.2,-8.3,,
