Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
 XAO 4475.1 at 16:36 23/7/2010  Report at 22:00 Friday 23/7/2010. Processed 19:33 Saturday 24/7/2010.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton Ltd,133.169,39.68,153,44.93,35.58,95.15,f,2.40,3.43,45.3,185.29,21.4,-13.5,2.65,8.76,7.4,5.0
2,2,CBA,C'wlth Bank  of Aust ,79.357,51.24,-12,60.00,39.80,235,f,4.59,6.55,-14.3,330.4,15.5,-15.0,2.52,-,25.4,3.9
3,3,WBC,Westpac Banking,67.942,22.73,15,28.43,20.12,125,f,5.50,7.86,-18.3,138.5,16.4,-37.4,1.86,8.42,10.4,1.1
4,4,ANZ,ANZ Banking Grp,57.351,22.41,-13,26.23,17.00,108,f,4.82,6.88,-25.0,144.8,15.5,12.6,1.77,9.99,26.9,-1.8
5,5,NAB,National Aust Bank,51.987,24.37,-12,32.37,22.23,147,f,6.03,8.62,-24.7,199.3,12.2,-53.0,1.37,12.41,6.0,-8.4
6,8,RIO,Rio Tinto Ltd,42.393,69.86,408,81.25,55.20,51.56,f,0.74,1.05,-62.3,307.95,22.7,-56.1,0.83,13.56,16.5,-
7,7,NWS,News Corp b voting,39.893,16.60,-17,20.18,14.08,5.14,,0.31,0.39,23.1,74.58,22.3,81.2,0.45,0.45,13.4,-13.8
8,6,TLS,Telstra Corp,39.818,3.20,-7,3.71,2.88,28,f,8.75,12.50,-,32.4,9.9,10.5,3.14,0.36,-1.0,-4.5
9,11,WES,Wesfarmers Ltd,33.755,29.14,91,33.21,23.60,115,f,3.95,5.64,-42.1,129.9,22.4,-,1.21,3.47,17.5,-1.8
10,9,WPL,Woodside Pet,32.703,41.92,-62,53.869,39.63,110,f,2.62,3.75,-17.8,259,16.2,-36.1,3.15,-,-5.4,1.7
11,10,WOW,Woolworths Ltd,31.605,25.67,-109,30.57,25.19,109,f,4.25,6.07,13.0,158.91,16.2,12.1,4.48,1.99,-2.2,1.4
12,12,WDC,Westfield Grp stp,28.339,12.28,-19,14.33,11.07,94,,7.65,7.65,-11.7,-20.41,-,-19.4,1.17,10.47,16.8,-7.4
13,13,QBE,QBE Insurance Grp,18.60,17.97,-34,25.70,17.11,128,p,7.12,7.73,1.6,196.5,9.1,-6.2,1.81,5.16,-2.4,-11.0
14,14,CSL,CSL Ltd,17.81,32.40,-15,37.56,29.28,75,,2.31,2.31,52.2,213.41,15.2,34.5,3.26,6.11,8.3,5.0
15,15,NCM,Newcrest Min,16.062,33.22,-108,39.75,28.47,20,,0.60,0.60,50.0,55.4,60.0,-9.5,3.69,9.20,11.4,13.5
16,16,ORG,Origin Energy,13.686,15.54,-6,17.94,13.85,50,f,3.22,4.60,100.0,72.3,21.5,-20.8,1.23,8.48,10.6,20.2
17,17,MQG,Macq Grp Ltd,13.623,39.43,-4,58.80,35.01,186,,4.72,4.72,0.5,320.2,12.3,2.9,1.16,25.82,-6.7,-17.6
